strain,species,complex,reactions,area_nm2,area_provenance,area_source,kcat_s,kcat_provenance,kcat_source,electrogenicity_provenance,electrogenicity
cauris_iRV973,Candidozyma auris (Candida auris),complex I,R11945__mito R11945__cyto,137.4,structure_fungus,"Membrane-arm cross-section in the bilayer plane of respiratory complex I of YARROWIA LIPOLYTICA, PDB 6RFR, oriented in the membrane by OPM (Lomize et al. 2012 NAR 40:D370). Computed from the structure, cross-checked against the stated arm dimensions of Zickermann et al. 2015 Science 347:44 and Wu et al. 2016 Cell 167:1598 (computed 19.4 nm arm length against a stated 180 A; 8.3 nm width against a stated 70 A). AMBIGUITY WORTH KNOWING: the three iRV973-derived models encode this reaction NON-ELECTROGENICALLY (TASK 1), which is the behaviour of a single-subunit alternative NADH dehydrogenase (Ndi1/Nde1), not of complex I. An Ndi1 monomer's in-bilayer cross-section is 3.0 nm^2, 45x smaller. The complex I value is used because the reaction carries EC 7.1.1.2 and C. parapsilosis encodes it as proton-pumping; if the enzyme is really Ndi1 this row is wrong by a factor of 45.",200.0,ecoli,"Szenk 2017 / BRENDA physiological midpoint for NDH-I, as strains/eciML1515/etc/complexes.csv uses it. NO kcat has been measured for complex I of any Candida species, and none for Ndi1/Nde1 either. The models' own per-species DLKcat values (61.3 / 37.3 / 50.7 / 5.7 s^-1) are deliberately NOT used -- see the report.",model,NOT electrogenic as encoded (EC 7.1.1.2 but no H+ translocated)
cauris_iRV973,Candidozyma auris (Candida auris),complex II,R02164__mito,15.4,structure_fungus,"Succinate dehydrogenase of SACCHAROMYCES CEREVISIAE, PDB 9KPS, in-bilayer cross-section (a second yeast deposition, 9QDL, gives 14.4 nm^2; the pig enzyme, 1ZOY, gives 10.6, which is the value Szenk's E. coli row of 10 nm^2 also sits at).",100.0,ecoli,"Szenk 2017 / BRENDA physiological midpoint, as eciML1515 uses it. No Candida value exists.",model,non-electrogenic (correct)
cauris_iRV973,Candidozyma auris (Candida auris),complex III,R02161__mito,68.2,structure_fungus,"Cytochrome bc1 DIMER of SACCHAROMYCES CEREVISIAE, from the III2IV2 supercomplex structure PDB 6HU9, in-bilayer cross-section. The dimer is the physiological unit. Structures lacking subunit QCR10 (1KB9, 3CX5, 1EZV, and the C. albicans structure 7RJA at 51.5 nm^2) give smaller values; the spread is subunit completeness, not biology. Cross-check: the III2IV2 supercomplex measures 157.4 nm^2 against 68.2 + 2 x 45.0 = 158.2 for its parts, so supercomplex formation is area-neutral to 0.5 %.",100.0,ecoli,"Set to the physiological midpoint eciML1515 uses for its oxidases; no fungal or Candida bc1 turnover was found. The models' own value for this reaction is the DLKcat parse default (13.7 s^-1), i.e. not a prediction.",model,1.5 H+ cyto->mito: REVERSED relative to a mitochondrion
cauris_iRV973,Candidozyma auris (Candida auris),complex IV,R00081__mito,45.0,structure_fungus,"Cytochrome c oxidase MONOMER of SACCHAROMYCES CEREVISIAE, PDB 6HU9; the standalone yeast structure 6YMY gives 45.8 nm^2 and 7Z10 / 8DH6 agree at 41-46. Note this reaction is UNCOSTED in all four models (no GPR), so there is no molecular weight in the models' own accounting to check it against -- and per Carlson et al. 2024 there would be no point if there were, since membrane footprint does not scale with enzyme mass.",100.0,ecoli,"Physiological midpoint, as for the E. coli oxidases (Bekker 2009 measures bo3 225, bd-I 218, bd-II 818 s^-1; the configuration-E parameterisation eciML1515 was fitted with uses a round 100). No Candida value exists.",model,6 H+ mito->cyto
cauris_iRV973,Candidozyma auris (Candida auris),ATP synthase,T_ATP_synthase__mito,57.9,structure_fungus,"F1Fo ATP synthase MONOMER of SACCHAROMYCES CEREVISIAE, PDB 6B2Z/6B8H, which include the dimerisation subunits e, g, k and i. Structures lacking them (6CP6) give 44-45 nm^2. THE DIMER HAS NO PLANAR FOOTPRINT: the two monomers' membrane normals are 86.3 degrees apart (Davies et al. 2012), because the dimer sits on a curved cristae ridge; summed over that curved surface it is ~116 nm^2. The monomer value is used. THIS IS THE ROW THAT MATTERS: Carlson et al. 2024 find ATP synthase accounts for 45 % of the membrane area used by central metabolism in E. coli and is by far the most sensitive term; in these Candida models it is 99.6-99.99 % of the area used (K4 TASK 3).",270.0,ecoli,"Szenk 2017, as eciML1515 uses it. No ATP-synthesis-direction turnover was found for yeast or Candida ATP synthase. The models' own value is again the DLKcat parse default, 13.7 s^-1.",model,3 H+ cyto->mito (correct direction)
chaemulonii_draft,Candidozyma haemulonii (Candida haemulonii),complex I,R11945__mito R11945__cyto,137.4,structure_fungus,"Membrane-arm cross-section in the bilayer plane of respiratory complex I of YARROWIA LIPOLYTICA, PDB 6RFR, oriented in the membrane by OPM (Lomize et al. 2012 NAR 40:D370). Computed from the structure, cross-checked against the stated arm dimensions of Zickermann et al. 2015 Science 347:44 and Wu et al. 2016 Cell 167:1598 (computed 19.4 nm arm length against a stated 180 A; 8.3 nm width against a stated 70 A). AMBIGUITY WORTH KNOWING: the three iRV973-derived models encode this reaction NON-ELECTROGENICALLY (TASK 1), which is the behaviour of a single-subunit alternative NADH dehydrogenase (Ndi1/Nde1), not of complex I. An Ndi1 monomer's in-bilayer cross-section is 3.0 nm^2, 45x smaller. The complex I value is used because the reaction carries EC 7.1.1.2 and C. parapsilosis encodes it as proton-pumping; if the enzyme is really Ndi1 this row is wrong by a factor of 45.",200.0,ecoli,"Szenk 2017 / BRENDA physiological midpoint for NDH-I, as strains/eciML1515/etc/complexes.csv uses it. NO kcat has been measured for complex I of any Candida species, and none for Ndi1/Nde1 either. The models' own per-species DLKcat values (61.3 / 37.3 / 50.7 / 5.7 s^-1) are deliberately NOT used -- see the report.",model,NOT electrogenic as encoded (EC 7.1.1.2 but no H+ translocated)
chaemulonii_draft,Candidozyma haemulonii (Candida haemulonii),complex II,R02164__mito,15.4,structure_fungus,"Succinate dehydrogenase of SACCHAROMYCES CEREVISIAE, PDB 9KPS, in-bilayer cross-section (a second yeast deposition, 9QDL, gives 14.4 nm^2; the pig enzyme, 1ZOY, gives 10.6, which is the value Szenk's E. coli row of 10 nm^2 also sits at).",100.0,ecoli,"Szenk 2017 / BRENDA physiological midpoint, as eciML1515 uses it. No Candida value exists.",model,non-electrogenic (correct)
chaemulonii_draft,Candidozyma haemulonii (Candida haemulonii),complex III,R02161__mito,68.2,structure_fungus,"Cytochrome bc1 DIMER of SACCHAROMYCES CEREVISIAE, from the III2IV2 supercomplex structure PDB 6HU9, in-bilayer cross-section. The dimer is the physiological unit. Structures lacking subunit QCR10 (1KB9, 3CX5, 1EZV, and the C. albicans structure 7RJA at 51.5 nm^2) give smaller values; the spread is subunit completeness, not biology. Cross-check: the III2IV2 supercomplex measures 157.4 nm^2 against 68.2 + 2 x 45.0 = 158.2 for its parts, so supercomplex formation is area-neutral to 0.5 %.",100.0,ecoli,"Set to the physiological midpoint eciML1515 uses for its oxidases; no fungal or Candida bc1 turnover was found. The models' own value for this reaction is the DLKcat parse default (13.7 s^-1), i.e. not a prediction.",model,1.5 H+ cyto->mito: REVERSED relative to a mitochondrion
chaemulonii_draft,Candidozyma haemulonii (Candida haemulonii),complex IV,R00081__mito,45.0,structure_fungus,"Cytochrome c oxidase MONOMER of SACCHAROMYCES CEREVISIAE, PDB 6HU9; the standalone yeast structure 6YMY gives 45.8 nm^2 and 7Z10 / 8DH6 agree at 41-46. Note this reaction is UNCOSTED in all four models (no GPR), so there is no molecular weight in the models' own accounting to check it against -- and per Carlson et al. 2024 there would be no point if there were, since membrane footprint does not scale with enzyme mass.",100.0,ecoli,"Physiological midpoint, as for the E. coli oxidases (Bekker 2009 measures bo3 225, bd-I 218, bd-II 818 s^-1; the configuration-E parameterisation eciML1515 was fitted with uses a round 100). No Candida value exists.",model,6 H+ mito->cyto
chaemulonii_draft,Candidozyma haemulonii (Candida haemulonii),ATP synthase,T_ATP_synthase__mito,57.9,structure_fungus,"F1Fo ATP synthase MONOMER of SACCHAROMYCES CEREVISIAE, PDB 6B2Z/6B8H, which include the dimerisation subunits e, g, k and i. Structures lacking them (6CP6) give 44-45 nm^2. THE DIMER HAS NO PLANAR FOOTPRINT: the two monomers' membrane normals are 86.3 degrees apart (Davies et al. 2012), because the dimer sits on a curved cristae ridge; summed over that curved surface it is ~116 nm^2. The monomer value is used. THIS IS THE ROW THAT MATTERS: Carlson et al. 2024 find ATP synthase accounts for 45 % of the membrane area used by central metabolism in E. coli and is by far the most sensitive term; in these Candida models it is 99.6-99.99 % of the area used (K4 TASK 3).",270.0,ecoli,"Szenk 2017, as eciML1515 uses it. No ATP-synthesis-direction turnover was found for yeast or Candida ATP synthase. The models' own value is again the DLKcat parse default, 13.7 s^-1.",model,3 H+ cyto->mito (correct direction)
cduobushaemulonii_draft,Candidozyma duobushaemulonii (Candida duobushaemulonii),complex I,R11945__mito R11945__cyto,137.4,structure_fungus,"Membrane-arm cross-section in the bilayer plane of respiratory complex I of YARROWIA LIPOLYTICA, PDB 6RFR, oriented in the membrane by OPM (Lomize et al. 2012 NAR 40:D370). Computed from the structure, cross-checked against the stated arm dimensions of Zickermann et al. 2015 Science 347:44 and Wu et al. 2016 Cell 167:1598 (computed 19.4 nm arm length against a stated 180 A; 8.3 nm width against a stated 70 A). AMBIGUITY WORTH KNOWING: the three iRV973-derived models encode this reaction NON-ELECTROGENICALLY (TASK 1), which is the behaviour of a single-subunit alternative NADH dehydrogenase (Ndi1/Nde1), not of complex I. An Ndi1 monomer's in-bilayer cross-section is 3.0 nm^2, 45x smaller. The complex I value is used because the reaction carries EC 7.1.1.2 and C. parapsilosis encodes it as proton-pumping; if the enzyme is really Ndi1 this row is wrong by a factor of 45.",200.0,ecoli,"Szenk 2017 / BRENDA physiological midpoint for NDH-I, as strains/eciML1515/etc/complexes.csv uses it. NO kcat has been measured for complex I of any Candida species, and none for Ndi1/Nde1 either. The models' own per-species DLKcat values (61.3 / 37.3 / 50.7 / 5.7 s^-1) are deliberately NOT used -- see the report.",model,NOT electrogenic as encoded (EC 7.1.1.2 but no H+ translocated)
cduobushaemulonii_draft,Candidozyma duobushaemulonii (Candida duobushaemulonii),complex II,R02164__mito,15.4,structure_fungus,"Succinate dehydrogenase of SACCHAROMYCES CEREVISIAE, PDB 9KPS, in-bilayer cross-section (a second yeast deposition, 9QDL, gives 14.4 nm^2; the pig enzyme, 1ZOY, gives 10.6, which is the value Szenk's E. coli row of 10 nm^2 also sits at).",100.0,ecoli,"Szenk 2017 / BRENDA physiological midpoint, as eciML1515 uses it. No Candida value exists.",model,non-electrogenic (correct)
cduobushaemulonii_draft,Candidozyma duobushaemulonii (Candida duobushaemulonii),complex III,R02161__mito,68.2,structure_fungus,"Cytochrome bc1 DIMER of SACCHAROMYCES CEREVISIAE, from the III2IV2 supercomplex structure PDB 6HU9, in-bilayer cross-section. The dimer is the physiological unit. Structures lacking subunit QCR10 (1KB9, 3CX5, 1EZV, and the C. albicans structure 7RJA at 51.5 nm^2) give smaller values; the spread is subunit completeness, not biology. Cross-check: the III2IV2 supercomplex measures 157.4 nm^2 against 68.2 + 2 x 45.0 = 158.2 for its parts, so supercomplex formation is area-neutral to 0.5 %.",100.0,ecoli,"Set to the physiological midpoint eciML1515 uses for its oxidases; no fungal or Candida bc1 turnover was found. The models' own value for this reaction is the DLKcat parse default (13.7 s^-1), i.e. not a prediction.",model,1.5 H+ cyto->mito: REVERSED relative to a mitochondrion
cduobushaemulonii_draft,Candidozyma duobushaemulonii (Candida duobushaemulonii),complex IV,R00081__mito,45.0,structure_fungus,"Cytochrome c oxidase MONOMER of SACCHAROMYCES CEREVISIAE, PDB 6HU9; the standalone yeast structure 6YMY gives 45.8 nm^2 and 7Z10 / 8DH6 agree at 41-46. Note this reaction is UNCOSTED in all four models (no GPR), so there is no molecular weight in the models' own accounting to check it against -- and per Carlson et al. 2024 there would be no point if there were, since membrane footprint does not scale with enzyme mass.",100.0,ecoli,"Physiological midpoint, as for the E. coli oxidases (Bekker 2009 measures bo3 225, bd-I 218, bd-II 818 s^-1; the configuration-E parameterisation eciML1515 was fitted with uses a round 100). No Candida value exists.",model,6 H+ mito->cyto
cduobushaemulonii_draft,Candidozyma duobushaemulonii (Candida duobushaemulonii),ATP synthase,T_ATP_synthase__mito,57.9,structure_fungus,"F1Fo ATP synthase MONOMER of SACCHAROMYCES CEREVISIAE, PDB 6B2Z/6B8H, which include the dimerisation subunits e, g, k and i. Structures lacking them (6CP6) give 44-45 nm^2. THE DIMER HAS NO PLANAR FOOTPRINT: the two monomers' membrane normals are 86.3 degrees apart (Davies et al. 2012), because the dimer sits on a curved cristae ridge; summed over that curved surface it is ~116 nm^2. The monomer value is used. THIS IS THE ROW THAT MATTERS: Carlson et al. 2024 find ATP synthase accounts for 45 % of the membrane area used by central metabolism in E. coli and is by far the most sensitive term; in these Candida models it is 99.6-99.99 % of the area used (K4 TASK 3).",270.0,ecoli,"Szenk 2017, as eciML1515 uses it. No ATP-synthesis-direction turnover was found for yeast or Candida ATP synthase. The models' own value is again the DLKcat parse default, 13.7 s^-1.",model,3 H+ cyto->mito (correct direction)
