variant,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,role,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,CTmin_C,Ea_eV,thermal_limit_C,mu_40C,fit_r2,plateau_1pct_width_C,plateau_0p01pct_width_C
full,unconstrained,inf,,cauris_iRV973,calibrate_on,7.670305186259772,0.10414187970394363,0.7988000000000002,38.0,38.0,0.7988000000000002,53.581614160250915,19.26367349461628,1.3051498774056882,53.46923828125,0.7836018748547872,0.2538990798225489,2.5,0.0
full,unconstrained,inf,,chaemulonii_draft,predict,7.670305186259772,0.089429831049868,0.6859540969081377,39.0,39.0,0.6859540969081377,53.28591540854178,20.542381319917382,1.3175642630904294,53.0885009765625,0.683952968836741,-2.0320977045911346,2.5,0.5
full,unconstrained,inf,,cduobushaemulonii_draft,predict,7.670305186259772,0.0737966774464783,0.566043037746462,36.0,36.0,0.566043037746462,53.91251136509637,17.17408371082257,1.2652379126173372,53.672607421875,0.5352716819545037,-0.3033291943772096,3.0,0.0
full,unconstrained,inf,,cparapsilosis_iDC1003,predict,7.670305186259772,0.08602350093034462,0.6598265053262447,37.0,37.0,0.6598265053262447,53.290688832309314,17.41664986598771,1.1474923956851237,53.0772705078125,0.6367731845958543,-0.4319087381673885,2.5,0.0
full,3xA*,3.0,7.87103702951374e+17,cauris_iRV973,calibrate_on,7.670305186259753,0.104141879703944,0.798800000000001,38.0,38.0,0.798800000000001,53.581614160250915,19.26367349461622,1.305149877405828,53.46923828125,0.7836018748547849,0.2538990798224767,2.5,0.0
full,3xA*,3.0,7.87103702951374e+17,chaemulonii_draft,predict,7.670305186259753,0.08942983104986785,0.6859540969081349,39.0,39.0,0.6859540969081349,53.28591540854178,20.54238131991738,1.317564263090429,53.0885009765625,0.6839529688367393,-2.0320977045911084,2.5,0.5
full,3xA*,3.0,7.87103702951374e+17,cduobushaemulonii_draft,predict,7.670305186259753,0.07379667744647861,0.566043037746463,36.0,36.0,0.566043037746463,53.912511365096364,17.174083710822515,1.2652379126173074,53.672607421875,0.5352716819545038,-0.30332919437721606,3.0,0.0
full,3xA*,3.0,7.87103702951374e+17,cparapsilosis_iDC1003,predict,7.670305186259753,0.06768077950697494,0.5191322340624528,35.5,35.5,0.5191322340624528,53.14604460488406,16.811173170777028,1.1915323884076139,52.80401611328125,0.47217192795927543,0.06112634099769276,2.0,0.0
full,2xA*,2.0,5.2473580196758266e+17,cauris_iRV973,calibrate_on,7.670305186259775,0.1041418797039436,0.7988000000000002,38.0,38.0,0.7988000000000002,53.581614160250915,19.26367349461628,1.3051498774059747,53.46923828125,0.7836018748547872,0.2538990798223978,2.5,0.0
full,2xA*,2.0,5.2473580196758266e+17,chaemulonii_draft,predict,7.670305186259775,0.08942983104986783,0.6859540969081367,39.0,39.0,0.6859540969081367,53.28591540854178,20.542381319917375,1.317564263090429,53.0885009765625,0.6839529688367398,-2.0320977045911057,2.5,0.5
full,2xA*,2.0,5.2473580196758266e+17,cduobushaemulonii_draft,predict,7.670305186259775,0.07379667744647833,0.5660430377464625,36.0,36.0,0.5660430377464625,53.91251136509637,17.174083710822504,1.2652379126173177,53.672607421875,0.5352716819545049,-0.30332919437720296,3.0,0.0
full,2xA*,2.0,5.2473580196758266e+17,cparapsilosis_iDC1003,predict,7.670305186259775,0.06167345084249975,0.47305418985176306,35.0,35.0,0.47305418985176306,52.557879648007834,16.737999627081393,1.2078538705830466,51.9793701171875,0.4182486171361474,0.1024796335722864,2.0,0.0
full,1xA*,1.0,2.6236790098379133e+17,cauris_iRV973,calibrate_on,9.009679108312293,0.08870794180148273,0.7992300899902016,36.5,36.5,0.7992300899902016,53.65826614031294,18.8169821967904,1.4353825849556714,53.52569580078125,0.7620200568118721,0.47273288156061233,3.0,0.0
full,1xA*,1.0,2.6236790098379133e+17,chaemulonii_draft,predict,9.009679108312293,0.0847795602566286,0.7638366328560499,38.5,38.5,0.7638366328560499,53.30286165843546,20.375445991814672,1.3426912485732392,53.14154052734375,0.7547856517721686,-2.469524823582146,2.0,0.0
