reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
R00081__mito,R00081__mito,Oxygen + 4 Ferrocytochrome c + 6 H+ => 4 Ferricytochrome c + 2 H2O + 6 H+,False,False,False,True,redox,6.0,4.824514009584526,28.947084057507155,C00007__mito + 6.0 C00080__mito + 4.0 C00126__mito --> 2.0 C00001__mito + 6.0 C00080__cyto + 4.0 C00125__mito,cauris_iRV973,40.0,1.0
R02161__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1,True,False,False,True,redox,-1.5,9.649028019169052,-14.473542028753577,1.5 C00080__cyto + 2.0 C00125__mito + M8428__mito --> 1.5 C00080__mito + 2.0 C00126__mito + C01967__mito,cauris_iRV973,40.0,1.0
T_ATP_synthase__mito,T_ATP_synthase__mito,Orthophosphate (mito) + ADP (mito) + 3 H+ (cyto) <=> ATP (mito) + H2O (mito) + 3 H+ (mito),True,True,True,True,atp_synthase,-3.0,4.824428469408347,-14.473285408225042,C00008__mito + C00009__mito + 3.0 C00080__cyto <=> C00001__mito + C00002__mito + 3.0 C00080__mito,cauris_iRV973,40.0,1.0
R11945__cyto,R11945__cyto,Ubiquinone-9 + NADH + H+ => NAD+ + Ubiquinol-9,True,False,False,False,redox,-1.0,8.709331433367726,-8.709331433367726,C00004__cyto + C00080__cyto + C01967__mito --> C00003__cyto + M8428__mito,cauris_iRV973,40.0,1.0
R00519__cyto,R00519__cyto,Formate + NAD+ => H+ + CO2 + NADH,True,False,False,False,redox,1.0,3.6607428573528793,3.6607428573528793,C00003__cyto + C00058__cyto --> C00004__cyto + C00011__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R04326__cyto,R04326__cyto,"5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O <=> 5'-Phosphoribosyl-N",True,True,False,False,redox,1.0,3.6489401881281784,3.6489401881281784,C00001__cyto + C00445__cyto + C03838__cyto <=> C00080__cyto + C00101__cyto + C04376__cyto,cauris_iRV973,40.0,1.0
R01221__cyto,R01221__cyto,"Glycine + Tetrahydrofolate + NAD+ => 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH",True,False,False,False,redox,1.0,1.8126135854008267,1.8126135854008267,C00003__cyto + C00037__cyto + C00101__cyto --> C00004__cyto + C00011__cyto + C00014__cyto + C00080__cyto + C00143__cyto,cauris_iRV973,40.0,1.0
TO1000041_PLAS__plas,TO1000041_PLAS__plas,1.0 L-Aspartate (extr) + 1.0 H+ (extr) => 1.0 L-Aspartate (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,0.9876322548795936,0.9876322548795936,C00049__extr + C00080__extr --> C00049__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R00248__cyto,R00248__cyto,L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+,True,True,False,False,redox,1.0,0.9452431396473548,0.9452431396473548,C00001__cyto + C00006__cyto + C00025__cyto <=> C00005__cyto + C00014__cyto + C00026__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R10092__cyto,R10092__cyto,HCO3- + H+ <=> CO2 + H2O,True,True,False,False,redox,-1.0,-0.5526154463355875,0.5526154463355875,C00080__cyto + C00288__cyto <=> C00001__cyto + C00011__cyto,cauris_iRV973,40.0,1.0
