reaction,old_lb,old_ub,new_lb,new_ub,h_cyto_coeff,justification,round,strain
L_Aspartate_c00049_CytoMito__mito,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cauris_iRV973
TR1000107_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cauris_iRV973
TR1000119_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cauris_iRV973
TR1000009_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",1,cauris_iRV973
T_Pyruvate_c00022_CytoMito__mito,-999999.0,999999.0,0.0,999999.0,-1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",1,cauris_iRV973
L_Aspartate_c00049_CytoMito__mito,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,chaemulonii_draft
TR2000264_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,chaemulonii_draft
TR1000051_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,chaemulonii_draft
TR2000269_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",1,chaemulonii_draft
TR2000118_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",2,chaemulonii_draft
TR1000266_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",3,chaemulonii_draft
TR1000053_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",3,chaemulonii_draft
L_Aspartate_c00049_CytoMito__mito,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cduobushaemulonii_draft
TR1000041_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cduobushaemulonii_draft
TR1000107_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cduobushaemulonii_draft
TR1000066_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cduobushaemulonii_draft
TR1000119_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cduobushaemulonii_draft
TR1000051_PLAS__plas,-999999.0,999999.0,-999999.0,0.0,1.0,"H+-coupled mitochondrial carrier. The direction bounded away is the one that moves protons OUT of the matrix into the cytosol, i.e. that CREATES proton-motive force. A symporter cannot build the gradient it is driven by; run that way it is a free proton pump. The physiological direction, protons flowing down the gradient into the matrix, is left open.",0,cduobushaemulonii_draft
