strain,species,config,T_C,model_qO2_mmol_gDW_h,model_O2_fmol_per_cell_h,LABEL
cauris_iRV973,C. auris (clade I),before (B3),22.0,0.04978137108857121,0.013938783904799941,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),24.0,0.0878348234276745,0.02459375055974886,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),26.0,0.14102222166891523,0.03948622206729627,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),28.0,0.2050991054743328,0.05742774953281319,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),30.0,0.27140003506181154,0.07599200981730724,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),32.0,0.32966100398876347,0.09230508111685377,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),34.0,0.3724555376616067,0.1042875505452499,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),36.0,0.39938242182068145,0.11182707810979081,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),38.0,0.4064399711036027,0.11380319190900876,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),40.0,0.39870696466288014,0.11163795010560644,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),42.0,0.379143947030277,0.10616030516847756,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),before (B3),44.0,0.35074515504739934,0.09820864341327182,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",22.0,3.1549560248109043,0.8833876869470533,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",24.0,3.4061530598631173,0.9537228567616729,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",26.0,2.558531809412975,0.716388906635633,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",28.0,3.1990873062564136,0.8957444457517959,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",30.0,3.795941591179254,1.0628636455301912,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",32.0,4.3003912409299145,1.2041095474603762,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",34.0,4.683129591160053,1.3112762855248148,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",36.0,4.937291629618928,1.3824416562932997,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",38.0,5.071645674324843,1.4200607888109562,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",40.0,5.077935589028096,1.4218219649278667,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",42.0,5.027082601439618,1.4075831284030933,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",44.0,4.9096688081947555,1.3747072662945317,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),22.0,1.156945360823117,0.3239447010304728,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),24.0,1.3558620499411156,0.3796413739835124,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),26.0,1.7115291237132264,0.4792281546397034,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),28.0,2.1864779911079695,0.6122138375102315,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),30.0,2.639910665865274,0.7391749864422767,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),32.0,2.9110343538959627,0.8150896190908696,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),34.0,3.189995499666175,0.893198739906529,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),36.0,3.371594309175723,0.9440464065692024,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),38.0,3.4626119230652956,0.9695313384582829,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),40.0,3.476331812122008,0.9733729073941623,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),42.0,3.428435915056589,0.959962056215845,carries the cell-mass assumption; not concluded from
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),44.0,2.7528951734594513,0.7708106485686465,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),22.0,0.02749043930879728,0.007697323006463239,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),24.0,0.0492746878797113,0.013796912606319165,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),26.0,0.08244804269264648,0.023085451953941016,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),28.0,0.12768063080337208,0.03575057662494418,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),30.0,0.18207977361323152,0.05098233661170483,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),32.0,0.23826611926231747,0.0667145133934489,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),34.0,0.28754017580309976,0.08051124922486794,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),36.0,0.324580299395242,0.09088248383066777,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),38.0,0.34593204617067475,0.09686097292778893,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),40.0,0.3479532782657692,0.09742691791441539,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),42.0,0.3354952035488847,0.09393865699368772,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,before (B3),44.0,0.3122691474013984,0.08743536127239156,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",22.0,2.0027198353059537,0.5607615538856671,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",24.0,2.120339050731318,0.593694934204769,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",26.0,2.4815396723254834,0.6948311082511354,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",28.0,3.035482227637797,0.8499350237385832,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",30.0,3.576191828513946,1.001333711983905,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",32.0,4.068946047255524,1.139304893231547,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",34.0,4.477149107501346,1.253601750100377,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",36.0,4.782987263844245,1.3392364338763887,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",38.0,4.943854954166931,1.3842793871667407,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",40.0,5.015666088762134,1.4043865048533977,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",42.0,5.0231449909684125,1.4064805974711556,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",44.0,4.983363686943395,1.3953418323441509,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),22.0,1.0227781897419745,0.2863778931277529,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),24.0,1.1247575061313682,0.3149321017167831,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),26.0,1.3687248313955687,0.38324295279075926,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),28.0,1.7352026273202223,0.48585673564966225,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),30.0,2.109204012615807,0.5905771235324261,carries the cell-mass assumption; not concluded from
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),32.0,2.37827199836164,0.6659161595412593,carries the cell-mass assumption; not concluded from
