strain,species,config,model_E_resp_eV,model_E_growth_eV,model_E_resp_minus_growth,model_r2_resp,model_r2_growth,measured_E_resp_eV,measured_E_resp_sd,measured_E_growth_eV,measured_E_growth_sd,measured_E_resp_minus_growth,n_isolates,model_growth_peak_C,model_resp_peak_C,measured_growth_peak_C,measured_resp_peak_C
cauris_iRV973,C. auris (clade I),before (B3),0.6653956037122277,0.6623968604635516,0.0029987432486761056,0.7412751235068336,0.7387183976152845,0.5182544181918124,0.024025737161010075,0.19327520031247766,0.04603722611810924,0.3249792178793347,3,38.0,38.0,34.0,44.0
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",0.2312589497632779,0.5602785411979658,-0.32901959143468795,0.7678809030318059,0.6675971169061788,0.5182544181918124,0.024025737161010075,0.19327520031247766,0.04603722611810924,0.3249792178793347,3,36.0,40.0,34.0,44.0
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),0.370616558024619,0.6033824496082758,-0.2327658915836568,0.7414855684935124,0.6977182289000919,0.5182544181918124,0.024025737161010075,0.19327520031247766,0.04603722611810924,0.3249792178793347,3,38.0,40.0,34.0,44.0
chaemulonii_draft,C. haemulonii,before (B3),0.8684696951070429,0.8658059529403338,0.00266374216670906,0.8165187466899333,0.8146641264067143,0.4505589946800294,0.044549093450323846,-0.0323540905177521,0.22620750748224494,0.48291308519778153,3,40.0,40.0,42.0,44.0
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",0.37093331291854487,0.7310040698390396,-0.3600707569204948,0.8914574961185077,0.7342751736057188,0.4505589946800294,0.044549093450323846,-0.0323540905177521,0.22620750748224494,0.48291308519778153,3,38.0,42.0,42.0,44.0
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),0.41148448079333905,0.8094515945156203,-0.3979671137222813,0.872977783955839,0.7873363948718255,0.4505589946800294,0.044549093450323846,-0.0323540905177521,0.22620750748224494,0.48291308519778153,3,38.0,40.0,42.0,44.0
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),0.3716406851250871,0.3716406851250873,-2.220446049250313e-16,0.5792692459761781,0.5792692459761812,0.46948906639462956,0.05390815515982818,0.0064715119265998,0.029682473583200312,0.4630175544680298,2,36.0,36.0,32.0,38.0
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",0.17704658013848681,0.25633892103648065,-0.07929234089799383,0.5499729068284114,0.36856230886914,0.46948906639462956,0.05390815515982818,0.0064715119265998,0.029682473583200312,0.4630175544680298,2,34.0,42.0,32.0,38.0
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),0.2545427161266177,0.3164290129603762,-0.06188629683375846,0.6806631557309588,0.495745494860353,0.46948906639462956,0.05390815515982818,0.0064715119265998,0.029682473583200312,0.4630175544680298,2,36.0,38.0,32.0,38.0
cparapsilosis_iDC1003,C. parapsilosis,before (B3),0.004439740748251823,0.42068114048686905,-0.41624139973861723,0.0006436816801383971,0.6576821921251153,0.3443470300907909,0.021888218331832122,0.26443504875586005,0.06554911405618477,0.07991198133493083,3,38.0,30.0,32.0,40.0
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",0.0044397407482489396,0.42068114048685307,-0.41624139973860413,0.0006436816801369538,0.6576821921251297,0.3443470300907909,0.021888218331832122,0.26443504875586005,0.06554911405618477,0.07991198133493083,3,38.0,30.0,32.0,40.0
