strain,species,config,T_C,mu,qO2
cauris_iRV973,C. auris (clade I),before (B3),22.0,0.012833520255356593,0.04978137108857121
cauris_iRV973,C. auris (clade I),before (B3),24.0,0.02264361067072981,0.0878348234276745
cauris_iRV973,C. auris (clade I),before (B3),26.0,0.036355196706482566,0.14102222166891523
cauris_iRV973,C. auris (clade I),before (B3),28.0,0.05287406648115911,0.2050991054743328
cauris_iRV973,C. auris (clade I),before (B3),30.0,0.06996629002188895,0.27140003506181154
cauris_iRV973,C. auris (clade I),before (B3),32.0,0.08497329930905925,0.32966100398876347
cauris_iRV973,C. auris (clade I),before (B3),34.0,0.0960040025908404,0.3724555376616067
cauris_iRV973,C. auris (clade I),before (B3),36.0,0.1023335279160254,0.39938242182068145
cauris_iRV973,C. auris (clade I),before (B3),38.0,0.10414187970394363,0.4064399711036027
cauris_iRV973,C. auris (clade I),before (B3),40.0,0.1021604559175162,0.39870696466288014
cauris_iRV973,C. auris (clade I),before (B3),42.0,0.09714783517697055,0.379143947030277
cauris_iRV973,C. auris (clade I),before (B3),44.0,0.08987122906367988,0.35074515504739934
cauris_iRV973,C. auris (clade I),repaired (B5),22.0,0.010114828946619428,3.1549560248109043
cauris_iRV973,C. auris (clade I),repaired (B5),24.0,0.017832386748891753,3.4061530598631173
cauris_iRV973,C. auris (clade I),repaired (B5),26.0,0.027959012521127546,2.558531809412975
cauris_iRV973,C. auris (clade I),repaired (B5),28.0,0.03913372242974788,3.1990873062564136
cauris_iRV973,C. auris (clade I),repaired (B5),30.0,0.05008269541260929,3.795941591179254
cauris_iRV973,C. auris (clade I),repaired (B5),32.0,0.05915696493568253,4.3003912409299145
cauris_iRV973,C. auris (clade I),repaired (B5),34.0,0.06532263033865102,4.683129591160053
cauris_iRV973,C. auris (clade I),repaired (B5),36.0,0.06825673306299902,4.937291629618928
cauris_iRV973,C. auris (clade I),repaired (B5),38.0,0.0681306389724109,5.071645674324843
cauris_iRV973,C. auris (clade I),repaired (B5),40.0,0.06537954957756921,5.077935589028096
cauris_iRV973,C. auris (clade I),repaired (B5),42.0,0.06050601285909574,5.027082601439618
cauris_iRV973,C. auris (clade I),repaired (B5),44.0,0.053970387973900594,4.9096688081947555
cauris_iRV973,C. auris (clade I),repaired + complex III,22.0,0.0118983557565889,1.156945360823117
cauris_iRV973,C. auris (clade I),repaired + complex III,24.0,0.020951009256727642,1.3558620499411156
cauris_iRV973,C. auris (clade I),repaired + complex III,26.0,0.03324840367833482,1.7115291237132264
cauris_iRV973,C. auris (clade I),repaired + complex III,28.0,0.04748414877355721,2.1864779911079695
cauris_iRV973,C. auris (clade I),repaired + complex III,30.0,0.061716409879201545,2.639910665865274
cauris_iRV973,C. auris (clade I),repaired + complex III,32.0,0.07377750091315073,2.9110343538959627
cauris_iRV973,C. auris (clade I),repaired + complex III,34.0,0.08220234218724462,3.189995499666175
cauris_iRV973,C. auris (clade I),repaired + complex III,36.0,0.08649042882261054,3.371594309175723
cauris_iRV973,C. auris (clade I),repaired + complex III,38.0,0.08687739862940806,3.4626119230652956
cauris_iRV973,C. auris (clade I),repaired + complex III,40.0,0.08395335383435878,3.476331812122008
cauris_iRV973,C. auris (clade I),repaired + complex III,42.0,0.07842027773244821,3.428435915056589
cauris_iRV973,C. auris (clade I),repaired + complex III,44.0,0.07139195308443509,2.7528951734594513
chaemulonii_draft,C. haemulonii,before (B3),22.0,0.007086970526994921,0.02749043930879728
chaemulonii_draft,C. haemulonii,before (B3),24.0,0.012702898517108692,0.0492746878797113
chaemulonii_draft,C. haemulonii,before (B3),26.0,0.02125491128052721,0.08244804269264648
chaemulonii_draft,C. haemulonii,before (B3),28.0,0.032915765994399646,0.12768063080337208
chaemulonii_draft,C. haemulonii,before (B3),30.0,0.04693973692686446,0.18207977361323152
chaemulonii_draft,C. haemulonii,before (B3),32.0,0.061424444543275426,0.23826611926231747
chaemulonii_draft,C. haemulonii,before (B3),34.0,0.07412718030269487,0.28754017580309976
chaemulonii_draft,C. haemulonii,before (B3),36.0,0.08367603695300518,0.324580299395242
chaemulonii_draft,C. haemulonii,before (B3),38.0,0.0886509631033352,0.34593204617067475
chaemulonii_draft,C. haemulonii,before (B3),40.0,0.08916893816193112,0.3479532782657692
