species,strain,ngam_scale,ngam_base_scale,model_E_growth,model_E_resp,model_diff,measured_diff,measured_lo,measured_hi,gap,within_CI,peak_mu,peak_T_C
C. auris (clade I),cauris_iRV973,0.0,0.0,1.2183358053115425,0.47411654638093526,-0.7442192589306073,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,-0.36073897224774576,False,0.09035972492148768,38.0
C. auris (clade I),cauris_iRV973,1.0,0.831733,1.2001399145649811,0.2312589497632771,-0.968880964801704,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,-0.5854006781188426,False,0.06825673306299902,36.0
C. auris (clade I),cauris_iRV973,2.0,1.663466,1.1760992651727906,0.22562743665804008,-0.9504718285147505,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,-0.566991541831889,False,0.04769105543932311,36.0
C. auris (clade I),cauris_iRV973,5.0,4.158665,-3.1145915264961044,0.429745052836284,3.544336579332388,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,3.9278168660152497,False,0.0027808596310328827,26.0
C. auris (clade I),cauris_iRV973,10.0,8.31733,,,,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,,False,0.0,22.0
C. auris (clade I),cauris_iRV973,20.0,16.63466,,,,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,,False,0.0,22.0
C. haemulonii,chaemulonii_draft,0.0,0.0,1.7635812657355234,0.8095404340556204,-0.9540408316799031,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,-0.5910961003274846,False,0.08027134394224746,40.0
C. haemulonii,chaemulonii_draft,1.0,0.831733,1.7590054163450848,0.3709333129185442,-1.3880721034265406,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,-1.025127372074122,False,0.05792761378920816,38.0
C. haemulonii,chaemulonii_draft,2.0,1.663466,1.726854708202116,0.2565519817149604,-1.4703027264871555,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,-1.107357995134737,False,0.03473358437130342,36.0
C. haemulonii,chaemulonii_draft,5.0,4.158665,,,,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,,False,5.2273921059344035e-05,26.0
C. haemulonii,chaemulonii_draft,10.0,8.31733,,,,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,,False,0.0,22.0
C. haemulonii,chaemulonii_draft,20.0,16.63466,,,,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,,False,0.0,22.0
C. duobushaemulonii,cduobushaemulonii_draft,0.0,0.0,0.9649534995129885,0.20353646038516315,-0.7614170391278253,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,-0.6120392690238038,False,0.06696170530205804,36.0
C. duobushaemulonii,cduobushaemulonii_draft,1.0,0.831733,0.9342087291928274,0.1770465801384854,-0.757162149054342,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,-0.6077843789503204,False,0.04918715337755903,34.0
C. duobushaemulonii,cduobushaemulonii_draft,2.0,1.663466,0.8831319776153331,0.21058721259669821,-0.6725447650186349,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,-0.5231669949146134,False,0.03296191286119387,32.0
C. duobushaemulonii,cduobushaemulonii_draft,5.0,4.158665,,,,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,,False,0.001364975885879389,26.0
C. duobushaemulonii,cduobushaemulonii_draft,10.0,8.31733,,,,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,,False,0.0,22.0
C. duobushaemulonii,cduobushaemulonii_draft,20.0,16.63466,,,,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,,False,0.0,22.0
C. parapsilosis,cparapsilosis_iDC1003,0.0,0.0,1.0627572700638672,0.12964314458444282,-0.9331141254794244,-0.4641029749458416,-0.675613372382897,-0.2696779207485192,-0.46901115053358283,False,0.11199800134790187,38.0
C. parapsilosis,cparapsilosis_iDC1003,1.0,0.833871,1.0228712036262797,0.004439740748249615,-1.01843146287803,-0.4641029749458416,-0.675613372382897,-0.2696779207485192,-0.5543284879321884,False,0.08570176864579221,38.0
C. parapsilosis,cparapsilosis_iDC1003,2.0,1.667742,0.9594113733164509,-0.0712603151225119,-1.0306716884389628,-0.4641029749458416,-0.675613372382897,-0.2696779207485192,-0.5665687134931212,False,0.05720067895361835,36.0
C. parapsilosis,cparapsilosis_iDC1003,5.0,4.169355,,,,-0.4641029749458416,-0.675613372382897,-0.2696779207485192,,False,0.0,22.0
C. parapsilosis,cparapsilosis_iDC1003,10.0,8.33871,,,,-0.4641029749458416,-0.675613372382897,-0.2696779207485192,,False,0.0,22.0
C. parapsilosis,cparapsilosis_iDC1003,20.0,16.67742,,,,-0.4641029749458416,-0.675613372382897,-0.2696779207485192,,False,0.0,22.0
