species,strain,dCp_scale,dCp_kJ,in_literature_range,model_E_growth,measured_E_growth,steepness,model_E_resp,measured_E_resp,model_diff,Topt_C,CTmax_C,observed_limit_C,ceiling_gap_C,fit_r2,peak_mu_model
C. auris (clade I),cauris_iRV973,0.25,-1.0,False,0.2979130982371963,0.9010557487773184,0.3306267105464312,0.2195334464660505,0.5184327086421238,-0.07837965177114581,36.0,53.81105438458475,44.0,9.81105438458475,-0.102679345498635,0.07268956594202677
C. auris (clade I),cauris_iRV973,0.5,-2.0,True,0.5396578254876576,0.9010557487773184,0.5989172437109942,0.27248365309259875,0.5184327086421238,-0.26717417239505886,36.5,53.59423938419933,44.0,9.594239384199327,0.3879982153676246,0.07141338697390058
C. auris (clade I),cauris_iRV973,0.75,-3.0,True,0.8394657998308201,0.9010557487773184,0.9316469052774233,0.3291838252318135,0.5184327086421238,-0.5102819745990066,36.5,53.36987794344765,44.0,9.369877943447648,0.5745201989128967,0.07002946339226805
C. auris (clade I),cauris_iRV973,1.0,-4.0,True,1.2001399145649811,0.9010557487773184,1.3319263721401289,0.2312589497632771,0.5184327086421238,-0.968880964801704,37.0,53.027893780338474,44.0,9.027893780338474,0.5177484741936473,0.06855343950771708
C. auris (clade I),cauris_iRV973,1.25,-5.0,True,1.6314261372325873,0.9010557487773184,1.810571809176447,0.2189512265983196,0.5184327086421238,-1.4124749106342678,37.0,52.544664090584114,44.0,8.544664090584114,0.28270428013157123,0.0669161534674515
C. auris (clade I),cauris_iRV973,1.5,-6.0,True,2.085295404339836,0.9010557487773184,2.3142801177057732,0.24239433850694614,0.5184327086421238,-1.8429010658328902,37.5,51.884613287025395,44.0,7.884613287025395,-0.07156072438485106,0.06509534761764196
C. auris (clade I),cauris_iRV973,2.0,-8.0,False,2.6219674618542195,0.9010557487773184,2.9098837285174426,0.22958300611252286,0.5184327086421238,-2.3923844557416967,38.0,50.38918617132415,44.0,6.389186171324148,-0.9635066337759364,0.06083201233491879
C. auris (clade I),cauris_iRV973,3.0,-12.0,False,3.299175526247698,0.9010557487773184,3.661455498979383,0.18588823673136756,0.5184327086421238,-3.11328728951633,39.0,47.94127030564441,44.0,3.9412703056444087,-2.8691629173573427,0.04934950825036885
C. auris (clade I),cauris_iRV973,4.0,-16.0,False,4.405703752977175,0.9010557487773184,4.889490754545948,0.1306333216327882,0.5184327086421238,-4.275070431344386,40.0,46.39886368215551,44.0,2.3988636821555076,-4.1730768361558805,0.03455645415190008
C. haemulonii,chaemulonii_draft,0.25,-1.0,False,0.640748772037076,0.7968397242072742,0.8041124865787994,0.27858079149271037,0.4331457299378385,-0.36216798054436566,38.0,53.22060095662535,38.0,15.220600956625347,-0.9994570152071673,0.06420564355240038
C. haemulonii,chaemulonii_draft,0.5,-2.0,True,0.9851170920076855,0.7968397242072742,1.2362800975914154,0.3166097256427803,0.4331457299378385,-0.6685073663649053,37.5,52.870145324325925,38.0,14.870145324325925,-1.0327833186393889,0.06217995356655997
