species,strain,correction,observed_limit_C,gap_C,Tm_median_C,Tm_sd_C,CTmax_C,Topt_C,rmax,Ea_eV,fit_r2,peak_mu_model,E_growth,E_resp
C. auris (clade I),cauris_iRV973,uncorrected,44.0,9.027893780338474,53.68015200000002,2.8810613253551725,53.027893780338474,37.0,0.7988,1.3260537028039798,0.5177484741936473,0.06855343950771708,1.2001399145649811,0.2312589497632771
C. auris (clade I),cauris_iRV973,(a) flat -5.43 C,44.0,4.2262019736074095,48.25015200000002,2.8810613253551725,48.22620197360741,37.0,0.7988,1.3259404016310898,0.5884888729794935,0.06846703448387954,1.199973697980789,0.22643743259926083
C. auris (clade I),cauris_iRV973,(b) A1 regression,44.0,5.295696362258113,49.32551072799998,0.17574474084666444,49.29569636225811,35.5,0.7988,1.085907788626851,0.6873794440290149,0.07230945951506501,0.6608883715311122,0.15659384402496257
C. haemulonii,chaemulonii_draft,uncorrected,38.0,13.83127649838228,53.53632600000003,2.363764505050149,51.83127649838228,37.5,0.6167,1.3145245147896858,-1.2700598331304422,0.057960274192958225,1.7590054163450848,0.3709333129185442
C. haemulonii,chaemulonii_draft,(a) flat -5.43 C,38.0,9.468266917407817,48.10632600000003,2.363764505050149,47.46826691740782,37.5,0.6167,1.3144136315879589,-1.2317204866192788,0.05791633865256974,1.758991818227716,0.36947298906966775
C. haemulonii,chaemulonii_draft,(b) A1 regression,38.0,10.975851110103768,49.33428411400001,0.14418963480805952,48.97585111010377,35.0,0.6167,1.1602659557252761,-0.5153907838579859,0.06573663318488787,0.9769185659189085,0.2827992089669409
C. duobushaemulonii,cduobushaemulonii_draft,uncorrected,38.0,13.669874855503743,53.52176400000002,2.240527313917022,51.66987485550374,34.5,0.7124,1.3418116053969538,-0.43511590773620523,0.04920697369163382,0.9342087291928274,0.1770465801384854
C. duobushaemulonii,cduobushaemulonii_draft,(a) flat -5.43 C,38.0,9.594860379136406,48.09176400000002,2.2405273139170214,47.594860379136406,34.5,0.7124,1.3417901160060437,-0.4060301570581024,0.0491948198119674,0.9341675144097615,0.17564102584287522
C. duobushaemulonii,cduobushaemulonii_draft,(b) A1 regression,38.0,10.835699693701315,49.33517239600002,0.13667216614893954,48.835699693701315,34.0,0.7124,1.0142667089469555,-0.33938194495229035,0.050688373856920946,0.44705420378239796,0.11338927499736864
C. parapsilosis,cparapsilosis_iDC1003,uncorrected,38.0,15.290688832309321,54.206860000000006,2.3380684850996576,53.29068883230932,37.0,0.8001999999999999,1.1474923956851046,-1.0410534164612502,0.08602350093034462,1.0228712036262797,0.004439740748249615
C. parapsilosis,cparapsilosis_iDC1003,(a) flat -5.43 C,38.0,10.168140916086884,48.776860000000006,2.3380684850996576,48.168140916086884,37.0,0.8002,1.1474693527362059,-0.9743837595509182,0.08599877035245303,1.0228508647991916,0.0010316198908447718
C. parapsilosis,cparapsilosis_iDC1003,(b) A1 regression,38.0,11.718385444216302,49.293381539999984,0.14262217759107923,49.7183854442163,33.0,0.8002,1.231162680512588,-0.9606750267400235,0.0778280122272735,0.6197327582740125,-0.022734376592671985
