model_state,strain,species,CTmax_uncorrected_C,observed_limit_C,gap_C,required_offset_C,CTmax_at_offset_0,CTmax_at_offset_3,CTmax_at_offset_6,CTmax_at_offset_9,CTmax_at_offset_12,CTmax_at_offset_15,CTmax_at_offset_18
B3 (before the K5 repair),cauris_iRV973,C. auris,53.581614160250915,44.0,9.581614160250915,9.903122041658548,53.581614160250915,50.73603821052416,47.83005108842561,44.89050932135045,41.93240638418241,38.96673999172674,35.99978207270443
B3 (before the K5 repair),chaemulonii_draft,C. haemulonii,53.28591540854179,38.0,15.28591540854179,15.759417808592334,53.28591540854179,50.38892955099208,47.45326146986215,44.49642193788658,41.6234624226359,38.73458030680391,35.83269823941255
B3 (before the K5 repair),cduobushaemulonii_draft,C. duobushaemulonii,53.912511365096364,38.0,15.912511365096364,16.356679970474396,53.912511365096364,51.005070762163975,48.156413963539414,45.24715940026603,42.30442861400731,39.34301490547489,36.37323219760767
B3 (before the K5 repair),cparapsilosis_iDC1003,C. parapsilosis,53.290688832309314,38.0,15.290688832309314,15.929540030636174,53.290688832309314,50.446675176133134,47.601706900511296,44.75287990795064,41.84548997888013,38.912350414718226,35.96782822745809
B5 (repaired),cauris_iRV973,C. auris,53.02789378033842,44.0,9.027893780338417,9.854164504294463,53.02789378033842,50.42994243643334,47.68215339030717,44.83220123293298,41.90934072275394,38.95853250967308,35.99708580302395
B5 (repaired),chaemulonii_draft,C. haemulonii,51.83127649838229,38.0,13.831276498382287,15.493788459345328,51.831276498382344,49.498925364740295,46.96403975131541,44.26323877874329,41.39545229530943,38.47033214303122,35.612840432989266
B5 (repaired),cduobushaemulonii_draft,C. duobushaemulonii,51.669874855503735,38.0,13.669874855503735,15.844211396555506,51.669874855503735,49.51443660005922,47.1227178961519,44.365948775156966,41.66977690250856,38.82354379402826,35.89698844051694
B5 (repaired),cparapsilosis_iDC1003,C. parapsilosis,53.290688832309314,38.0,15.290688832309314,15.929540030636174,53.290688832309314,50.44667517613314,47.601706900511296,44.75287990795064,41.84548997888013,38.912350414718226,35.96782822745809
B5 + carbon cap 12,cauris_iRV973,C. auris,53.02881911959557,44.0,9.028819119595568,9.854204745383472,53.02881911959557,50.43036639016823,47.68266864294459,44.832256046685465,41.90934072275392,38.9585325096731,35.997418583773744
B5 + carbon cap 12,chaemulonii_draft,C. haemulonii,51.5845440245519,38.0,13.584544024551903,15.483341918288907,51.5845440245519,49.36566016611645,46.86315940231759,44.20842870840341,41.37636555938458,38.4628799632854,35.58988294541413
B5 + carbon cap 12,cduobushaemulonii_draft,C. duobushaemulonii,51.68020778443644,38.0,13.68020778443644,15.837730567623904,51.68020778443644,49.48686220395195,47.03759130794722,44.35535998008098,41.655187834693216,38.81800157305755,35.88865314766457
B5 + carbon cap 12,cparapsilosis_iDC1003,C. parapsilosis,53.241156732667825,38.0,15.241156732667825,15.928110078329178,53.241156732667825,50.429923279637904,47.5830264578728,44.747041270885646,41.84368458213497,38.91100229217334,35.96630107586924
"B5, dCp -3.0 (K7's value)",cauris_iRV973,C. auris,53.3698779434477,44.0,9.369877943447698,9.881819683716204,53.3698779434477,50.58452678003254,47.771901180492414,44.86551700355041,41.92097963542462,38.95916443126956,35.99109147059825
"B5, dCp -3.0 (K7's value)",chaemulonii_draft,C. haemulonii,52.38684096064535,38.0,14.386840960645351,15.49572473103562,52.38684096064535,49.857458422990995,47.15031868795689,44.32369517864493,41.41580965332036,38.47545822338558,35.59810597352527
"B5, dCp -3.0 (K7's value)",cduobushaemulonii_draft,C. duobushaemulonii,52.34341229995028,38.0,14.34341229995028,15.84944614688931,52.34341229995028,49.88308472190031,47.298877491944765,44.44256200430073,41.72290117844541,38.830413400185456,35.897631599150344
"B5, dCp -3.0 (K7's value)",cparapsilosis_iDC1003,C. parapsilosis,53.44098259523723,38.0,15.44098259523723,15.932722819747804,53.44098259523723,50.57014672491032,47.71744659718994,44.80959135122108,41.87209568647896,38.91975661179852,35.96146098851611
"B5, dCp -6.0",cauris_iRV973,C. auris,51.88461328702481,44.0,7.884613287024813,9.787907454266094,51.88461328702481,50.01366913886192,47.462460003631016,44.75292992610477,41.886108745413836,38.959209551695174,36.0493986774826
"B5, dCp -6.0",chaemulonii_draft,C. haemulonii,50.35350311530627,38.0,12.353503115306268,15.491899628960653,50.35350311530627,48.74178204666165,46.66361343519759,44.0985582472162,41.3537190736691,38.46145707240512,35.64712029370003
"B5, dCp -6.0",cduobushaemulonii_draft,C. duobushaemulonii,49.93435283206379,38.0,11.934352832063787,15.838762298903267,49.93435283206379,48.64183589760555,46.649999153337674,44.275317570184484,41.49282078218949,38.81559709683876,35.89845204428263
"B5, dCp -6.0",cparapsilosis_iDC1003,C. parapsilosis,52.79076238031464,38.0,14.79076238031464,15.923698220803322,52.790762380314625,50.2182362659329,47.430581601463444,44.60859448746886,41.78815795441767,38.90111190465801,35.97446805811797
