rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1,transfer_candida_B1_unfolding,cauris_iRV973,growth_scale,1.9176776375861837,1.9176776375861588,-2.4868995751603507e-14,1.2968287925027154e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,peak_mu,0.7987999999999995,0.7988000000000051,5.551115123125783e-15,6.949317880728325e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,peak_mu_model,0.4165455050127527,0.416545505012761,8.271161533457416e-15,1.9856561729562273e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_pool_free_model,2.0449914850918076,2.044991485087404,-4.403588604873221e-12,2.1533530271278987e-12
B1,transfer_candida_B1_unfolding,cauris_iRV973,pool_binding_ratio,4.909407160759474,4.909407160748903,-1.057109955127089e-11,2.153233415994685e-12
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_all_caps_free_model,2.0449914850918076,2.044991485087404,-4.403588604873221e-12,2.1533530271278987e-12
B1,transfer_candida_B1_unfolding,cauris_iRV973,all_caps_ratio,4.909407160759474,4.909407160748903,-1.057109955127089e-11,2.153233415994685e-12
B1,transfer_candida_B1_unfolding,cauris_iRV973,fit_r2,0.2046081562047687,0.2046081562048074,3.8719027983802334e-14,1.8923501732283305e-13
B1,transfer_candida_B1_unfolding,cauris_iRV973,descr_CTmax_C,53.68238324914087,53.68238324914086,-7.105427357601002e-15,1.323605050212579e-16
B1,transfer_candida_B1_unfolding,cauris_iRV973,descr_CTmin_C,19.274392803257633,19.27439280325751,-1.2434497875801753e-13,6.451304589839092e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,descr_Ea_eV,1.3111912733562154,1.3111912733562685,5.306866057708248e-14,4.0473622464893536e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_22C,0.0974872027401354,0.0974872027401596,2.4188984149020598e-14,2.481247124661011e-13
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_24C,0.1714941583841925,0.1714941583841904,-2.0816681711721685e-15,1.2138420286647191e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_26C,0.2756252565755034,0.2756252565755002,-3.219646771412954e-15,1.1681247253663708e-14
