line,step_sd,logL,T_C,growth,o2
axis:topt_scale,-1.0,-11.815877416053162,15.0,0.025941113942553953,2.428738594940432
axis:topt_scale,-1.0,-11.815877416053162,20.0,0.24796522202458227,9.569964468781471
axis:topt_scale,-1.0,-11.815877416053162,25.0,0.8564204664859901,18.08050524030072
axis:topt_scale,-1.0,-11.815877416053162,27.0,1.0968798418581693,21.578877220656604
axis:topt_scale,-1.0,-11.815877416053162,30.0,1.375878831320922,25.181237116974778
axis:topt_scale,-1.0,-11.815877416053162,35.0,1.6001081226051612,34.4328437562248
axis:topt_scale,-1.0,-11.815877416053162,37.0,1.6496645109586727,38.002126754234034
axis:topt_scale,-1.0,-11.815877416053162,40.0,1.6800736567699057,39.85429446248482
axis:topt_scale,-1.0,-11.815877416053162,43.0,1.6145038671270406,37.285432937166405
axis:topt_scale,-1.0,-11.815877416053162,45.0,1.3861317562114062,44.456124453731036
axis:topt_scale,-1.0,-11.815877416053162,47.0,0.3453233127962873,19.795620314469254
axis:topt_scale,-1.0,-11.815877416053162,50.0,0.0010267304130006153,6.807040337967761
axis:topt_scale,-0.9500000000000001,-11.298679070116071,15.0,0.024074126340194506,2.3774937094320348
axis:topt_scale,-0.9500000000000001,-11.298679070116071,20.0,0.2408746384727129,9.35672654848776
axis:topt_scale,-0.9500000000000001,-11.298679070116071,25.0,0.8420399564422139,17.88405394541176
axis:topt_scale,-0.9500000000000001,-11.298679070116071,27.0,1.0865985236506355,21.433397328205274
axis:topt_scale,-0.9500000000000001,-11.298679070116071,30.0,1.3699247607100844,24.993650469336497
axis:topt_scale,-0.9500000000000001,-11.298679070116071,35.0,1.5973071586099088,34.28703490327435
axis:topt_scale,-0.9500000000000001,-11.298679070116071,37.0,1.6476983753165886,37.89884633892294
axis:topt_scale,-0.9500000000000001,-11.298679070116071,40.0,1.6794083911560296,39.833762230670786
axis:topt_scale,-0.9500000000000001,-11.298679070116071,43.0,1.6149411350265268,37.3092122146937
axis:topt_scale,-0.9500000000000001,-11.298679070116071,45.0,1.3875400862100562,44.499771340598585
axis:topt_scale,-0.9500000000000001,-11.298679070116071,47.0,0.34702940324036813,19.834368901792647
axis:topt_scale,-0.9500000000000001,-11.298679070116071,50.0,0.0010274528838167803,6.807147430728722
axis:topt_scale,-0.9,-10.831077521056745,15.0,0.022227079029787197,2.2386514055360127
