fit,tiebreak,reuse_consecutive,reuse_after_other,rebuild_twice,rebuild_then_history,fresh_vs_reused_first,logL
D_NLDM,none,1.3105072582675348e-11,1.3325053060952996e-08,0.0,1.3105072582675348e-11,0.0,2.3643166223999525
D_NLDM,pfba,1.2696057538619243e-09,1.9035497622610364e-09,0.0,1.2696057538619243e-09,0.0,2.349906200849194
D_LB,none,2.2083668227423914e-11,2.255262643302558e-11,0.0,1.653432946113753e-11,0.0,-37.912543598764984
D_LB,pfba,1.4348557897392311e-08,1.4348557897392311e-08,0.0,1.4348557897392311e-08,0.0,-37.89900682498474
E_NLDM,none,0.5152907225901426,0.5152906293199657,0.0,0.5152907225901426,0.0,-0.7077569980379912
E_NLDM,pfba,7.30615568045323e-12,1.238107749657047e-07,0.0,7.30615568045323e-12,0.0,-0.19857535527252868
E_LB,none,2.4978107138038155,2.4992070866686937,0.0,2.4978107138038155,0.0,-29.204760762512578
E_LB,pfba,2.5896987665419147e-08,3.8833853466258006e-08,0.0,2.5896987665419147e-08,0.0,-35.35273643069293
F_NLDM,none,1.9239256765501977e-07,1.0256984595002905e-08,0.0,1.9239256765501977e-07,0.0,-10.284236895643755
F_NLDM,pfba,1.4637446810183974e-10,1.193890319939328e-09,0.0,1.4637446810183974e-10,0.0,-4.635944177251277
F_LB,none,2.353022985728483,2.353022985728817,0.0,2.353022985728483,0.0,-32.537718775828246
F_LB,pfba,0.05250307630913298,0.5054570736359452,0.0,0.05250307630913298,0.0,-31.80178334285094
