line,step_from,step_to,d_logL,max_abs_dlog_o2,T_of_max,n_T_with_dlog_gt_0p2,mask_flips,mask_flip_T,mechanism
PC1,-0.95,-0.9,7.105423061806341,0.3377967129421784,20.0,1,0,,O2 vertex jump
PC1,-0.6000000000000001,-0.55,18.461466787141504,0.015039048667800703,27.0,0,1,15.0,support (mask) flip
PC2,-1.0,-0.95,22.7918288200646,0.5902362439545692,20.0,1,0,,O2 vertex jump
PC2,-0.95,-0.9,17.04265550831475,0.6271094263293029,20.0,1,0,,O2 vertex jump
PC2,-0.9,-0.8500000000000001,6.926592077300818,0.3913031297555486,20.0,1,0,,O2 vertex jump
PC2,0.25,0.3,-11.38286338586777,0.022276479238832803,47.0,0,1,15.0,support (mask) flip
PC3,-0.45,-0.4,11.810243727769407,0.03777493122210451,47.0,0,1,15.0,support (mask) flip
axis:clearance_mult,0.45,0.5,-16.714400160934602,0.014232255164970287,50.0,0,1,15.0,support (mask) flip
axis:clearance_mult,0.65,0.7000000000000001,16.180259854670197,0.012319567945776044,15.0,0,0,,other (growth term?)
axis:clearance_mult,0.75,0.8,-15.528409663109406,0.012366217808041702,15.0,0,0,,other (growth term?)
axis:dCp_scale,-0.1,-0.05,10.342885748986504,0.078963352388848,20.0,0,1,15.0,support (mask) flip
axis:dCp_scale,0.15,0.2,-6.0839750535144645,0.4103565504019584,20.0,1,0,,O2 vertex jump
axis:dCp_scale,0.4,0.45,-13.877041901495762,0.4857414197485707,20.0,1,0,,O2 vertex jump
axis:dCp_scale,0.45,0.5,-8.701142280434443,0.2184885130802958,20.0,1,0,,O2 vertex jump
axis:dCp_scale,0.5,0.55,-9.533383438518264,0.22482603785505506,20.0,1,0,,O2 vertex jump
axis:dCp_scale,0.55,0.6000000000000001,21.144358283792187,0.7148711137518151,20.0,1,0,,O2 vertex jump
axis:dCp_scale,0.7000000000000001,0.75,17.93246920884567,0.04185487109892749,27.0,0,1,20.0,support (mask) flip
axis:dCp_scale,0.75,0.8,-7.276238093547967,0.41025728007287965,25.0,1,0,,O2 vertex jump
axis:dCp_scale,0.8500000000000001,0.9,-31.70717822048423,1.0865426692870526,25.0,1,0,,O2 vertex jump
axis:dCp_scale,0.9,0.95,-71.77513243065864,1.421632462280882,25.0,1,0,,O2 vertex jump
axis:dCp_scale,0.95,1.0,-5.328561492220018,0.06363761074910101,30.0,0,0,,other (growth term?)
axis:f_maint,-0.9,-0.8500000000000001,18.18557621528127,0.005401000771534381,50.0,0,1,15.0,support (mask) flip
axis:kcat_scale,0.2,0.25,-12.637005389774519,0.027538763272001665,20.0,0,1,15.0,support (mask) flip
axis:ngam_scale,-0.2,-0.15,18.399728688079037,0.025513314136060172,50.0,0,1,15.0,support (mask) flip
axis:topt_scale,-0.2,-0.15,12.317567502579296,0.03130838142972148,20.0,0,1,15.0,support (mask) flip
axis:topt_scale,0.35,0.4,-5.138060962626768,0.36124312551952076,20.0,1,0,,O2 vertex jump
axis:topt_scale,0.8500000000000001,0.9,-19.952910412994225,0.6297585839370144,20.0,1,0,,O2 vertex jump
random1,-0.1,-0.05,12.602280641835163,0.07132537767800828,20.0,0,1,15.0,support (mask) flip
random1,0.3,0.35,-6.012446274693923,0.3688113148998948,20.0,1,0,,O2 vertex jump
random1,0.75,0.8,-13.660719992954636,0.4696290786885421,20.0,1,0,,O2 vertex jump
random1,0.95,1.0,-35.733315717939654,0.7585584537217996,20.0,1,0,,O2 vertex jump
random2,-0.4,-0.35,13.576582391051415,0.029345072069984823,47.0,0,1,15.0,support (mask) flip
random3,-0.3,-0.25,14.753547149328874,0.006999704316448252,47.0,0,1,15.0,support (mask) flip
