line,baseline_max_jump,floor076_max_jump,floor076_frac,floor142_max_jump,floor142_frac,floor142_range,floor142_sign_changes,absolute_sampleable,relative_p9_smooth,relative_p9_rough
axis:dCp_scale,71.77513243065864,7.833762751095399,0.2661964233810556,3.5289760838305995,0.1626042136208618,21.702857541311825,1,True,False,False
axis:topt_scale,19.95291041299423,3.2066871437425952,0.1807668672640594,3.1973181383830713,0.2030093715092284,15.749608575275689,1,True,False,True
axis:kcat_scale,12.63700538977452,1.6101408030944526,0.088372068243798,1.5035982117008049,0.0846676261264757,17.75883274977786,1,True,False,False
random1,35.733315717939654,2.447937138516359,0.164213693349761,1.2118213379002505,0.0851288262038912,14.235146799720091,1,True,False,False
random2,13.576582391051414,0.9016871732785284,0.0875935027581995,0.8740684142075033,0.0901172362529558,9.699236800316694,1,True,False,False
PC2,22.7918288200646,2.1811407164539034,0.3226236602409144,0.8336663085238634,0.2324446983799533,3.5865146176023135,1,True,False,True
PC1,18.461466787141504,0.884385621464796,0.1265696038882649,0.7086956805160654,0.1072903351526336,6.605400938564122,1,True,False,False
PC3,11.810243727769407,0.6772095851614583,0.0761957762308991,0.653728924358802,0.0785287831156479,8.324704629588705,1,True,False,False
random3,14.75354714932887,0.3645662152458619,0.0853025421017089,0.2504982025170061,0.0801757608471146,3.1243632722697257,1,True,False,False
axis:ngam_scale,18.399728688079037,0.3747291530783085,0.1007983855429512,0.2187295121666945,0.1027557404501328,2.128635453440614,2,True,False,False
axis:clearance_mult,16.714400160934606,0.139183525681612,0.0945363646497072,0.0945040783796162,0.095492473005281,0.9896495022638055,3,True,False,False
axis:f_maint,18.185576215281262,0.1015070042797949,0.1434675676454642,0.0641948791952202,0.090720548001979,0.7076112370244925,1,True,False,False
