param,prior,space,mean_draws,mean_analytic,d_mean,q5_draws,q5_analytic,q25_draws,q25_analytic,q50_draws,q50_analytic,q75_draws,q75_analytic,q95_draws,q95_analytic,max_abs_quantile_error,mc_se_of_mean,density_check_spread,density_check_n
dTopt,normal,v,-0.08385802601686053,0.0,-0.08385802601686053,-11.490724438852682,-11.384626593131072,-5.026859686267349,-5.019208618265937,-0.11638379300597008,2.2263331397374137e-15,4.897149474321591,5.0192086182659414,11.369753349441666,11.384626593131072,0.1220591439443508,0.06834200235154707,2.6645352591003757e-15,200
topt_scale,lognormal,log v,-0.04118748773754389,-0.041822754335811715,0.0006352665982678266,-0.3761511775144264,-0.3810362108732752,-0.17618401714306278,-0.17929110411953897,-0.02975010913833363,-0.029671918465073784,0.10576324150197389,0.10921011717794923,0.24845772412021672,0.25045686721809535,0.004885033358848823,0.0018879421239443772,1.7763568394002505e-15,200
dCp_scale,lognormal,log v,-0.002695045792601235,0.0,-0.002695045792601235,-0.8031399317241316,-0.8105292056467115,-0.3311164272639056,-0.33506053221375204,-0.0042601928950236605,0.0,0.33254179266185535,0.3350605322137519,0.8163521823457465,0.8105292056467115,0.007389273922579931,0.004878557338507421,2.220446049250313e-15,200
dTm,normal,v,-0.07805618528966146,0.0,-0.07805618528966146,-9.829544657118516,-9.716080036124767,-4.072177242065456,-4.065411892797779,-0.097893200122071,-8.529638841618966e-16,4.028490917707165,4.06541189279778,9.588689907218521,9.716080036124767,0.1273901289062458,0.05799922535285527,2.220446049250313e-15,200
tm_scale,lognormal,log v,0.0010048465118150443,-5.941298527590987e-08,0.0010049059248003203,-0.2425859641755276,-0.24672804869026121,-0.1010289900528839,-0.10117347102013458,-0.0006748112379665292,-1.3715479195673349e-08,0.10102985959445658,0.1011734365828299,0.2482628778881442,0.24672794258374722,0.004142084514733607,0.0015004850792989825,1.2434497875801753e-14,200
kcat_scale,lognormal,log v,0.004484146752340221,0.006534760906271985,-0.002050614153931764,-0.9637101026348762,-0.9672536945304134,-0.40759113232389327,-0.3995413037714863,0.0015954735384303119,0.0027354328831767187,0.404928100311951,0.4063962433672213,0.9773203230298053,0.9878812360121361,0.01056091298233075,0.005900663408821948,3.552713678800501e-15,200
kappa_scale,lognormal,log v,0.0048358178241478126,0.006534760906271985,-0.0016989430821241725,-0.962500810973144,-0.9672536945304134,-0.3984416902200461,-0.3995413037714863,0.005187132840399061,0.0027354328831767187,0.39039961991737027,0.4063962433672213,0.987369575018687,0.9878812360121361,0.015996623449851033,0.005869531460559405,4.440892098500626e-15,200
sigma,normal,v,0.45882211900062614,0.4592166235604737,-0.00039450455984757493,0.1569219058712954,0.15700465967746446,0.3262558355257431,0.3252023544485935,0.4553845966083995,0.45495620374143103,0.5846714865161444,0.5870790378728982,0.7768830170899126,0.7757305628893645,0.0024075513567537454,0.0018506911496147793,2.220446049250313e-15,200
f_metab,normal,v,0.2797858838457301,0.28000099985915494,-0.000215116013424832,0.23027651316394793,0.23065642021864716,0.2595182621462876,0.2597658272664501,0.2799886377796662,0.28000027583477943,0.300202265690981,0.3002348653064842,0.3290148045765142,0.3293457135995129,0.00037990705469923003,0.0002990426201745414,7.105427357601002e-15,200
f_maint,normal,v,0.36013334069624336,0.3599997845871895,0.00013355610905385618,0.31140397633550687,0.31065438225304354,0.33951833664760556,0.3397652747827348,0.36002882814404813,0.35999994426209847,0.3804472098805749,0.3802345852687049,0.4104169078021604,0.40934518654871094,0.0010717212534494536,0.00030058221369021405,4.440892098500626e-15,200
ngam_scale,lognormal,log v,-0.008171738708834125,-0.0003197124847281334,-0.00785202622410599,-0.8216837200858629,-0.8224584108547138,-0.33726295755295943,-0.3373091196206511,-0.00782183674195194,-0.00010492585801588638,0.3279014208758303,0.33704569207208773,0.8125004575425598,0.821647674120588,0.009147216578028194,0.004958812186750994,2.1094237467877974e-15,200
ngam_steepness,lognormal,log v,0.0010763112963992775,-0.0003197124847281334,0.0013960237811274107,-0.8095969963343682,-0.8224584108547138,-0.326648340091628,-0.3373091196206511,-0.0016636060035796997,-0.00010492585801588638,0.328679432186314,0.33704569207208773,0.8163010833010002,0.821647674120588,0.012861414520345615,0.004936277462236331,2.1094237467877974e-15,200
clearance_mult,lognormal,log v,-0.014480911411346773,-0.015550799257861488,0.0010698878465147145,-0.5591042640489279,-0.5657198735246527,-0.23841217616291813,-0.23898735398054463,-0.0087237401548486,-0.008513239571318722,0.22168152592159063,0.2179188021922925,0.5058864291972387,0.5103118469785713,0.006615609475724815,0.003211979369005291,2.220446049250313e-15,200
resp_scale,lognormal,log v,-0.00469219529447483,0.0,-0.00469219529447483,-1.656159557055434,-1.644454412232856,-0.6791085927606516,-0.6744177468012801,0.00248834742177481,0.0,0.6739300572311081,0.67441774680128,1.647238304637465,1.6444544122328548,0.011705144822578006,0.009993180461319213,1.7763568394002505e-15,200
disc_resp,halfnormal,v,0.40352373680764386,0.3995791128150047,0.0039446239926391735,0.032557552668482224,0.03230531527422347,0.16157337345247666,0.1601089370450934,0.3397640575991615,0.33787284874461976,0.5834618169664351,0.5756594561127831,0.9869521617751265,0.9803235093251024,0.007802360853651935,0.003043758568107785,1.4210854715202004e-14,200
disc_growth,halfnormal,v,0.4000259605033663,0.39900594455872906,0.0010200159446372425,0.0305923088585588,0.03144857650008849,0.1601692463462331,0.1593985896791234,0.33775667837948414,0.33730764863211793,0.5817596567874551,0.5752231426622463,0.9824667146373509,0.9800161242308734,0.006536514125208837,0.0030351719315244007,3.552713678800501e-14,200
