param,posterior_sd_sampled,range_logL,max_step,max_step_frac,sign_changes,classification,s_per_eval
dTopt,3.9964833611588784,14.190935397444688,1.4362813614643564,0.10121118314180913,1,GRADIENT-DETERMINED,6.25
topt_scale,0.14852564168700222,3.9849549807566085,0.3660774746207931,0.09186489593698932,1,GRADIENT-DETERMINED,5.73
dCp_scale,0.4142304620031312,9.746571168244117,1.0024786124318865,0.10285449058209534,3,GRADIENT-DETERMINED,5.77
dTm,2.4310520887838925,13.102377089130108,1.377951163991309,0.10516802826064851,3,GRADIENT-DETERMINED,5.74
tm_scale,0.12127700778993349,6.107553183193733,0.49760504791994187,0.08147371508597107,3,GRADIENT-DETERMINED,5.83
kcat_scale,0.35309008136809406,4.690223849786458,0.5675597208847947,0.12100909019739756,1,GRADIENT-DETERMINED,5.7
kappa_scale,0.362064021513506,0.0,0.0,,0,FLAT,5.66
sigma,0.18483893524524497,5.7381076519346585,0.44628826062281135,0.07777620910830088,1,GRADIENT-DETERMINED,5.64
f_metab,0.02337085616035865,0.0,0.0,,0,FLAT,5.92
f_maint,0.020198941317186494,0.5978170380348473,0.020370890957071452,0.03407546065270226,0,FLAT,6.35
ngam_scale,0.39829599525465587,1.9015574409835807,0.19332719339321436,0.10166781672039098,1,GRADIENT-DETERMINED,5.82
ngam_steepness,0.4642980355419587,0.1115337837210415,0.003095937651121261,0.02775784652715224,0,FLAT,5.91
clearance_mult,0.26641837329612805,0.27542290021089144,0.033687938166117704,0.12231349731748098,2,FLAT,5.73
resp_scale,0.5944789041457345,1.2853821545944122,0.10125005628437833,0.07877039207559766,1,GRADIENT-DETERMINED,6.11
disc_resp,0.8190136551583569,1.0141021608928327,0.07565830915326188,0.074606200510066,0,GRADIENT-DETERMINED,6.14
disc_growth,0.6315944206127612,3.757902082504865,0.23712305131157052,0.06309984829448081,1,GRADIENT-DETERMINED,5.98
