param,step_posterior_sd,logL
dTopt,-1.0,-24.552131109962147
dTopt,-0.9500000000000001,-23.43441887754573
dTopt,-0.9,-22.371399242677402
dTopt,-0.8500000000000001,-21.367581398251346
dTopt,-0.8,-20.43172732700718
dTopt,-0.75,-19.608804988039648
dTopt,-0.7000000000000001,-18.768007921247307
dTopt,-0.65,-17.95417534556691
dTopt,-0.6000000000000001,-17.18317305569664
dTopt,-0.55,-16.47408947004162
dTopt,-0.5,-15.710314169198602
dTopt,-0.45,-14.99604700741691
dTopt,-0.4,-14.434096202966922
dTopt,-0.35000000000000003,-13.88954701595961
dTopt,-0.30000000000000004,-13.035907499650955
dTopt,-0.25,-12.15987004461101
dTopt,-0.2,-11.381040386190733
dTopt,-0.15000000000000002,-10.88626093703145
dTopt,-0.1,-10.667202024957126
dTopt,-0.05,-10.514612843649623
dTopt,0.0,-10.422225235398965
dTopt,0.05,-10.398177965573714
dTopt,0.1,-10.435251317767346
dTopt,0.15000000000000002,-10.557146881523721
dTopt,0.2,-10.755254140884738
dTopt,0.25,-10.999892076274282
dTopt,0.30000000000000004,-11.342292172795787
dTopt,0.35000000000000003,-11.775267002368686
dTopt,0.4,-12.302183038352863
dTopt,0.45,-12.909971223597951
dTopt,0.5,-13.600531231579616
dTopt,0.55,-14.37636718048177
dTopt,0.6000000000000001,-15.256301255343148
dTopt,0.65,-16.213290249404587
dTopt,0.7000000000000001,-17.264377723196834
dTopt,0.75,-18.40445473403811
dTopt,0.8,-19.821472739154242
dTopt,0.8500000000000001,-21.165174578392968
dTopt,0.9,-22.077865542740398
dTopt,0.9500000000000001,-23.152832001554046
dTopt,1.0,-24.589113363018402
topt_scale,-1.0,-14.387785350862734
topt_scale,-0.9500000000000001,-14.179297123397179
topt_scale,-0.9,-14.010360085475858
topt_scale,-0.8500000000000001,-13.808184128900226
topt_scale,-0.8,-13.613064302125359
topt_scale,-0.75,-13.330063374409695
topt_scale,-0.7000000000000001,-12.963985899788902
topt_scale,-0.65,-12.609099895126187
topt_scale,-0.6000000000000001,-12.265207912708924
topt_scale,-0.55,-11.93542816470265
topt_scale,-0.5,-11.619684049608598
topt_scale,-0.45,-11.315196126207
topt_scale,-0.4,-11.023046094923314
