line,t,logl
A->B,-0.25,-13.997309642743758
A->B,-0.225,-12.991973272288996
A->B,-0.2,-12.185976956938207
A->B,-0.175,-11.535875835409543
A->B,-0.15,-11.070412332938567
A->B,-0.125,-10.741432293879557
A->B,-0.1,-10.506037663280566
A->B,-0.075,-10.369023969451991
A->B,-0.05,-10.31899244618201
A->B,-0.025,-10.339165806160043
A->B,0.0,-10.42222523518563
A->B,0.025,-10.564455451865243
A->B,0.05,-10.745750255182967
A->B,0.075,-10.993215745391627
A->B,0.1,-11.293000477017902
A->B,0.125,-11.616541814427034
A->B,0.15,-12.019999849393658
A->B,0.175,-12.411087392183111
A->B,0.2,-12.829290626608561
A->B,0.225,-13.273642538197338
A->B,0.25,-13.747952340472045
A->B,0.275,-14.374851329593842
A->B,0.3,-14.916569954967045
A->B,0.325,-15.478805037145586
A->B,0.35,-16.048530658080644
A->B,0.375,-16.700857594667667
A->B,0.4,-17.333997463366227
A->B,0.425,-18.108225967561417
A->B,0.45,-18.935044073758263
A->B,0.475,-19.94845304513491
A->B,0.5,-21.09485830326004
A->B,0.525,-22.56085648078088
A->B,0.55,-24.265814791233836
A->B,0.575,-25.91133989288548
A->B,0.6,-26.47031787625758
A->B,0.625,-27.314921814118474
A->B,0.65,-28.346325164744215
A->B,0.675,-29.3753024035601
A->B,0.7,-30.874486183467717
A->B,0.725,-32.725139942523256
A->B,0.75,-33.88645035946392
A->B,0.775,-34.097242660316965
A->B,0.8,-34.049726691973
A->B,0.825,-34.20513640871209
A->B,0.85,-35.39755493194606
A->B,0.875,-35.57919614795325
A->B,0.9,-35.54796774875941
A->B,0.925,-35.41441983983923
A->B,0.95,-35.31264834867459
A->B,0.975,-35.31154600911069
A->B,1.0,-34.95708024516435
A->B,1.025,-34.57750588315703
A->B,1.05,-34.17948983722472
A->B,1.075,-32.97300228171977
A->B,1.1,-32.76845843107231
A->B,1.125,-32.52959177869417
A->B,1.15,-31.9648609072799
A->B,1.175,-31.337570309762206
A->B,1.2,-29.887903564287896
A->B,1.225,-26.88807866888623
A->B,1.25,-22.557914638504315
P4->A,-0.25,-15.432645647551826
P4->A,-0.225,-15.372939459924973
P4->A,-0.2,-15.314162144580855
P4->A,-0.175,-15.255750837752457
P4->A,-0.15,-15.198452822980608
P4->A,-0.125,-15.13944079108842
P4->A,-0.1,-15.081829614643503
P4->A,-0.075,-15.023923288724513
P4->A,-0.05,-14.965909161228463
P4->A,-0.025,-14.9077002119808
P4->A,0.0,-14.830240910256045
P4->A,0.025,-14.744319036907955
P4->A,0.05,-14.65877128744891
P4->A,0.075,-14.573861768329074
P4->A,0.1,-14.488215537596227
P4->A,0.125,-14.40359910686454
P4->A,0.15,-14.319824010880742
P4->A,0.175,-14.236709251798388
P4->A,0.2,-14.154114854387775
P4->A,0.225,-14.072718796832884
P4->A,0.25,-13.993252063573241
P4->A,0.275,-13.934064662058205
P4->A,0.3,-13.863554635283304
P4->A,0.325,-13.793219550709093
P4->A,0.35,-13.71523709046673
P4->A,0.375,-13.631521032878629
P4->A,0.4,-13.550352300544018
P4->A,0.425,-13.470837995278066
P4->A,0.45,-13.375423845248237
P4->A,0.475,-13.284446039930252
P4->A,0.5,-13.19735088529669
P4->A,0.525,-13.112093312554611
P4->A,0.55,-13.028057318141325
P4->A,0.575,-12.95466416335474
P4->A,0.6,-12.881263839555064
P4->A,0.625,-12.808457558874506
P4->A,0.65,-12.741774778310369
P4->A,0.675,-12.678450154924114
P4->A,0.7,-12.600901307618003
P4->A,0.725,-12.311848583598453
P4->A,0.75,-12.024754429887466
P4->A,0.775,-11.737613527238768
