basin,n,n_from_prior,prior_volume_fraction,best_logl,best_logpost,median_logl,holds,c_dTopt,c_topt_scale,c_dCp_scale,c_dTm,c_tm_scale,c_kcat_scale,c_kappa_scale,c_sigma,c_f_metab,c_f_maint,c_ngam_scale,c_ngam_steepness,c_clearance_mult,c_resp_scale,c_disc_resp,c_disc_growth
1,1,1,0.010416666666666666,-13.066293337652674,-18.63075824477274,-13.066293337652674,,2.4007240019479927,0.11308130614360655,-0.12157779692362392,-3.190765023368395,0.12262587373464545,0.6457545628337831,-2.128211547963721e-10,0.6752706491921208,0.279791024053462,0.35356152921737266,-0.08932394818315291,-0.027282226588803436,0.0010206641092533274,1.2958914256744654,-1.0811981111690283,-1.6768963678009172
2,1,1,0.010416666666666666,-13.179917891673501,-19.567307656473997,-13.179917891673501,,3.476943218660247,0.045379810987679944,0.30711928992894927,-6.082327470272143,-0.015355394776074727,0.8231881961100065,2.703438798947333e-06,0.7200775485443822,0.2797821356378252,0.35583668931256185,0.20462342401981493,0.006178406871585896,0.0409325323359903,1.3222222288621208,-1.048223858357301,-1.6252445807981668
3,11,10,0.10416666666666667,-18.85968512455606,-23.50694645817722,-18.959100171646785,B,13.572000263549459,0.11523066111271803,0.0031118110049171933,-1.7923494933708195,0.001239179615808757,-0.06660428210236305,7.50795007071799e-09,0.4316324443148146,0.2800000000278654,0.36108831007135905,0.06885865048935608,0.01781230979031162,-0.020776093161295268,0.036414616866405514,-0.6908822967532077,0.013225312678923287
4,1,1,0.010416666666666666,-18.89379086223086,-23.56088101091497,-18.89379086223086,,14.052932082841664,0.09324207861423435,0.0010161016752776569,-1.2748378645603287,0.0006545338782456277,-0.022779570785311128,3.419409510432028e-08,0.4441568966828469,0.27999984634526115,0.36101736009207713,0.0946608417540518,0.07417693757584343,-0.02539787073532657,8.465450562766819e-16,-0.6901354545897898,0.01324128450295581
5,2,2,0.020833333333333332,-25.870246639445618,-31.4609710669746,-25.91530951545722,,0.944090287157195,-0.01766809988752933,0.07468370262044702,-13.205858498314893,0.005313099409710044,0.10771986191452806,-3.793690259953316e-07,0.554273144923777,0.2799999999932801,0.35860109046843003,0.088867230626671,0.024678754974143537,0.023293508678471193,0.9687108914215397,-0.9566945073459697,-0.19116310873106812
6,2,2,0.020833333333333332,-23.715494468426463,-28.80597495043586,-23.75678456328573,,2.0899792194639426,0.008011442246033718,0.19358741869947527,-10.258235440795094,-0.012146101677762328,0.32236045026816373,-1.919417392963142e-05,0.6374949260061367,0.2800003612358938,0.35667444049437336,0.11392659563691422,0.02538948545496865,0.05126874343084884,1.0795236511892679,-0.9871932306128823,-0.45660552286710065
7,1,1,0.010416666666666666,-8.796950672010404,-18.419474148339994,-8.796950672010404,,2.328290966273227,0.008060442199090806,0.97689291456484,-4.2912097927925235,0.027806109790713292,1.4277251978229915,7.717459702673276e-06,0.6071502002904945,0.2800000819468281,0.3575850267791578,0.01625816388352852,0.008415829831294547,-0.30398584057770034,1.1563585333788302,-1.0672619861821344,-2.120497652149573
8,1,0,0.0,-8.299549237970876,-16.836864729565363,-8.299549237970876,Bstar,4.19115862656053,-0.10531535691692608,0.7844474382246794,-4.114010978181711,0.03555003939451268,1.0409736586044698,3.039578492753097e-08,0.6903933302584305,0.2800000014463577,0.3543962171679343,0.07605862336103421,-0.012487610722101118,-0.4071239689275363,1.1472813786888933,-1.0629070248037806,-2.1405478295771583
9,3,3,0.03125,-12.242186990266369,-18.430212815685092,-13.06815821553155,,-0.7779165054921624,0.24817943133882406,-0.06611820895464829,-3.2297569906015475,0.11231752611414433,0.8723479153286565,-5.123086002774541e-10,0.5968925824298041,0.2799999198018864,0.3579244307581772,0.03446034542097613,-0.0028999703075814334,0.007168273631452275,1.2034273496430503,-1.0912839907050025,-1.6724927527774498
10,64,64,0.6666666666666666,-12.134843972091442,-18.15609672356468,-13.286173658559576,,4.690004358201669,-0.04008268879941786,0.02609579716124663,-4.15728647242597,0.011641596206864915,0.76013450058836,-2.3085073027571132e-11,0.6309353331848435,0.2799999999929031,0.35626590832982186,0.013235601418465203,-0.009976357243098765,0.010700824589734422,1.175972847272286,-1.0865801442645409,-1.6873325069002814
11,1,1,0.010416666666666666,-12.203603821637234,-18.239241597825597,-12.203603821637234,,5.890729579178066,-0.06935838796531801,-0.03761723540195371,-3.829841023425077,0.07347373688486253,0.824759797096503,1.660573650429465e-06,0.6960431810621139,0.2799993511817814,0.35538373865142797,0.08717741581343633,-0.060504724066911056,-0.0018106529292493193,1.1512789061478566,-1.0802347877951932,-1.8866033975637715
12,1,1,0.010416666666666666,-12.104703658919291,-18.556950320981336,-12.104703658919291,,5.762452494573878,-0.0981128122555596,0.21275040476811305,-3.2120588217056247,0.14104807680496367,0.8557389644347775,1.0157266543123403e-05,0.6707843182094826,0.2800001702403442,0.35675456987344933,0.17390003379530716,-0.023624248363023855,-0.007835040797554479,1.1588908035633778,-1.0860725636668205,-1.9605442388359822
13,1,0,0.0,-11.542051978725434,-17.92499666289676,-11.542051978725434,P4,4.25519637550327,-0.05409922140790497,0.4089335486689093,-4.078475403799624,0.00902767243846814,0.5000848920593004,-9.376045405653619e-07,0.7742707891131918,0.28000023824757375,0.3523154291865926,0.1283200852888785,-0.01233074052348206,0.03781431703035808,1.242362692037055,-1.0824528257339887,-2.0433869341497997
14,1,1,0.010416666666666666,-12.326130850791241,-18.297504665373168,-12.326130850791241,,-0.7445553346184047,0.23642033106091606,0.14540999900615642,-4.763499406844824,-0.08135307495705658,0.7200804953092668,-7.407312540771287e-06,0.6635334517244118,0.28000009317641655,0.355786976447882,0.018407973167544795,-0.010494220056951664,0.03898776578876624,1.2084288471830311,-1.0930540037343202,-1.8588453450438391
