i,j,t,logl
0,1,0.0,-8.06210208277204
0,1,0.025,-8.173390690106652
0,1,0.05,-8.293772970457029
0,1,0.07500000000000001,-8.479081418454744
0,1,0.1,-8.684473835309415
0,1,0.125,-8.903382307971349
0,1,0.15000000000000002,-9.116434517456653
0,1,0.17500000000000002,-9.314888254413837
0,1,0.2,-9.511210158425975
0,1,0.225,-9.700800170105808
0,1,0.25,-9.913506074693533
0,1,0.275,-10.108582704776854
0,1,0.30000000000000004,-10.299059741515691
0,1,0.325,-10.474805242840208
0,1,0.35000000000000003,-10.636486340770297
0,1,0.375,-10.71731348355879
0,1,0.4,-10.718641410563702
0,1,0.42500000000000004,-10.718535200857454
0,1,0.45,-10.716728394697947
0,1,0.47500000000000003,-10.712757476508894
0,1,0.5,-10.709982156738981
0,1,0.525,-10.770396352428467
0,1,0.55,-10.864476864921535
0,1,0.5750000000000001,-10.873278903486417
0,1,0.6000000000000001,-10.880593296865499
0,1,0.625,-10.803542867143303
0,1,0.65,-10.692118002094524
0,1,0.675,-10.579415064470968
0,1,0.7000000000000001,-10.464271823969378
0,1,0.7250000000000001,-10.34762938221403
0,1,0.75,-10.187398866618356
0,1,0.775,-9.968372659124299
0,1,0.8,-9.756366225321962
0,1,0.8250000000000001,-9.633408264295623
0,1,0.8500000000000001,-9.423656978341437
0,1,0.875,-9.226250282429085
0,1,0.9,-9.040872280445434
0,1,0.925,-8.868307711645592
0,1,0.9500000000000001,-8.708382722848022
0,1,0.9750000000000001,-8.56286276682658
0,1,1.0,-8.29954923777672
0,2,0.0,-8.062102082660605
0,2,0.025,-8.180114642328583
0,2,0.05,-8.205447689820232
0,2,0.07500000000000001,-8.235069608948802
0,2,0.1,-8.267193228206693
0,2,0.125,-8.319883517352267
0,2,0.15000000000000002,-8.363510085140161
0,2,0.17500000000000002,-8.392307270658781
0,2,0.2,-8.42161418015028
0,2,0.225,-8.452261267769622
0,2,0.25,-8.492086192250998
0,2,0.275,-8.55370379762386
0,2,0.30000000000000004,-8.599796410266945
0,2,0.325,-8.646497567881656
0,2,0.35000000000000003,-8.693843238466046
0,2,0.375,-8.741789809965397
0,2,0.4,-8.790340751727692
0,2,0.42500000000000004,-8.8395188682533
0,2,0.45,-8.87801227074401
0,2,0.47500000000000003,-8.927263846479695
0,2,0.5,-8.977302341291326
0,2,0.525,-9.027561517778015
0,2,0.55,-9.117411617528552
0,2,0.5750000000000001,-9.17336727511975
0,2,0.6000000000000001,-9.221655497217071
0,2,0.625,-9.26235874742367
0,2,0.65,-9.311323134465017
0,2,0.675,-9.35940657833368
0,2,0.7000000000000001,-9.405326820299035
0,2,0.7250000000000001,-9.45715293670143
0,2,0.75,-9.510396063387283
0,2,0.775,-9.521737823095116
0,2,0.8,-9.438950729405573
0,2,0.8250000000000001,-9.349309060529933
0,2,0.8500000000000001,-9.254195549068738
0,2,0.875,-9.155175618182497
0,2,0.9,-9.05046546558397
0,2,0.925,-8.81156778287357
0,2,0.9500000000000001,-8.697783088648777
0,2,0.9750000000000001,-8.58123554687902
0,2,1.0,-8.446559605934592
0,3,0.0,-8.062102082693537
0,3,0.025,-8.172952801991812
0,3,0.05,-8.189726221158725
0,3,0.07500000000000001,-8.216380864142149
0,3,0.1,-8.26216118347818
0,3,0.125,-8.293058053548592
0,3,0.15000000000000002,-8.31497043244988
0,3,0.17500000000000002,-8.333901830470927
0,3,0.2,-8.36902753346855
0,3,0.225,-8.403088551446906
0,3,0.25,-8.441612251900995
0,3,0.275,-8.482197036362768
0,3,0.30000000000000004,-8.524555693528189
0,3,0.325,-8.56672976056558
0,3,0.35000000000000003,-8.607878851698706
0,3,0.375,-8.649763359878406
0,3,0.4,-8.692156110376352
0,3,0.42500000000000004,-8.744277590539326
0,3,0.45,-8.850859431021576
0,3,0.47500000000000003,-8.917869745467685
0,3,0.5,-8.976568535013193
0,3,0.525,-9.03278777653762
0,3,0.55,-9.090471941879152
0,3,0.5750000000000001,-9.147611706565343
0,3,0.6000000000000001,-9.203519894977541
0,3,0.625,-9.262544469160474
0,3,0.65,-9.326328820114053
0,3,0.675,-9.394489903869715
0,3,0.7000000000000001,-9.463712767903491
0,3,0.7250000000000001,-9.534507636603852
0,3,0.75,-9.600751291224409
0,3,0.775,-9.536836686482609
0,3,0.8,-9.425882662971322
0,3,0.8250000000000001,-9.305130722851874
0,3,0.8500000000000001,-9.177902298895692
0,3,0.875,-9.04715917514955
0,3,0.9,-8.912175027698202
0,3,0.925,-8.766744358878643
0,3,0.9500000000000001,-8.620044411583027
0,3,0.9750000000000001,-8.589586661599206
0,3,1.0,-8.641046913236611
0,4,0.0,-8.062102082407339
0,4,0.025,-8.235543204276718
0,4,0.05,-8.535071761176084
0,4,0.07500000000000001,-8.95229998330707
0,4,0.1,-9.348498097753085
0,4,0.125,-9.73123643365778
0,4,0.15000000000000002,-10.165413524679497
0,4,0.17500000000000002,-10.613301016635162
0,4,0.2,-11.08346559284573
0,4,0.225,-11.534881851738206
0,4,0.25,-11.958968788016204
0,4,0.275,-12.188639080616918
0,4,0.30000000000000004,-12.3597687391281
0,4,0.325,-12.545662319840346
0,4,0.35000000000000003,-12.816896509010137
0,4,0.375,-12.962163514841642
0,4,0.4,-13.133771330574891
0,4,0.42500000000000004,-13.304154373914068
0,4,0.45,-13.469798736432026
0,4,0.47500000000000003,-13.629725206061547
0,4,0.5,-13.775077070114532
0,4,0.525,-13.61632597382951
0,4,0.55,-13.421973203914636
0,4,0.5750000000000001,-13.226094966315216
0,4,0.6000000000000001,-12.839096777368221
0,4,0.625,-12.531803641965043
0,4,0.65,-11.75864105249326
0,4,0.675,-11.414010719333628
0,4,0.7000000000000001,-11.072242525112099
0,4,0.7250000000000001,-10.735415696682491
0,4,0.75,-10.399079232599643
0,4,0.775,-10.06543064937806
0,4,0.8,-9.756117822202903
0,4,0.8250000000000001,-9.852295179054911
0,4,0.8500000000000001,-11.002777880953454
0,4,0.875,-9.316066690964567
0,4,0.9,-8.761434647817584
0,4,0.925,-8.62517740459381
0,4,0.9500000000000001,-8.64055165936168
0,4,0.9750000000000001,-8.708752514730037
0,4,1.0,-8.79695067223821
0,5,0.0,-8.062102082717127
0,5,0.025,-8.126184149263889
0,5,0.05,-8.104340469645507
0,5,0.07500000000000001,-8.086379514008673
0,5,0.1,-8.079493891947791
0,5,0.125,-8.078800343222163
0,5,0.15000000000000002,-8.078204269611783
0,5,0.17500000000000002,-8.09098447962911
0,5,0.2,-8.107020400990207
0,5,0.225,-8.126276775954057
0,5,0.25,-8.139215437507271
0,5,0.275,-8.177589916697414
0,5,0.30000000000000004,-8.192951449437611
0,5,0.325,-8.209809817076835
0,5,0.35000000000000003,-8.223837091441737
0,5,0.375,-8.251998068715796
0,5,0.4,-8.28651711562453
0,5,0.42500000000000004,-8.337277420634937
0,5,0.45,-8.36891257224653
0,5,0.47500000000000003,-8.401002404678717
0,5,0.5,-8.438303190135562
0,5,0.525,-8.488517246655075
0,5,0.55,-8.517465302513592
0,5,0.5750000000000001,-8.502685861108919
0,5,0.6000000000000001,-8.4887730385623
0,5,0.625,-8.480102734319985
0,5,0.65,-8.482519173471758
0,5,0.675,-8.48646166024193
0,5,0.7000000000000001,-8.489650796969824
0,5,0.7250000000000001,-8.493277262950889
0,5,0.75,-8.501966121141209
0,5,0.775,-8.51349278687504
0,5,0.8,-8.534861722923713
0,5,0.8250000000000001,-8.562650233673779
0,5,0.8500000000000001,-8.59695382993145
0,5,0.875,-8.635917635722206
0,5,0.9,-8.680365963234946
0,5,0.925,-8.730963316164875
0,5,0.9500000000000001,-8.796033955655393
0,5,0.9750000000000001,-8.881919691645763
0,5,1.0,-8.976148623007434
0,6,0.0,-8.062102082214704
0,6,0.025,-8.246052380731573
0,6,0.05,-8.503391595271319
0,6,0.07500000000000001,-8.852047748346418
0,6,0.1,-9.271825145814772
0,6,0.125,-9.673506883272434
0,6,0.15000000000000002,-10.065124101275673
0,6,0.17500000000000002,-10.47960938279722
0,6,0.2,-10.912364150678428
0,6,0.225,-11.360466349771825
0,6,0.25,-11.777726508481281
0,6,0.275,-12.174012191737239
0,6,0.30000000000000004,-12.570893804797127
0,6,0.325,-12.817239570231592
0,6,0.35000000000000003,-13.004765994067064
0,6,0.375,-13.238952856254251
0,6,0.4,-13.409790287867622
0,6,0.42500000000000004,-13.565694077778387
0,6,0.45,-13.709727309572706
0,6,0.47500000000000003,-13.841759734344018
0,6,0.5,-13.958244610907375
0,6,0.525,-14.062596795172718
0,6,0.55,-14.144202802662532
0,6,0.5750000000000001,-14.217401170196368
0,6,0.6000000000000001,-14.17054584403832
0,6,0.625,-14.02389692263567
0,6,0.65,-13.874194796593088
0,6,0.675,-13.720844970162783
0,6,0.7000000000000001,-13.574590065762523
0,6,0.7250000000000001,-13.42089295926135
0,6,0.75,-13.267119662688593
0,6,0.775,-13.080906045058235
0,6,0.8,-12.886253252703629
0,6,0.8250000000000001,-12.69875285421469
0,6,0.8500000000000001,-12.510366898202903
0,6,0.875,-12.341606312459565
0,6,0.9,-12.200916358410312
0,6,0.925,-12.10118624471142
0,6,0.9500000000000001,-12.063459394173004
0,6,0.9750000000000001,-12.05941877966755
0,6,1.0,-12.134843972049582
0,7,0.0,-8.062102082985927
0,7,0.025,-8.151713165410133
0,7,0.05,-8.236411946820617
0,7,0.07500000000000001,-8.322338649854107
0,7,0.1,-8.456235396994979
0,7,0.125,-8.593899297855208
0,7,0.15000000000000002,-8.734422827537102
0,7,0.17500000000000002,-8.872910929421405
0,7,0.2,-9.005028535048044
0,7,0.225,-9.14678156717725
0,7,0.25,-9.291917255636534
0,7,0.275,-9.44072213238954
0,7,0.30000000000000004,-9.591202780270848
0,7,0.325,-9.761466323448701
0,7,0.35000000000000003,-9.913680457972262
0,7,0.375,-10.056332195460838
0,7,0.4,-10.175274440208483
0,7,0.42500000000000004,-10.320467531703652
0,7,0.45,-10.446635121126732
0,7,0.47500000000000003,-10.570471899011984
0,7,0.5,-10.690451184822624
0,7,0.525,-10.808746884598655
0,7,0.55,-10.928821900012917
0,7,0.5750000000000001,-11.0494048353548
0,7,0.6000000000000001,-11.097516353283734
0,7,0.625,-11.147745228232896
0,7,0.65,-11.1995169527771
0,7,0.675,-11.266341292753914
0,7,0.7000000000000001,-11.270830631855773
0,7,0.7250000000000001,-11.276914418428527
0,7,0.75,-11.285279649329688
0,7,0.775,-11.293574704420184
0,7,0.8,-11.30444849083058
0,7,0.8250000000000001,-11.321486185075445
0,7,0.8500000000000001,-11.34443456675301
0,7,0.875,-11.369439805219585
0,7,0.9,-11.401146577803235
0,7,0.925,-11.435098618807379
0,7,0.9500000000000001,-11.462807972406857
0,7,0.9750000000000001,-11.500109279879558
0,7,1.0,-11.542051978629654
0,8,0.0,-8.06210208206057
0,8,0.025,-9.698104402814593
0,8,0.05,-11.838246983002492
0,8,0.07500000000000001,-13.57576264807422
0,8,0.1,-14.666473113901828
0,8,0.125,-15.255366012330763
0,8,0.15000000000000002,-15.593588585097883
0,8,0.17500000000000002,-15.5187532606088
0,8,0.2,-16.329094881141156
0,8,0.225,-17.808299927446402
0,8,0.25,-19.411355425264986
0,8,0.275,-20.702920195984372
0,8,0.30000000000000004,-21.936493704735813
0,8,0.325,-22.88269860747144
0,8,0.35000000000000003,-24.07670039050083
0,8,0.375,-25.95368738433247
0,8,0.4,-27.12857773701348
0,8,0.42500000000000004,-29.281174254630443
0,8,0.45,-31.244594148580294
0,8,0.47500000000000003,-32.5622889259559
0,8,0.5,-33.21711111990399
0,8,0.525,-33.24223786344386
0,8,0.55,-32.6889847275224
0,8,0.5750000000000001,-31.901928545180425
0,8,0.6000000000000001,-30.94936787112804
0,8,0.625,-29.2082355558726
0,8,0.65,-28.156230237503287
0,8,0.675,-27.69274180903571
0,8,0.7000000000000001,-27.63115402180081
0,8,0.7250000000000001,-27.89820142299906
0,8,0.75,-28.252155824839285
0,8,0.775,-28.601243409013215
0,8,0.8,-28.84378773879167
0,8,0.8250000000000001,-28.85939843984851
0,8,0.8500000000000001,-28.834388913843355
0,8,0.875,-28.692358398109228
0,8,0.9,-28.286894069618704
0,8,0.925,-28.050339753083268
0,8,0.9500000000000001,-26.887775979734528
0,8,0.9750000000000001,-26.23334929683229
0,8,1.0,-25.960372390305263
1,2,0.0,-8.299549237912188
1,2,0.025,-8.343731783160855
1,2,0.05,-8.370531924037849
1,2,0.07500000000000001,-8.406706533363742
1,2,0.1,-8.446764199553854
1,2,0.125,-8.490416835283236
1,2,0.15000000000000002,-8.537793330009112
1,2,0.17500000000000002,-8.588459162520731
1,2,0.2,-8.641797745506704
1,2,0.225,-8.69726693693612
1,2,0.25,-8.755281453588106
1,2,0.275,-8.815233310309608
1,2,0.30000000000000004,-8.876598458460137
1,2,0.325,-8.880312460306989
1,2,0.35000000000000003,-8.881530396628538
1,2,0.375,-8.883722872516852
1,2,0.4,-8.88671758644004
1,2,0.42500000000000004,-8.889737272750885
1,2,0.45,-8.892655398777759
1,2,0.47500000000000003,-8.897037544268052
1,2,0.5,-8.902317794115035
1,2,0.525,-8.908284334624941
1,2,0.55,-8.914756921073174
1,2,0.5750000000000001,-8.92187449697273
1,2,0.6000000000000001,-8.938646283056954
1,2,0.625,-8.948336139571122
1,2,0.65,-8.956949700922157
1,2,0.675,-8.94003554070296
1,2,0.7000000000000001,-8.951736029286353
1,2,0.7250000000000001,-8.964979091445784
1,2,0.75,-8.978816151530086
1,2,0.775,-8.975325321358365
