key,ok,logpost,logl,nfev,success,message,capped,wall_s,x_dTopt,x_topt_scale,x_dCp_scale,x_dTm,x_tm_scale,x_kcat_scale,x_kappa_scale,x_sigma,x_f_metab,x_f_maint,x_ngam_scale,x_ngam_steepness,x_clearance_mult,x_resp_scale,x_disc_resp,x_disc_growth
worst(b5),True,-31.45886868590867,-25.964338959773798,326,True,Optimization terminated successfully.,False,755.0,0.6891994070853076,-0.004852553118959318,0.0761181599721492,-13.069266875965187,0.021186225921680235,0.12331953962997802,2.1724841588497363e-07,0.5424455498103853,0.28000020224912,0.35900131760018894,0.08903578924550827,0.02421563045403995,0.020976512277983396,0.9737092619385171,-0.9563502070674147,-0.19039152171265808
B(b3),True,-23.690843950840232,-18.87686280902222,538,True,Optimization terminated successfully.,False,833.3,13.87315712135784,0.1948672188219617,-1.5188806499749743e-06,0.00035634393273632347,-1.3747241509116132e-06,2.5152439599089703e-05,-4.666455212163484e-09,0.4500062108674798,0.2799999987775389,0.35999959583904617,0.018211384067735766,0.010103889807061546,-0.0045827655010765,-1.600632862473671e-08,-0.7717484728439296,0.013237026387964194
"big(b6,n=2)",True,-28.682557892773055,-23.79099837161176,970,True,Optimization terminated successfully.,False,2138.8,1.0727092442743311,0.02301519574633936,0.24165653804824058,-10.179061835989929,-0.009631802522091042,0.20926481160938828,3.6545616105921404e-06,0.6389438962873304,0.2799999487124165,0.3561716735635651,0.09766892971537064,0.024781549928678506,0.04882244379182952,1.0462478985222186,-0.9856100217573236,-0.45861873135911596
Bstar(b8),True,-16.81030441717047,-8.310937716074708,1071,True,Optimization terminated successfully.,False,2437.6,4.1911510250718615,-0.10531535937769342,0.7844474381025545,-4.079364688948881,0.03698587612444276,1.022740218139644,4.447611620270688e-06,0.6893576409010783,0.27999975881566946,0.3524047040910748,0.07179325169273389,-0.015726085189631953,-0.4070635424484908,1.1536631376579922,-1.0630058417790167,-2.1418916303042144
P4(b13),True,-17.89689313763096,-11.447068165748199,1374,True,Optimization terminated successfully.,False,3019.0,4.241543634661337,-0.053252687228752316,0.40892737014204866,-4.071241579533303,0.012304229020111237,0.4829294809635375,-3.4706582198004756e-06,0.7841318931497686,0.2799997287799443,0.35142328152079816,0.10910178233439999,-0.011913309988008191,0.0181740069926803,1.2444461464678447,-1.0820302726374127,-2.0575578351687422
p81(b7),True,-17.26154394779015,-8.291822949692609,1812,True,Optimization terminated successfully.,False,3798.9,1.9073097554912475,0.005924708852372835,0.9649767278961556,-4.078356296326304,0.03552902344997692,1.1386428181304835,-1.4009577248819372e-06,0.6715909211390756,0.27999999359818295,0.35957971161109753,-0.11605484138701494,-0.0027279918172532546,-0.3260474344844691,1.2034973255998294,-1.062278768015237,-2.1342033012224535
A(b20),True,-16.36154229788879,-7.213070075727422,2185,True,Optimization terminated successfully.,False,4490.1,2.5720083226838195,-0.07124831360969458,0.6577423281724734,-3.8074469034138265,0.028997232749835313,0.3236996795805173,-9.537322848906096e-06,0.9389102541459567,0.27999993482145885,0.3437228360866367,0.3838613621187151,-0.0017163557027623283,-0.3274040092191103,1.109225863489282,-1.062264700109869,-2.2621870201361225
"big(b9,n=3)",True,-18.213229195020688,-12.359970906010306,2318,True,Optimization terminated successfully.,False,4913.1,-0.8107718315994084,0.24771466129226027,-0.05815855982878016,-4.050144536821803,0.02667227559748957,0.7789144476897326,-1.70469082878452e-05,0.6535197284591396,0.28000006220749185,0.3557191901863784,0.0413080552759916,-0.007686309674255875,0.039554920871039366,1.2240153853226976,-1.0899286275969622,-1.8556568263404716
p50(b19),True,-16.771842099351527,-8.116550990900635,2699,True,Optimization terminated successfully.,False,5566.8,2.8203037384167167,-0.018324350415190687,0.3632699063488695,-3.069462247602748,0.10728053220612437,0.0950493566738012,1.0391882345497189e-05,0.9601059020635965,0.2799995723424376,0.350274801892862,-0.018497907690868308,0.0010165061307842679,0.09087787777326087,1.2498095387319759,-1.0805548182044247,-2.726615725950011
p38(b22),True,-16.711556600927988,-7.1859751439245985,2806,True,Optimization terminated successfully.,False,5737.1,1.9127077887257669,-0.046584607130363526,0.6854527594069162,-4.021352847306332,-0.010847344879965842,0.28471051583876344,8.401506785109022e-06,0.96218887281632,0.2800003061663638,0.35972004216022274,0.2568063462600371,-0.0255201374075708,-0.43986015726287053,1.1526632777008319,-1.058315744778636,-2.255758802454804
"big(b10,n=64)",True,-18.04186856276516,-11.986465031130024,2792,True,Optimization terminated successfully.,False,5770.6,5.930407322577409,-0.08918597302267123,0.03428669024167785,-4.091209431216172,0.02690623622372691,0.7200560158376685,3.4723203970605175e-06,0.7166142387544185,0.28000029852515973,0.3537428220780834,0.12102060344888203,-0.016997726307062613,0.011222096203273893,1.2039566570371227,-1.0828063352378714,-1.9733236619778523
p83(b21),True,-17.021742325760115,-8.432798857691315,3000,False,Maximum number of function evaluations has been exceeded.,True,6227.8,4.567033876945952,-0.08969915095712962,0.2564403503897149,-4.494750855944323,-0.06500233545406872,0.2216157649209814,-3.3622116702167006e-06,0.9543922157953537,0.2799998564432172,0.3436438020126537,-0.062229564380780644,-0.011544083925356672,-0.2113283250696428,1.2126257922662047,-1.0859761735987024,-2.449914629704498
