a,b,logl_a,logl_b,min_between,t_of_min,depth_below_lower_end,monotone_to_lower
worst(b5),B(b3),-25.964338959812913,-18.87686280902222,-39.83221700206661,0.45,13.8678780422537,False
worst(b5),"big(b6,n=2)",-25.964338959744147,-23.790998384338813,-27.663752542973967,0.225,1.6994135832298198,False
worst(b5),Bstar(b8),-25.964338959615983,-8.310937715920604,-29.5929127090818,0.47500000000000003,3.6285737494658186,False
worst(b5),P4(b13),-25.964338959703674,-11.447068165850023,-29.153821385408158,0.47500000000000003,3.189482425704483,False
worst(b5),p81(b7),-25.96433895957616,-8.291822949712408,-29.354135248786626,0.47500000000000003,3.389796289210466,False
worst(b5),A(b20),-25.964338960224218,-7.197362472692174,-30.244033710344976,0.47500000000000003,4.279694750120758,False
worst(b5),"big(b9,n=3)",-25.964338959813702,-12.359970906075777,-29.183491852827352,0.47500000000000003,3.21915289301365,False
worst(b5),p50(b19),-25.964338959798233,-8.116550991989833,-36.62704212741531,0.5,10.662703167617074,False
worst(b5),p38(b22),-25.964338959541593,-7.201679661165882,-30.113999905225914,0.47500000000000003,4.149660945684321,False
worst(b5),"big(b10,n=64)",-25.964338959673682,-11.986465033736758,-29.086444386883763,0.47500000000000003,3.12210542721008,False
worst(b5),p83(b21),-25.964338959218004,-8.432798857616106,-32.97898385831473,0.47500000000000003,7.014644899096723,False
B(b3),"big(b6,n=2)",-18.876862809022217,-23.790998382899595,-38.67032697227246,0.55,14.879328589372868,False
B(b3),Bstar(b8),-18.8596305447953,-8.310937716137708,-77.86355153471375,0.6000000000000001,59.00392098991845,False
B(b3),P4(b13),-18.87686280902222,-11.447068165622674,-80.32803010026922,0.625,61.451167291246996,False
B(b3),p81(b7),-18.8596305447953,-8.2918229496028,-76.36438722405367,0.6000000000000001,57.50475667925837,False
B(b3),A(b20),-18.876862809022217,-7.213070075590181,-76.76870888749006,0.6000000000000001,57.89184607846785,False
B(b3),"big(b9,n=3)",-18.8596305447953,-12.35997090451354,-77.49102908169773,0.7250000000000001,58.63139853690243,False
B(b3),p50(b19),-18.8596305447953,-8.11655099233866,-130.96423844316456,0.65,112.10460789836927,False
B(b3),p38(b22),-18.87686280902222,-7.1859751440702215,-76.10516435725191,0.5750000000000001,57.22830154822969,False
B(b3),"big(b10,n=64)",-18.87686280902222,-11.98646503122176,-86.22156892118568,0.65,67.34470611216346,False
B(b3),p83(b21),-18.87686280902222,-8.432798857715078,-109.79109897612048,0.625,90.91423616709827,False
"big(b6,n=2)",Bstar(b8),-23.790998384580526,-8.310937716190073,-25.539267892889324,0.17500000000000002,1.7482695083087982,False
"big(b6,n=2)",P4(b13),-23.790998381068487,-11.447068165610684,-25.505267720533688,0.2,1.7142693394652007,False
"big(b6,n=2)",p81(b7),-23.790998384385063,-8.291822949787154,-25.514664550528597,0.1,1.7236661661435342,False
"big(b6,n=2)",A(b20),-23.79099838122474,-7.197362473001997,-25.5285267093061,0.2,1.7375283280813605,False
"big(b6,n=2)","big(b9,n=3)",-23.79099838503175,-12.359970906036486,-25.5759343247558,0.1,1.7849359397240505,False
"big(b6,n=2)",p50(b19),-23.790998381051462,-8.116550992386863,-26.53096435425818,0.2,2.7399659732067185,False
"big(b6,n=2)",p38(b22),-23.790998384359476,-7.2016796611958664,-25.508843328768137,0.17500000000000002,1.717844944408661,False
"big(b6,n=2)","big(b10,n=64)",-23.79099838450223,-11.986465033522421,-25.559539928908933,0.2,1.7685415444067019,False
"big(b6,n=2)",p83(b21),-23.79099838116582,-8.432798857675934,-26.019767849048172,0.2,2.2287694678823513,False
Bstar(b8),P4(b13),-8.310937716225393,-11.447068165693427,-11.73125308829015,0.625,0.28418492259672234,False
Bstar(b8),p81(b7),-8.31093771616558,-8.291822949585054,-10.957532928164444,0.675,2.6465952119988643,False
Bstar(b8),A(b20),-8.31093771608707,-7.2130700757965736,-8.719297476164304,0.625,0.40835976007723396,False
Bstar(b8),"big(b9,n=3)",-8.31093771618835,-12.359970903603283,-23.394328965400177,0.65,11.034358061796894,False
Bstar(b8),p50(b19),-8.310937716217655,-8.116550991187777,-11.957912851752456,0.5750000000000001,3.6469751355348006,False
Bstar(b8),p38(b22),-8.310937716292909,-7.185975143999906,-8.609183565051707,0.25,0.298245848758798,False
Bstar(b8),"big(b10,n=64)",-8.310937716284196,-11.98646503380128,-12.252663859061858,0.8,0.26619882526057737,False
Bstar(b8),p83(b21),-8.310937715898742,-8.432798857650836,-10.925316742033857,0.4,2.4925178843830214,False
P4(b13),p81(b7),-11.4470681656233,-8.291822949629474,-12.361340973851878,0.225,0.9142728082285778,False
P4(b13),A(b20),-11.447068165658099,-7.197362474448454,-11.447068165658099,0.0,0.0,True
P4(b13),"big(b9,n=3)",-11.447068165543168,-12.359970907046488,-19.671804303166684,0.6000000000000001,7.311833396120196,False
P4(b13),p50(b19),-11.447068165618692,-8.116550991847934,-11.447068165618692,0.0,0.0,True
P4(b13),p38(b22),-11.447068165673482,-7.201679661478107,-11.447068165673482,0.0,0.0,True
P4(b13),"big(b10,n=64)",-11.447068165665653,-11.986465033810376,-12.105737592553842,0.625,0.1192725587434662,False
P4(b13),p83(b21),-11.447068165688464,-8.432798857685588,-11.447068165688464,0.0,0.0,True
p81(b7),A(b20),-8.291822949563837,-7.213070075463708,-11.605801431032127,0.17500000000000002,3.3139784814682898,False
p81(b7),"big(b9,n=3)",-8.291822949653664,-12.35997090608716,-21.27635921544076,0.65,8.9163883093536,False
p81(b7),p50(b19),-8.291822949645663,-8.116550992431167,-12.863240052372243,0.675,4.5714171027265795,False
p81(b7),p38(b22),-8.291822949616426,-7.2016796611768585,-11.861345634722195,0.2,3.5695226851057686,False
p81(b7),"big(b10,n=64)",-8.291822949708035,-11.986465033676168,-13.310551766026755,0.625,1.3240867323505867,False
p81(b7),p83(b21),-8.291822949663878,-8.432798857703837,-12.305311089596163,0.45,3.872512231892326,False
A(b20),"big(b9,n=3)",-7.197362474081477,-12.359970903643768,-29.659797953193053,0.625,17.299827049549286,False
A(b20),p50(b19),-7.197362473926764,-8.116550991557974,-8.673960271017453,0.6000000000000001,0.5574092794594794,False
A(b20),p38(b22),-7.1973624741253035,-7.185975143937034,-7.288503824833702,0.025,0.09114135070839868,False
A(b20),"big(b10,n=64)",-7.213070075568569,-11.98646491383215,-13.786510821433787,0.65,1.8000459076016373,False
A(b20),p83(b21),-7.213070075428383,-8.432798857664698,-8.522770879434379,0.9750000000000001,0.08997202176968067,False
"big(b9,n=3)",p50(b19),-12.359970906100909,-8.116550991357167,-35.26956764867933,0.47500000000000003,22.90959674257842,False
"big(b9,n=3)",p38(b22),-12.359970906987735,-7.185975143927094,-29.200902279139818,0.35000000000000003,16.840931372152085,False
