a,b,t,logl
worst(b5),B(b3),0.0,-25.964338959812913
worst(b5),B(b3),0.025,-26.432617113450533
worst(b5),B(b3),0.05,-27.624650494806197
worst(b5),B(b3),0.07500000000000001,-27.84876144065123
worst(b5),B(b3),0.1,-27.900567536721883
worst(b5),B(b3),0.125,-27.59498847225234
worst(b5),B(b3),0.15000000000000002,-27.32731494631137
worst(b5),B(b3),0.17500000000000002,-27.248348838101265
worst(b5),B(b3),0.2,-27.44448989314067
worst(b5),B(b3),0.225,-28.307886981619575
worst(b5),B(b3),0.25,-29.73546545331145
worst(b5),B(b3),0.275,-32.27383508791184
worst(b5),B(b3),0.30000000000000004,-34.03533162166416
worst(b5),B(b3),0.325,-35.24030385818324
worst(b5),B(b3),0.35000000000000003,-34.80272305287019
worst(b5),B(b3),0.375,-35.701259478823204
worst(b5),B(b3),0.4,-36.372090528390686
worst(b5),B(b3),0.42500000000000004,-38.889350328912954
worst(b5),B(b3),0.45,-39.83221700206661
worst(b5),B(b3),0.47500000000000003,-38.595646027763735
worst(b5),B(b3),0.5,-37.80400630366361
worst(b5),B(b3),0.525,-36.641575338311114
worst(b5),B(b3),0.55,-35.60260142489152
worst(b5),B(b3),0.5750000000000001,-35.450135768534125
worst(b5),B(b3),0.6000000000000001,-36.476905582890176
worst(b5),B(b3),0.625,-34.633621809268575
worst(b5),B(b3),0.65,-33.05519258278368
worst(b5),B(b3),0.675,-31.63576961283059
worst(b5),B(b3),0.7000000000000001,-25.752038272064127
worst(b5),B(b3),0.7250000000000001,-22.932750448922057
worst(b5),B(b3),0.75,-21.604497687615662
worst(b5),B(b3),0.775,-20.989602358566877
worst(b5),B(b3),0.8,-20.407668775455697
worst(b5),B(b3),0.8250000000000001,-19.901155986829515
worst(b5),B(b3),0.8500000000000001,-19.68916569441903
worst(b5),B(b3),0.875,-19.505204936122976
worst(b5),B(b3),0.9,-19.331561458750603
worst(b5),B(b3),0.925,-19.14252499092368
worst(b5),B(b3),0.9500000000000001,-19.055455275666716
worst(b5),B(b3),0.9750000000000001,-18.954680941107483
worst(b5),B(b3),1.0,-18.87686280902222
worst(b5),"big(b6,n=2)",0.0,-25.964338959744147
worst(b5),"big(b6,n=2)",0.025,-26.006804763926716
worst(b5),"big(b6,n=2)",0.05,-26.079962067405138
worst(b5),"big(b6,n=2)",0.07500000000000001,-26.164438479511062
worst(b5),"big(b6,n=2)",0.1,-26.341976799691423
worst(b5),"big(b6,n=2)",0.125,-26.49880242340845
worst(b5),"big(b6,n=2)",0.15000000000000002,-26.703967611807222
worst(b5),"big(b6,n=2)",0.17500000000000002,-26.970574296486184
worst(b5),"big(b6,n=2)",0.2,-27.30148910569529
worst(b5),"big(b6,n=2)",0.225,-27.663752542973967
worst(b5),"big(b6,n=2)",0.25,-27.616426309720886
worst(b5),"big(b6,n=2)",0.275,-27.566185021986016
worst(b5),"big(b6,n=2)",0.30000000000000004,-27.524991775650392
worst(b5),"big(b6,n=2)",0.325,-27.47813548067667
worst(b5),"big(b6,n=2)",0.35000000000000003,-27.660065960283724
worst(b5),"big(b6,n=2)",0.375,-27.563768029765335
worst(b5),"big(b6,n=2)",0.4,-27.50729995721302
worst(b5),"big(b6,n=2)",0.42500000000000004,-27.39070342229021
worst(b5),"big(b6,n=2)",0.45,-27.219928604066915
worst(b5),"big(b6,n=2)",0.47500000000000003,-27.075025345474764
worst(b5),"big(b6,n=2)",0.5,-26.923575988915772
worst(b5),"big(b6,n=2)",0.525,-26.77288473368901
worst(b5),"big(b6,n=2)",0.55,-26.618760152910866
worst(b5),"big(b6,n=2)",0.5750000000000001,-26.451896764304273
worst(b5),"big(b6,n=2)",0.6000000000000001,-26.270763513285566
worst(b5),"big(b6,n=2)",0.625,-26.082797632688685
worst(b5),"big(b6,n=2)",0.65,-25.89137392218948
worst(b5),"big(b6,n=2)",0.675,-25.684467608143358
worst(b5),"big(b6,n=2)",0.7000000000000001,-25.484721525154505
worst(b5),"big(b6,n=2)",0.7250000000000001,-25.288889917223358
worst(b5),"big(b6,n=2)",0.75,-25.12187539839021
worst(b5),"big(b6,n=2)",0.775,-24.940102627428608
worst(b5),"big(b6,n=2)",0.8,-24.74576105678699
worst(b5),"big(b6,n=2)",0.8250000000000001,-24.558851753152585
worst(b5),"big(b6,n=2)",0.8500000000000001,-24.38398816326696
worst(b5),"big(b6,n=2)",0.875,-24.224086563193417
worst(b5),"big(b6,n=2)",0.9,-24.060440754028335
worst(b5),"big(b6,n=2)",0.925,-23.923235169570333
worst(b5),"big(b6,n=2)",0.9500000000000001,-23.84334085554404
worst(b5),"big(b6,n=2)",0.9750000000000001,-23.8038724943364
worst(b5),"big(b6,n=2)",1.0,-23.790998384338813
worst(b5),Bstar(b8),0.0,-25.964338959615983
worst(b5),Bstar(b8),0.025,-26.232492915645643
worst(b5),Bstar(b8),0.05,-26.86887296400895
worst(b5),Bstar(b8),0.07500000000000001,-27.986723788743543
worst(b5),Bstar(b8),0.1,-28.113022294332723
worst(b5),Bstar(b8),0.125,-28.372238670413374
worst(b5),Bstar(b8),0.15000000000000002,-28.365846335949797
worst(b5),Bstar(b8),0.17500000000000002,-28.224123887599504
worst(b5),Bstar(b8),0.2,-28.087578121522153
