,A(b20),B(b3),Bstar(b8),P4(b13),"big(b10,n=64)","big(b6,n=2)","big(b9,n=3)",p38(b22),p50(b19),p81(b7),p83(b21),worst(b5)
A(b20),0.0,13.868,0.266,0.0,0.119,1.714,1.785,0.0,0.0,0.914,0.0,1.714
B(b3),13.868,0.0,13.868,13.868,13.868,13.868,13.868,13.868,13.868,13.868,13.868,13.868
Bstar(b8),0.266,13.868,0.0,0.266,0.266,1.714,1.785,0.266,0.266,0.914,0.266,1.714
P4(b13),0.0,13.868,0.266,0.0,0.119,1.714,1.785,0.0,0.0,0.914,0.0,1.714
"big(b10,n=64)",0.119,13.868,0.266,0.119,0.0,1.714,1.785,0.119,0.119,0.914,0.119,1.714
"big(b6,n=2)",1.714,13.868,1.714,1.714,1.714,0.0,1.785,1.714,1.714,1.714,1.714,1.699
"big(b9,n=3)",1.785,13.868,1.785,1.785,1.785,1.785,0.0,1.785,1.785,1.785,1.785,1.785
p38(b22),0.0,13.868,0.266,0.0,0.119,1.714,1.785,0.0,0.0,0.914,0.0,1.714
p50(b19),0.0,13.868,0.266,0.0,0.119,1.714,1.785,0.0,0.0,0.914,0.0,1.714
p81(b7),0.914,13.868,0.914,0.914,0.914,1.714,1.785,0.914,0.914,0.0,0.914,1.714
p83(b21),0.0,13.868,0.266,0.0,0.119,1.714,1.785,0.0,0.0,0.914,0.0,1.714
worst(b5),1.714,13.868,1.714,1.714,1.714,1.699,1.785,1.714,1.714,1.714,1.714,0.0
