key,n_dead,n_infeasible,n_feasible_not_growing,o2_at_feasible_not_growing,n_within_1pct_of_mask,min_rel_dist_to_mask
worst(b5),1,0,1,5.674,0,0.5293086748952133
B(b3),11,11,0,,1,7.120055955413263e-10
"big(b6,n=2)",0,0,0,,0,1.3774833137656206
Bstar(b8),1,0,1,0.525,1,3.4525873506734486e-08
P4(b13),0,0,0,,0,9.693689576918334
p81(b7),1,0,1,2.237,1,0.004319833992608911
A(b20),1,0,1,1.570,1,3.380013798145662e-08
"big(b9,n=3)",0,0,0,,0,13.384494320541153
p50(b19),0,0,0,,0,6.291650823009417
p38(b22),0,0,0,,1,3.904645500701388e-08
"big(b10,n=64)",0,0,0,,0,12.586728046044835
p83(b21),0,0,0,,0,7.409815478337112
