key,current_self,current_other,current_diff,clamp_self,clamp_other,clamp_diff,impute_self,impute_other,impute_diff
worst(b5),-25.964338959744147,-25.96433895995333,2.091837814077735e-10,-36.44265150321177,-36.44265150790491,4.693141875122819e-09,-149.50118030420796,-149.5011803063415,2.1335324618121376e-09
B(b3),-18.87686280902222,-18.87686280902222,0.0,-20.582856966260863,-20.582856966260863,0.0,-1563.2092651058751,-1682.353939509369,119.14467440349381
"big(b6,n=2)",-23.79099838097649,-23.790998384842283,3.865793019031116e-09,-31.892491947756284,-31.89249192921135,1.8544934476949493e-08,-31.8924919242005,-31.8924919479447,2.374419949546791e-08
Bstar(b8),-8.310937716191752,-8.310937716273216,8.146372465489549e-11,-11.728539623451397,-11.728539623273257,1.7814016928241472e-10,-123.40581180601976,-123.40581180598322,3.653610747278435e-11
P4(b13),-11.447068165858798,-11.44706816561757,2.41229258790554e-10,-12.631094789874663,-12.631094789704495,1.701678797871864e-10,-12.631094789245477,-12.631094789228044,1.7433166021874058e-11
p81(b7),-8.291822949639432,-8.291822949787154,1.4772183476452483e-10,-10.738061853368805,-10.738061853459026,9.022116387313872e-11,-122.83953330467943,-122.83953330471687,3.743139131984208e-11
A(b20),-7.197362472657887,-7.1973624740883935,1.4305063800179596e-09,-10.002884961823689,-10.002884962383234,5.595452989837213e-10,-122.88828057042282,-122.88828056478933,5.633495447909809e-09
"big(b9,n=3)",-12.359970906962879,-12.359970904542525,2.4203536952427385e-09,-13.490900243543198,-13.490900240237757,3.3054412540423073e-09,-13.490900243629486,-13.490900240222773,3.406713133813355e-09
p50(b19),-8.116550992151456,-8.11655099143425,7.172058502646905e-10,-9.338188203278687,-9.3381882025524,7.262865864277046e-10,-9.3381882030764,-9.338188203592633,5.16232390168625e-10
p38(b22),-7.201679661241583,-7.1859751439231685,0.01570451731841427,-9.989389795095454,-9.989389795363564,2.68110866841198e-10,-122.38498670551613,-122.38498670565943,1.43302258948097e-10
"big(b10,n=64)",-11.986465031126663,-11.986465033920588,2.79392509128229e-09,-13.130378440035642,-13.130378435459646,4.575996470634891e-09,-13.130378432193911,-13.130378424855255,7.338655905186897e-09
p83(b21),-8.432798857643574,-8.432798857614923,2.865085946268664e-11,-9.639062184736813,-9.639062184804212,6.73985312005243e-11,-9.639062184975838,-9.639062184826926,1.48911993846923e-10
