line,n_intervals,n_equal,longest_plateau_intervals,longest_plateau_sd,frac_of_line,n_feasibility_crossings,crossing_sd,plateau_pass
PC1,40,0,0,0.0,0.0,1,+0.00,True
PC2,40,0,0,0.0,0.0,1,-0.05,True
PC3,40,0,0,0.0,0.0,1,+0.00,True
axis:clearance_mult,40,0,0,0.0,0.0,1,-0.05,True
axis:dCp_scale,40,0,0,0.0,0.0,2,+0.00;+0.75,True
axis:f_maint,40,0,0,0.0,0.0,1,+0.00,True
axis:kcat_scale,40,0,0,0.0,0.0,1,-0.05,True
axis:ngam_scale,40,0,0,0.0,0.0,1,+0.00,True
axis:topt_scale,40,0,0,0.0,0.0,1,+0.00,True
random1,40,0,0,0.0,0.0,1,+0.00,True
random2,40,0,0,0.0,0.0,1,+0.00,True
random3,40,0,0,0.0,0.0,1,+0.00,True
