line,at_sd,step_h,d_h2,d_h4,d_h8,ratio1,ratio2,ratio3,verdict
axis:topt_scale,0.9,8.55174457252265,4.332524244584661,2.229504538148767,1.1235921023879811,0.5066246083290844,0.5145971291298564,0.5039649317426094,SMOOTH
axis:dCp_scale,0.95,4.815570258204069,3.708703692633655,2.406462940584497,1.640403881840598,0.770148392356088,0.6488690227165599,0.6816659646718541,AMBIGUOUS
axis:kcat_scale,0.95,2.7260262140726894,1.3808029123014194,0.6937998485828984,0.34837337090347376,0.5065259112965377,0.5024611712518223,0.5021237344099081,SMOOTH
axis:f_maint,0.0,1.53022267469224,1.5490256737287744,1.5590025633260751,1.5639759239705455,1.0122877535064079,1.0064407516069662,1.0031900913837242,JUMP
axis:ngam_scale,0.0,1.5400132975202503,1.5549585374840262,1.5623172634105096,1.5659683515225034,1.0097046174782003,1.0047324258165686,1.0023369697035949,JUMP
axis:clearance_mult,-0.05,1.571663698114115,1.5705427525010247,1.5668084236623674,1.5666517510775169,0.9992867776901412,0.9976222685866332,0.9999000052702779,JUMP
PC1,0.0,1.6366770302096683,1.606121401457198,1.5877310994559366,1.5791299427182537,0.981330691279662,0.9885498680332779,0.9945827371268156,JUMP
PC2,-0.05,1.4982171041580798,1.5363312964598634,1.5536417491759202,1.5624617142864707,1.025439699090341,1.0112673957472225,1.0056769619606507,JUMP
PC3,0.0,1.396337153379319,1.5230789097044468,1.547649878464,1.5617360712744226,1.090767302165094,1.0161324331937085,1.0091016663435548,JUMP
random1,0.8,2.501010871946299,1.4430294208004995,1.0535478908074225,0.8848808883041848,0.5769784677815202,0.7300945328079189,0.8399057091045249,JUMP
random2,0.0,1.4297058706730503,1.5099188951665248,1.54178830964754,1.5570629181027797,1.056104563979802,1.0211067061833812,1.0099070724298926,JUMP
random3,0.0,1.550703608415862,1.562465734996163,1.5674129485242858,1.569265878312395,1.0075850256080314,1.0031662860933939,1.0011821580202291,JUMP
