line,at_sd,levels,deltas,ratios,last_ratio,verdict,crossing_at
axis:topt_scale,0.93125,3,8.5517;4.3325;2.2295;1.1236,0.507;0.515;0.504,0.5039649317426094,SMOOTH,
axis:dCp_scale,0.9966796874999999,8,4.8156;3.7087;2.4065;1.6404;1.0627;0.8430;0.7268;0.6662;0.3791,0.770;0.649;0.682;0.648;0.793;0.862;0.917;0.569,0.5690983805250249,JUMP,
axis:kcat_scale,0.99375,3,2.7260;1.3808;0.6938;0.3484,0.507;0.502;0.502,0.5021237344099081,SMOOTH,
axis:f_maint,0.99375,3,0.0566;0.0284;0.0142;0.0071,0.502;0.501;0.501,0.5005112144894946,SMOOTH,
axis:ngam_scale,0.99375,3,0.0639;0.0323;0.0162;0.0081,0.505;0.502;0.501,0.50121534836099,SMOOTH,
axis:clearance_mult,-1.0,3,0.2606;0.1324;0.0667;0.0335,0.508;0.504;0.502,0.501978242471199,SMOOTH,
PC1,-0.8251953125,8,0.7111;0.3815;0.2620;0.2026;0.1730;0.1582;0.1509;0.1472;0.1453,0.536;0.687;0.773;0.854;0.915;0.953;0.976;0.987,0.987471158202696,JUMP,
PC2,-0.95,3,0.6839;0.5672;0.5073;0.4672,0.829;0.894;0.921,0.9210987530506701,JUMP,
PC3,0.99375,3,0.7895;0.3974;0.1991;0.0996,0.503;0.501;0.500,0.5002813205979455,SMOOTH,
random1,0.83125,3,2.5010;1.4430;1.0535;0.8849,0.577;0.730;0.840,0.8399057091045249,JUMP,
random2,0.99375,3,1.1993;0.6041;0.3032;0.1519,0.504;0.502;0.501,0.5009947739395104,SMOOTH,
random3,-0.9875,3,0.3682;0.1877;0.0964;0.0500,0.510;0.514;0.519,0.5189866607850658,SMOOTH,
