,dTopt,topt_scale,dCp_scale,tm_scale,kcat_scale,kappa_scale,sigma,f_metab,f_maint,ngam_scale,ngam_steepness,clearance_mult,resp_scale,disc_resp,disc_growth
dTopt,0.04090384190522262,0.029970120517728047,-0.023145197652978032,-0.0201377230140463,-0.018860899503509068,-0.01898571179004573,-0.04841239265970812,-0.014979556453269325,0.01814154022758334,0.003382880798272548,0.011223971791489273,0.014956221644280437,-0.033880088886228406,0.027596610250248895,0.03444163059348625
topt_scale,0.029970120517728044,0.04236557508693562,-0.020124259412840306,-0.01810662520743866,-0.01716706138598261,-0.015879718426506147,-0.04243724365970192,-0.013534305400684657,0.01901933447209615,0.003153227428691398,0.012311265990222635,0.018998421120475516,-0.03460100220236004,0.02683630344164936,0.03140812770470318
dCp_scale,-0.023145197652978032,-0.020124259412840302,0.08482470156178738,0.029065174085634637,0.026041794440133437,-0.024227893074474767,0.022181558085064484,8.391597292403604e-05,-0.023312087191831102,0.028440731377800843,0.007908588826192699,-0.043525177683636514,0.01836740137731958,-0.0012857810397318566,-0.020040172022993852
tm_scale,-0.020137723014046302,-0.01810662520743866,0.02906517408563464,0.06099188996243556,0.022362821631353738,-0.0027610945562316215,0.03593782336370113,0.012848443279023269,-0.016117410362299803,0.0016312937805537183,0.004384424373596294,-0.02317642369333838,0.01442043539670113,-0.02339470550443101,-0.01917483000642254
kcat_scale,-0.01886089950350907,-0.01716706138598261,0.026041794440133433,0.022362821631353738,0.040950703860874856,-0.00781847750747706,0.01867451036226947,0.0004478290975583864,-0.011825964383335805,0.005026383855553781,0.008146257537051263,-0.020028291910644074,0.021803470127322654,-0.008979686011588625,-0.016530790962672067
kappa_scale,-0.01898571179004573,-0.015879718426506147,-0.024227893074474767,-0.0027610945562316215,-0.007818477507477058,0.07805695656221856,0.024535690559758745,0.018801321537804075,0.008018879190104621,-0.029615588812050946,-0.027726945921506558,0.021629022431260848,0.006530749557019411,-0.027224378859666925,-0.01982187881812673
sigma,-0.04841239265970811,-0.042437243659701925,0.02218155808506448,0.03593782336370113,0.018674510362269466,0.024535690559758752,0.09034145192679251,0.029901358144483567,-0.028192378382385325,-0.017651956837161708,-0.0058157247464743255,-0.030104273198768308,0.03621613048868395,-0.05014390298733895,-0.04680687914336699
f_metab,-0.014979556453269325,-0.013534305400684657,8.391597292403627e-05,0.012848443279023267,0.0004478290975583859,0.018801321537804075,0.02990135814448357,0.04942355591225141,-0.008399246822429702,-0.017351556377418035,-0.006818858686454379,-0.006663555120639469,0.0025096870669060168,-0.030726804685075694,-0.01745383804169719
f_maint,0.01814154022758334,0.01901933447209615,-0.0233120871918311,-0.016117410362299803,-0.011825964383335805,0.008018879190104621,-0.02819237838238533,-0.008399246822429703,0.04603071663058513,0.0027373773614370665,-0.0033501347657825353,0.03263970040933002,-0.022490235769756672,0.018862346643407215,0.017573021667167645
ngam_scale,0.0033828807982725483,0.0031532274286913973,0.028440731377800843,0.0016312937805537187,0.005026383855553782,-0.02961558881205095,-0.017651956837161708,-0.01735155637741804,0.0027373773614370674,0.050151033321374036,0.004414292814204936,-0.010764503712415104,0.0021528407760909155,0.025202264876614273,0.005143070326469418
ngam_steepness,0.011223971791489273,0.012311265990222635,0.007908588826192699,0.004384424373596293,0.008146257537051263,-0.027726945921506558,-0.005815724746474329,-0.006818858686454377,-0.0033501347657825353,0.004414292814204936,0.049558168945991396,-0.013758630008782812,-0.013756195107089671,0.0062248493981309615,0.01096248345307675
clearance_mult,0.014956221644280437,0.01899842112047552,-0.043525177683636514,-0.02317642369333838,-0.02002829191064407,0.021629022431260844,-0.030104273198768308,-0.006663555120639469,0.03263970040933002,-0.010764503712415103,-0.013758630008782812,0.069978561697156,-0.01622710554046759,0.018708428666733067,0.01707390973702155
resp_scale,-0.0338800888862284,-0.03460100220236003,0.018367401377319584,0.01442043539670113,0.021803470127322654,0.006530749557019413,0.03621613048868395,0.0025096870669060168,-0.022490235769756672,0.0021528407760909164,-0.013756195107089671,-0.01622710554046759,0.05470113977938439,-0.02038453613750445,-0.02943563695900524
disc_resp,0.027596610250248895,0.02683630344164936,-0.0012857810397318586,-0.023394705504431002,-0.008979686011588627,-0.027224378859666925,-0.05014390298733895,-0.030726804685075697,0.018862346643407222,0.025202264876614276,0.006224849398130961,0.018708428666733067,-0.020384536137504444,0.06349402511187786,0.028215654566586063
disc_growth,0.03444163059348625,0.03140812770470318,-0.020040172022993855,-0.01917483000642254,-0.016530790962672067,-0.01982187881812673,-0.04680687914336699,-0.01745383804169719,0.017573021667167642,0.005143070326469415,0.010962483453076748,0.01707390973702155,-0.02943563695900524,0.028215654566586063,0.0348138535591236
