config,c_max,his_cap,stage,growth_R2,resp_R2,rmax,Topt_C,logL,logpost,kcat_scale,nfev
D,257.0,256.7,"his MAP, fixed",0.8950390617344078,0.7952090008045977,2.437169781021121,44.0,-1.0069500844612191,-10.726435169295822,1.7899881526347674,
D,257.0,256.7,Powell from his MAP,0.8935241805780341,0.8263846731458369,2.426796734189889,44.0,0.10759661468842818,-9.266343345226332,1.8322712092833464,600.0
D,450.0,256.7,"his MAP, fixed",0.9011232307479516,0.6274772369156847,2.4779471113393052,44.0,-72.18088404825019,-81.9003691330848,1.7899881526347674,
D,450.0,256.7,Powell from his MAP,0.8982407175117713,0.7792753543281612,2.675311492113577,44.0,3.0092092308133296,-7.737302257454367,2.239050014413208,600.0
E,257.0,459.3,"his MAP, fixed",0.7196084076680985,0.4301790031128492,2.0197709446228704,42.5,-20.65858064749621,-29.483121210483255,3.235679226733868,
E,257.0,459.3,Powell from his MAP,0.7664067800008751,0.41680499742611743,2.026539289881352,42.5,-8.71152155225134,-22.19228156016979,3.0887114210498745,481.0
E,450.0,459.3,"his MAP, fixed",0.8270708629353145,0.8634213675993956,2.3970049207306894,44.0,-6.08257703290629,-14.907117595893336,3.235679226733868,
E,450.0,459.3,Powell from his MAP,0.8867607964597168,0.3963354852321771,2.435166304180234,42.5,-7.189109251056232,-17.463507656227645,3.2359814316647078,216.0
F,257.0,509.9,"his MAP, fixed",0.7554261483645759,0.7295250701131375,2.074163865661599,44.0,-19.227647290916714,-28.6833961422576,3.3860641227304518,
F,257.0,509.9,Powell from his MAP,0.8876280016665689,0.6246939629899175,2.4094244553278035,42.5,-10.230680286216634,-19.33654560682113,3.20301367343709,411.0
F,450.0,509.9,"his MAP, fixed",0.8796706662455012,0.8505168318036049,2.575065009413942,44.0,-9.741263157938084,-19.197012009278968,3.3860641227304518,
F,450.0,509.9,Powell from his MAP,0.8980162716663984,0.8482642525819721,2.4677080243827234,42.5,-2.6022915332969605,-11.404579306202997,3.1430944349967045,600.0
