fit,config,medium,T_C,growth,cap_present,cap_c_max,cap_primal,cap_active,o2_solver,o2_fva_min,o2_fva_max,o2_fva_width,o2_width_over_o2,growth_no_etc,o2_fva_min_no_etc,o2_fva_max_no_etc,o2_fva_width_no_etc
D_NLDM,D,NLDM,25.0,0.5325,True,120.0,0.0,False,11.932,11.932,11.944,0.012,0.001,,,,
D_NLDM,D,NLDM,30.0,1.1967,True,120.0,0.0,False,23.459,23.456,23.465,0.009,0.0,,,,
D_NLDM,D,NLDM,37.0,1.5972,True,120.0,0.0,False,34.514,34.514,34.519,0.005,0.0,,,,
D_NLDM,D,NLDM,40.0,1.6562,True,120.0,0.0,False,38.15,38.142,38.156,0.014,0.0,,,,
D_NLDM,D,NLDM,44.0,1.5744,True,120.0,0.0,False,35.472,35.464,35.477,0.013,0.0,,,,
D_LB,D,LB,25.0,0.0979,True,450.0,450.0,True,7.29,7.288,7.299,0.011,0.001,,,,
D_LB,D,LB,30.0,0.1144,True,450.0,450.0,True,9.4,9.398,9.423,0.025,0.003,,,,
D_LB,D,LB,37.0,1.4038,True,450.0,450.0,True,16.502,16.496,16.516,0.019,0.001,,,,
D_LB,D,LB,40.0,1.8078,True,450.0,450.0,True,24.086,24.077,24.118,0.042,0.002,,,,
D_LB,D,LB,44.0,1.9813,True,450.0,450.0,True,28.611,28.605,28.629,0.024,0.001,,,,
E_NLDM,E,NLDM,25.0,0.4587,False,,,False,9.349,9.348,9.354,0.005,0.001,0.4587,9.348,9.354,0.005
E_NLDM,E,NLDM,30.0,1.0847,False,,,False,20.303,20.301,20.316,0.015,0.001,1.097,24.705,24.727,0.023
E_NLDM,E,NLDM,37.0,1.6601,False,,,False,35.689,35.688,35.695,0.007,0.0,1.7229,34.177,34.2,0.023
E_NLDM,E,NLDM,40.0,1.7327,False,,,False,37.242,36.974,37.245,0.27,0.007,1.8159,36.193,36.239,0.046
E_NLDM,E,NLDM,44.0,1.6359,False,,,False,35.677,35.676,35.683,0.007,0.0,1.7086,41.834,41.869,0.034
E_LB,E,LB,25.0,0.1559,True,450.0,450.0,True,8.082,8.079,8.11,0.031,0.004,0.1559,8.079,8.11,0.031
E_LB,E,LB,30.0,0.6487,True,450.0,450.0,True,9.957,9.946,10.034,0.087,0.009,0.6487,9.946,10.034,0.087
E_LB,E,LB,37.0,1.7585,True,450.0,450.0,True,24.111,5.803,114.485,108.682,4.508,1.7585,5.803,194.598,188.796
E_LB,E,LB,40.0,1.7585,True,450.0,450.0,True,23.027,3.259,171.984,168.725,7.327,1.7585,3.259,208.639,205.38
E_LB,E,LB,44.0,1.7585,True,450.0,450.0,True,24.111,0.0,187.648,187.648,7.783,1.7585,0.0,218.639,218.639
F_NLDM,F,NLDM,25.0,0.8535,False,,,False,17.746,17.734,17.751,0.017,0.001,0.8714,18.265,18.274,0.008
F_NLDM,F,NLDM,30.0,1.3682,False,,,False,27.39,27.381,27.398,0.017,0.001,1.4449,30.405,30.444,0.039
F_NLDM,F,NLDM,37.0,1.7062,False,,,False,37.158,37.149,37.168,0.019,0.001,1.9036,37.377,37.393,0.016
F_NLDM,F,NLDM,40.0,1.7363,False,,,False,42.191,42.128,42.193,0.065,0.002,1.9721,38.923,39.217,0.295
F_NLDM,F,NLDM,44.0,1.6215,False,,,False,29.034,29.032,29.04,0.009,0.0,1.7693,35.163,35.187,0.024
F_LB,F,LB,25.0,0.1194,True,450.0,450.0,True,10.921,10.612,11.139,0.527,0.048,0.1194,10.913,10.937,0.024
F_LB,F,LB,30.0,0.5606,True,450.0,450.0,True,46.626,31.108,46.631,15.523,0.333,0.5609,36.724,36.841,0.117
F_LB,F,LB,37.0,1.8496,True,450.0,450.0,True,22.763,22.762,22.769,0.007,0.0,1.8498,22.891,22.915,0.024
F_LB,F,LB,40.0,2.0391,True,450.0,450.0,True,22.807,22.805,22.815,0.01,0.0,2.0535,29.817,29.831,0.013
F_LB,F,LB,44.0,2.1536,True,450.0,450.0,True,22.839,22.836,22.846,0.01,0.0,2.1742,34.38,34.417,0.036
D_M9,D,glucose_minimal,25.0,0.1598,True,120.0,120.0,True,8.543,8.503,8.543,0.04,0.005,,,,
D_M9,D,glucose_minimal,30.0,0.3653,True,120.0,120.0,True,16.451,16.449,16.451,0.003,0.0,,,,
D_M9,D,glucose_minimal,37.0,0.6074,True,120.0,120.0,True,16.255,16.255,16.256,0.001,0.0,,,,
D_M9,D,glucose_minimal,40.0,0.6385,True,120.0,120.0,True,16.874,16.874,16.875,0.001,0.0,,,,
D_M9,D,glucose_minimal,44.0,0.4544,True,120.0,120.0,True,15.717,15.714,15.718,0.004,0.0,,,,
E_M9,E,glucose_minimal,25.0,0.16,True,120.0,120.0,True,13.126,13.12,13.126,0.006,0.0,0.16,13.12,13.126,0.006
E_M9,E,glucose_minimal,30.0,0.3655,True,120.0,120.0,True,16.448,16.442,16.449,0.007,0.0,0.3655,16.442,16.449,0.007
E_M9,E,glucose_minimal,37.0,0.6277,True,120.0,120.0,True,18.949,18.945,18.952,0.007,0.0,0.64,19.919,19.92,0.001
E_M9,E,glucose_minimal,40.0,0.6846,True,120.0,120.0,True,25.477,25.461,25.48,0.018,0.001,0.7037,21.281,21.283,0.002
E_M9,E,glucose_minimal,44.0,0.1848,True,120.0,120.0,True,18.258,18.243,18.259,0.016,0.001,0.1848,18.243,18.259,0.016
F_M9,F,glucose_minimal,25.0,0.155,True,120.0,120.0,True,7.635,7.635,7.642,0.007,0.001,0.155,7.635,7.642,0.007
F_M9,F,glucose_minimal,30.0,0.3646,True,120.0,120.0,True,14.168,14.167,14.169,0.002,0.0,0.366,14.566,14.571,0.005
F_M9,F,glucose_minimal,37.0,0.6296,True,120.0,120.0,True,20.493,20.493,20.494,0.001,0.0,0.6637,19.177,19.179,0.002
F_M9,F,glucose_minimal,40.0,0.683,True,120.0,120.0,True,22.37,22.365,22.373,0.008,0.0,0.7353,20.603,20.604,0.001
F_M9,F,glucose_minimal,44.0,0.3468,True,120.0,120.0,True,13.096,13.095,13.099,0.004,0.0,0.3491,16.705,16.711,0.005
