walker,first_quarter_mean,last_quarter_mean,shift
0,0.41141659077844395,0.2364740954431033,-0.17494249533534065
1,0.5274410775704989,0.26333635109944636,-0.2641047264710525
2,0.5260379363890175,0.19567980913220195,-0.33035812725681557
3,0.6552502440842023,0.13781986612605923,-0.5174303779581431
4,0.2895322110533831,0.1220351929598732,-0.16749701809350992
5,0.43156294212083884,0.3279435691110527,-0.10361937300978613
6,0.4485423556746286,0.09208874547380759,-0.356453610200821
7,0.43954027752844704,0.2211364871387537,-0.21840379038969335
8,0.2982127805008971,0.11307990073146425,-0.18513287976943288
9,0.4729685236575743,0.14211870613767458,-0.3308498175198997
10,0.672001002571707,0.21199277096629507,-0.46000823160541193
11,0.21514477496489226,0.19586404963379808,-0.01928072533109418
12,0.5485498517415568,0.09301838984346314,-0.4555314618980937
13,0.41834531472274084,0.14463986197550618,-0.2737054527472347
14,0.3957859893334459,0.1443114949958827,-0.2514744943375632
15,0.4410161117023211,0.18475745014387593,-0.2562586615584451
16,0.45620541581471996,0.2290230785051106,-0.22718233730960935
17,0.4714216405624563,0.21119589357079277,-0.2602257469916635
18,0.3423426084150887,0.1653001186621806,-0.17704248975290807
19,0.369563067446815,0.11593437729640954,-0.25362869015040546
20,0.5087706650907778,0.2822531300517461,-0.22651753503903171
21,0.4048159253521242,0.2832104951487762,-0.12160543020334796
22,0.3793445994553536,0.2695969040016243,-0.10974769545372931
23,0.2887305019086433,0.2268913200265174,-0.06183918188212589
24,0.44648024581594936,0.33117514097350537,-0.115305104842444
25,0.35479756098306764,0.28387254933175116,-0.07092501165131648
26,0.3450913686180705,0.20391553446380328,-0.1411758341542672
27,0.34137043780789245,0.16726597179423108,-0.17410446601366136
28,0.528177048673176,0.2807359388236182,-0.24744110984955786
29,0.2883326551009885,0.12692866514143622,-0.16140398995955227
30,0.5827207234168269,0.9537314456856513,0.37101072226882437
31,0.4378574467397488,0.18583348072951478,-0.252023966010234
32,0.4645072067531678,0.24805404956248922,-0.2164531571906786
33,0.5395134982154612,0.8871173071202587,0.3476038089047975
34,0.5316921471717542,0.22606464127267759,-0.3056275058990766
35,0.3885188422831309,0.12421330390027754,-0.2643055383828533
36,0.3006537950114724,0.1733368928631203,-0.1273169021483521
37,0.3280590293750705,0.11111457018276746,-0.216944459192303
38,0.3957638167253807,0.10213677581091511,-0.29362704091446556
39,0.465984205028546,0.2609745355400137,-0.20500966948853228
