view,pc,variance_fraction,cumulative,tau,top_loading
"128w (P7), steps 250-1500",1,0.1648265836673636,0.1648265836673636,114.77691293471204,resp_scale
"128w (P7), steps 250-1500",2,0.11785891140308219,0.2826854950704458,113.2204105246578,topt_scale
"128w (P7), steps 250-1500",3,0.11399610593618295,0.39668160100662875,120.31690965236552,dTm
"128w (P7), steps 250-1500",4,0.08642233660466539,0.4831039376112941,113.64084463616221,clearance_mult
"128w (P7), steps 250-1500",5,0.0731250783499065,0.5562290159612007,113.91262743576608,ngam_steepness
"128w (P7), steps 250-1500",6,0.06986353323964267,0.6260925492008433,120.5784159455799,f_maint
"128w (P7), steps 250-1500",7,0.0666480490038391,0.6927405982046825,116.04702313225748,f_metab
"128w (P7), steps 250-1500",8,0.059743630018302345,0.7524842282229848,119.85404486539811,disc_resp
"128w (P7), steps 250-1500",9,0.05366867177592591,0.8061528999989107,119.95622576757621,f_metab
"128w (P7), steps 250-1500",10,0.04951210532809802,0.8556650053270087,114.79860620839275,kappa_scale
"128w (P7), steps 250-1500",11,0.04409671831357984,0.8997617236405886,117.52015975028824,clearance_mult
"128w (P7), steps 250-1500",12,0.03819723285092255,0.9379589564915112,116.23974036081745,disc_growth
"128w (P7), steps 250-1500",13,0.031234424136850507,0.9691933806283617,115.17694048644756,disc_growth
"128w (P7), steps 250-1500",14,0.0168514564976103,0.986044837125972,109.56942051848232,dTm
"128w (P7), steps 250-1500",15,0.00951037804251099,0.995555215168483,118.0006710162642,sigma
"128w (P7), steps 250-1500",16,0.004444784831516983,0.9999999999999999,114.74993707611507,dTopt
"40w (P4+P6), steps 1500-2500",1,0.21892873872963575,0.21892873872963575,104.16978118957401,resp_scale
"40w (P4+P6), steps 1500-2500",2,0.12114460788266149,0.34007334661229727,94.34907435492613,dTopt
"40w (P4+P6), steps 1500-2500",3,0.10224043769851549,0.44231378431081275,96.16228422514212,kcat_scale
"40w (P4+P6), steps 1500-2500",4,0.0936589772053101,0.5359727615161228,103.51336277420106,ngam_scale
"40w (P4+P6), steps 1500-2500",5,0.0785857894642057,0.6145585509803285,90.5374530227321,ngam_steepness
"40w (P4+P6), steps 1500-2500",6,0.06451458137440111,0.6790731323547297,98.9274976165641,kcat_scale
"40w (P4+P6), steps 1500-2500",7,0.06341631461836805,0.7424894469730977,88.92424534293968,f_maint
"40w (P4+P6), steps 1500-2500",8,0.05641664225207722,0.7989060892251749,93.35373968142248,kappa_scale
"40w (P4+P6), steps 1500-2500",9,0.04942950215045202,0.848335591375627,96.83452265509756,disc_resp
"40w (P4+P6), steps 1500-2500",10,0.04608341850044657,0.8944190098760736,98.87600468524539,kappa_scale
"40w (P4+P6), steps 1500-2500",11,0.03779098013937612,0.9322099900154497,93.14283484638018,f_metab
"40w (P4+P6), steps 1500-2500",12,0.027264331439869866,0.9594743214553195,95.53125245161846,clearance_mult
"40w (P4+P6), steps 1500-2500",13,0.02176910671884972,0.9812434281741692,90.72559732932241,disc_growth
"40w (P4+P6), steps 1500-2500",14,0.010061596071702221,0.9913050242458714,88.99213148443248,dTm
"40w (P4+P6), steps 1500-2500",15,0.006207117248182657,0.9975121414940541,105.72741588478281,resp_scale
"40w (P4+P6), steps 1500-2500",16,0.002487858505946014,1.0000000000000002,96.0207502463405,dTopt
