line,step_sd,logL
axis:dTopt,-1.0,-25.963801488654738
axis:dTopt,-0.9500000000000001,-24.03785147536214
axis:dTopt,-0.9,-21.634028854253263
axis:dTopt,-0.8500000000000001,-19.389989294024048
axis:dTopt,-0.8,-17.21642103113932
axis:dTopt,-0.75,-15.270866115517531
axis:dTopt,-0.7000000000000001,-14.473743833452456
axis:dTopt,-0.65,-12.345701192806754
axis:dTopt,-0.6000000000000001,-10.598235778892697
axis:dTopt,-0.55,-9.098981513222807
axis:dTopt,-0.5,-7.962208738161326
axis:dTopt,-0.45,-6.985535548855498
axis:dTopt,-0.4,-5.803564058383768
axis:dTopt,-0.35000000000000003,-5.779356243342739
axis:dTopt,-0.30000000000000004,-6.430738349854822
axis:dTopt,-0.25,-7.861694205062519
axis:dTopt,-0.2,-9.057435164216614
axis:dTopt,-0.15000000000000002,-9.892016030626117
axis:dTopt,-0.1,2.0078830201102287
axis:dTopt,-0.05,2.4339917979509273
axis:dTopt,0.0,2.3643166223999525
axis:dTopt,0.05,2.274074408213373
axis:dTopt,0.1,1.8685631445311808
axis:dTopt,0.15000000000000002,1.197554898087352
axis:dTopt,0.2,0.3209160578594741
axis:dTopt,0.25,-0.9410022551252353
axis:dTopt,0.30000000000000004,-2.509721334107324
axis:dTopt,0.35000000000000003,-4.339823315816634
axis:dTopt,0.4,-6.586648228052031
axis:dTopt,0.45,-9.2086344145637
axis:dTopt,0.5,-12.220516851634454
axis:dTopt,0.55,-15.573702918148069
axis:dTopt,0.6000000000000001,-18.85861467761399
axis:dTopt,0.65,-23.00553527477932
axis:dTopt,0.7000000000000001,-27.756056310272697
axis:dTopt,0.75,-33.34473602211436
axis:dTopt,0.8,-41.30192390547411
axis:dTopt,0.8500000000000001,-51.44882607531843
axis:dTopt,0.9,-64.49303309877246
axis:dTopt,0.9500000000000001,-74.74507786959921
axis:dTopt,1.0,-77.1929254044206
axis:topt_scale,-1.0,-8.558328448337777
axis:topt_scale,-0.9500000000000001,-7.8337761231681515
axis:topt_scale,-0.9,-7.349242181374899
axis:topt_scale,-0.8500000000000001,-6.975316633664808
axis:topt_scale,-0.8,-6.353528832363744
axis:topt_scale,-0.75,-5.268589184772766
axis:topt_scale,-0.7000000000000001,-5.238811764266782
axis:topt_scale,-0.65,-4.740192320731877
axis:topt_scale,-0.6000000000000001,-4.483110491763351
axis:topt_scale,-0.55,-5.750840816063698
axis:topt_scale,-0.5,-6.246187890329113
axis:topt_scale,-0.45,-7.003438246220814
axis:topt_scale,-0.4,-8.052371525573589
axis:topt_scale,-0.35000000000000003,-8.71918231922309
axis:topt_scale,-0.30000000000000004,-9.07168735137385
axis:topt_scale,-0.25,-9.533942435149719
axis:topt_scale,-0.2,-10.121744936441734
axis:topt_scale,-0.15000000000000002,2.1958225661375614
axis:topt_scale,-0.1,2.246178547337133
axis:topt_scale,-0.05,2.3517479201848523
axis:topt_scale,0.0,2.3643166223999525
axis:topt_scale,0.05,2.312866285711724
axis:topt_scale,0.1,2.104806469497003
axis:topt_scale,0.15000000000000002,1.844548532611201
axis:topt_scale,0.2,1.508185176052367
axis:topt_scale,0.25,1.1076296777544945
axis:topt_scale,0.30000000000000004,0.5906034461045451
axis:topt_scale,0.35000000000000003,-0.05701095107492149
axis:topt_scale,0.4,-5.195071913701689
axis:topt_scale,0.45,-6.365963243079622
axis:topt_scale,0.5,-7.733693650002507
axis:topt_scale,0.55,-9.344183017419901
axis:topt_scale,0.6000000000000001,-11.11092912603927
axis:topt_scale,0.65,-12.563088934893763
axis:topt_scale,0.7000000000000001,-13.619924304545115
axis:topt_scale,0.75,-14.910404691781064
axis:topt_scale,0.8,-16.5650636689589
axis:topt_scale,0.8500000000000001,-20.239618730422862
axis:topt_scale,0.9,-40.19252914341709
axis:topt_scale,0.9500000000000001,-43.71403388911448
axis:topt_scale,1.0,-46.81288974162299
axis:dCp_scale,-1.0,-27.23123371540008
axis:dCp_scale,-0.9500000000000001,-24.78529510203358
axis:dCp_scale,-0.9,-22.358213093003563
axis:dCp_scale,-0.8500000000000001,-19.617678322242398
axis:dCp_scale,-0.8,-17.112696345563997
axis:dCp_scale,-0.75,-14.767464267202376
axis:dCp_scale,-0.7000000000000001,-12.54043165160397
axis:dCp_scale,-0.65,-10.53178536373225
axis:dCp_scale,-0.6000000000000001,-8.757223761268854
axis:dCp_scale,-0.55,-7.1280857273553
axis:dCp_scale,-0.5,-5.45114835334211
axis:dCp_scale,-0.45,-4.211919198914897
axis:dCp_scale,-0.4,-3.4836332455879333
axis:dCp_scale,-0.35000000000000003,-2.887775555593005
axis:dCp_scale,-0.30000000000000004,-2.24109564312226
axis:dCp_scale,-0.25,-2.053467131214309
axis:dCp_scale,-0.2,-2.0371538241704092
axis:dCp_scale,-0.15000000000000002,-4.3441128998435925
axis:dCp_scale,-0.1,-7.913177911139393
axis:dCp_scale,-0.05,2.4297078378471095
axis:dCp_scale,0.0,2.3643166223999525
axis:dCp_scale,0.05,1.9887139344996605
axis:dCp_scale,0.1,1.172668465759291
axis:dCp_scale,0.15000000000000002,0.27899217336089777
axis:dCp_scale,0.2,-5.804982880153567
axis:dCp_scale,0.25,-8.176798876023607
axis:dCp_scale,0.30000000000000004,-10.458775397972564
axis:dCp_scale,0.35000000000000003,-11.525666410596688
axis:dCp_scale,0.4,-12.816465659203146
axis:dCp_scale,0.45,-26.693507560698908
axis:dCp_scale,0.5,-35.39464984113335
axis:dCp_scale,0.55,-44.928033279651615
axis:dCp_scale,0.6000000000000001,-23.78367499585943
axis:dCp_scale,0.65,-27.642538806827233
axis:dCp_scale,0.7000000000000001,-32.36527644649904
axis:dCp_scale,0.75,-14.432807237653368
axis:dCp_scale,0.8,-21.709045331201338
axis:dCp_scale,0.8500000000000001,-25.296680105522377
axis:dCp_scale,0.9,-57.00385832600661
axis:dCp_scale,0.9500000000000001,-128.77899075666525
axis:dCp_scale,1.0,-134.10755224888527
axis:dTm,-1.0,-28.062750123340507
axis:dTm,-0.9500000000000001,-25.815907419036023
axis:dTm,-0.9,-24.466200559957603
axis:dTm,-0.8500000000000001,-24.383372287879993
axis:dTm,-0.8,-23.06053401112482
axis:dTm,-0.75,-22.55925069185583
axis:dTm,-0.7000000000000001,-21.627264423844544
axis:dTm,-0.65,-19.53007306946985
axis:dTm,-0.6000000000000001,-17.50285873203036
axis:dTm,-0.55,-15.489928372525366
axis:dTm,-0.5,-13.91211835484588
axis:dTm,-0.45,-12.286142322271463
axis:dTm,-0.4,-10.595150611331304
axis:dTm,-0.35000000000000003,-8.835950436630348
axis:dTm,-0.30000000000000004,-6.92990196972891
axis:dTm,-0.25,-4.916553349941451
axis:dTm,-0.2,-2.9302892582708573
axis:dTm,-0.15000000000000002,-1.0828785900630553
axis:dTm,-0.1,0.053682957341909976
axis:dTm,-0.05,1.5150118129044197
axis:dTm,0.0,2.3643166223999525
axis:dTm,0.05,-0.8130551065789429
axis:dTm,0.1,-1.057959847339304
axis:dTm,0.15000000000000002,-1.2960192611944357
axis:dTm,0.2,-2.2414814393425626
axis:dTm,0.25,-3.9701498169192213
axis:dTm,0.30000000000000004,-5.310790064704415
axis:dTm,0.35000000000000003,-6.831376701446586
axis:dTm,0.4,-8.4948776597573
axis:dTm,0.45,-9.443731576269995
axis:dTm,0.5,-10.578830515006224
axis:dTm,0.55,-11.606954731751246
axis:dTm,0.6000000000000001,-12.624231668248669
axis:dTm,0.65,-13.546445223596008
axis:dTm,0.7000000000000001,-14.29777032647923
axis:dTm,0.75,-15.232024894258235
axis:dTm,0.8,-15.894486252983345
axis:dTm,0.8500000000000001,-16.490259888051554
axis:dTm,0.9,-17.019906414150213
axis:dTm,0.9500000000000001,-17.50329776787966
axis:dTm,1.0,-17.94961489170167
axis:tm_scale,-1.0,-8.689910192746199
axis:tm_scale,-0.9500000000000001,-8.214878754834379
axis:tm_scale,-0.9,-7.575560963236139
axis:tm_scale,-0.8500000000000001,-6.990201990661568
axis:tm_scale,-0.8,-6.34624880178204
axis:tm_scale,-0.75,-5.650161326235531
axis:tm_scale,-0.7000000000000001,-4.991277332777566
axis:tm_scale,-0.65,-4.420122632926014
axis:tm_scale,-0.6000000000000001,-3.8773284442747835
axis:tm_scale,-0.55,-3.209599225112856
axis:tm_scale,-0.5,-2.513357624869564
axis:tm_scale,-0.45,-1.954460936567528
axis:tm_scale,-0.4,-1.5279646853783386
axis:tm_scale,-0.35000000000000003,-1.229143291308667
axis:tm_scale,-0.30000000000000004,-1.0430300337832765
axis:tm_scale,-0.25,-1.0232779467722235
axis:tm_scale,-0.2,-1.128641964062345
axis:tm_scale,-0.15000000000000002,-0.6375825820375947
axis:tm_scale,-0.1,-0.8869782406842965
axis:tm_scale,-0.05,2.1657962743199644
axis:tm_scale,0.0,2.3643166223999525
axis:tm_scale,0.05,2.147014028870424
axis:tm_scale,0.1,1.687183321261775
axis:tm_scale,0.15000000000000002,1.0923044744949841
axis:tm_scale,0.2,0.48830510705103514
axis:tm_scale,0.25,-0.26790590910897594
axis:tm_scale,0.30000000000000004,-1.1697241411115504
axis:tm_scale,0.35000000000000003,-2.174103820197345
axis:tm_scale,0.4,-1.8081229784949708
axis:tm_scale,0.45,-2.58771620404774
axis:tm_scale,0.5,-3.4886608858763504
axis:tm_scale,0.55,-4.386876447967917
axis:tm_scale,0.6000000000000001,-5.285086091411177
axis:tm_scale,0.65,-6.241740116007895
axis:tm_scale,0.7000000000000001,-7.055730529915428
axis:tm_scale,0.75,-7.917293793592439
axis:tm_scale,0.8,-8.758637729735232
axis:tm_scale,0.8500000000000001,-9.638179471635242
axis:tm_scale,0.9,-10.522045285455837
axis:tm_scale,0.9500000000000001,-12.857140793991759
axis:tm_scale,1.0,-13.664243500309087
axis:kcat_scale,-1.0,-32.86852797481709
axis:kcat_scale,-0.9500000000000001,-29.698786950763168
axis:kcat_scale,-0.9,-26.675662294816362
axis:kcat_scale,-0.8500000000000001,-23.703517631467424
