line,n_finite,ll_at_map,ll_min,ll_max,range,sign_changes,max_jump,max_jump_frac,argmax_step,build_s,eval_s_mean
axis:dTopt,41,2.3643166223999525,-77.1929254044206,2.4339917979509273,79.62691720237153,3,13.044207023454028,0.1638165520122074,-0.05,3.0,0.473
axis:topt_scale,41,2.3643166223999525,-46.81288974162299,2.3643166223999525,49.17720636402294,3,19.95291041299423,0.4057349306363075,0.0,3.0,0.474
axis:dCp_scale,41,2.3643166223999525,-134.10755224888527,2.4297078378471095,136.53726008673237,7,71.77513243065864,0.525681651917323,-0.05,2.9,0.491
axis:dTm,41,2.3643166223999525,-28.062750123340507,2.3643166223999525,30.42706674574046,1,3.1773717289788954,0.10442583097247457,0.0,2.9,0.514
axis:tm_scale,41,2.3643166223999525,-13.664243500309087,2.3643166223999525,16.028560122709038,7,3.052774515004261,0.19045843741629248,0.0,3.0,0.486
axis:kcat_scale,41,2.3643166223999525,-32.86852797481709,2.514244467004255,35.382772441821345,3,12.637005389774519,0.35715136258904256,0.05,2.9,0.464
axis:kappa_scale,41,2.3643166223999525,2.3643166223999525,2.3643166223999525,0.0,0,0.0,,-1.0,3.0,0.442
axis:sigma,41,2.3643166223999525,-9.959978867833025,2.512341145701313,12.472320013534338,1,1.2427233191587224,0.09963850493013178,0.15000000000000002,2.9,0.477
axis:f_metab,41,2.3643166223999525,2.3643166223999525,2.3643166223999525,0.0,0,0.0,,-1.0,2.9,0.444
axis:f_maint,41,2.3643166223999525,-15.91846189444555,2.582718071842032,18.50117996628758,7,18.185576215281266,0.9829414258127643,-0.8500000000000001,3.0,0.476
axis:ngam_scale,41,2.3643166223999525,-18.98264214236477,2.4391843285833374,21.42182647094811,1,18.399728688079037,0.8589243645042319,-0.15000000000000002,3.0,0.469
axis:ngam_steepness,41,2.3643166223999525,1.9817111805407401,2.538540086927879,0.5568289063871388,1,0.03850460854800297,0.0691498018625355,-0.8,3.1,0.424
axis:clearance_mult,41,2.3643166223999525,-14.507541909327633,2.3742137592987973,16.881755668626433,6,16.714400160934606,0.9900866052692111,-0.15000000000000002,2.8,0.488
axis:resp_scale,41,2.3643166223999525,-12.029406189729361,2.9024659433411197,14.931872133070481,1,1.1848489106843374,0.07935032527235375,0.25,3.2,0.449
axis:disc_resp,41,2.3643166223999525,1.5846943517301777,2.364379012871848,0.7796846611416703,1,0.07551109897921782,0.09684825512489759,0.05,2.9,0.449
axis:disc_growth,41,2.3643166223999525,0.9762386196575901,2.3734531377846912,1.3972145181271012,1,0.12620950894929406,0.09032937126825151,-0.1,3.2,0.453
PC1,41,2.3643166223999525,-45.852950046958085,2.4938659736618503,48.34681602061993,1,18.461466787141504,0.38185486256773726,0.05,2.9,0.497
PC2,41,2.3643166223999525,-53.51151660683783,2.432818177819703,55.944334784657535,15,22.7918288200646,0.40740190955519506,-0.05,3.2,0.49
PC3,41,2.3643166223999525,-23.126569116486905,2.399671453517424,25.52624057000433,3,11.810243727769407,0.46267070528386095,0.05,2.9,0.489
random1,41,2.3643166223999525,-80.44433963998009,2.527272411295407,82.9716120512755,9,35.733315717939654,0.43066917508914826,-0.05,3.2,0.482
random2,41,2.3643166223999525,-22.11826717630847,2.4924525476040666,24.61071972391254,1,13.576582391051414,0.5516532041060134,0.05,2.9,0.49
random3,41,2.3643166223999525,-15.096653333856683,2.754877848085079,17.851531181941763,8,14.75354714932887,0.8264583580512831,-0.1,3.3,0.499
