line,step_from,step_to,T_C,status_from,status_to,growth_from,growth_to,o2_from,o2_to,alive_from,alive_to,growth_term_from,growth_term_to,d_growth_term,resp_term_from,resp_term_to,d_resp_term
axis:dCp_scale,0.9,0.9500000000000001,15.0,infeasible,infeasible,0.0,0.0,,,False,False,0.8696500923341469,0.8696500923341469,0.0,0.0,0.0,0.0
axis:dCp_scale,0.9,0.9500000000000001,20.0,infeasible,infeasible,0.0,0.0,,,False,False,-0.8664260037341254,-0.8664260037341254,0.0,0.0,0.0,0.0
axis:dCp_scale,0.9,0.9500000000000001,25.0,optimal,optimal,0.1267093345478165,0.11431487223114714,1.4962772852709998,0.3610812600866059,True,True,-5.257996487445409,-5.608127010723029,-0.3501305232776204,-37.01432567734784,-107.18620319786973,-70.17187752052189
axis:dCp_scale,0.9,0.9500000000000001,27.0,optimal,optimal,0.28058922674303605,0.2578485871542097,7.159712409386749,7.343978459840399,True,True,-4.672899902995601,-5.27957057241927,-0.6066706694236688,-4.050928339537485,-3.719286130964659,0.3316422085728261
axis:dCp_scale,0.9,0.9500000000000001,30.0,optimal,optimal,0.7275345611803873,0.6918475050397869,16.32650388683734,15.343973321640414,True,True,-1.3974806618700537,-1.9435870187957578,-0.5461063569257041,-0.16987894306752283,-0.4407484853370631,-0.2708695422695403
axis:dCp_scale,0.9,0.9500000000000001,35.0,optimal,optimal,1.4130915555654588,1.4036885167816298,27.52496593336674,27.055998691118326,True,True,0.4626124655932456,0.41245786117489514,-0.05015460441835046,-0.23189091793919983,-0.2529050273378485,-0.021014109398648645
axis:dCp_scale,0.9,0.9500000000000001,37.0,optimal,optimal,1.5314121322645935,1.526644462241906,31.306224142510555,31.074048472710082,True,True,-0.7099901398680953,-0.7536132147392932,-0.043623074871197876,0.10856576399943085,0.08643972002796163,-0.022126043971469223
axis:dCp_scale,0.9,0.9500000000000001,40.0,optimal,optimal,1.6340951019964445,1.6324843439550125,36.95449924925505,36.879872383933886,True,True,-2.1447228201220554,-2.1660864146382695,-0.021363594516214057,-0.010442130356810644,-0.007686970569264845,0.0027551597875457995
axis:dCp_scale,0.9,0.9500000000000001,43.0,optimal,optimal,1.607782106473886,1.6071320812026264,36.94362101048225,36.91088570776448,True,True,0.8123306153576942,0.8126109073401256,0.0002802919824314021,0.060528220247209386,0.056787033137845444,-0.0037411871093639415
axis:dCp_scale,0.9,0.9500000000000001,45.0,optimal,optimal,1.3940371199323331,1.392993557983968,44.77367946333383,44.73183121227691,True,True,-1.2481802870623822,-1.2409256599543552,0.007254627108026934,-0.48003843497654464,-0.4856344529630853,-0.005596017986540636
axis:dCp_scale,0.9,0.9500000000000001,47.0,optimal,optimal,0.32242389135875127,0.3186096207774726,19.460092393994046,19.401264725998075,True,True,0.5729039423564508,0.5503396551813808,-0.022564287175069975,-1.5213343296274364,-1.5446979813678805,-0.02336365174044408
axis:dCp_scale,0.9,0.9500000000000001,50.0,optimal,optimal,0.0010209401560487244,0.0010200808312760066,6.895533148162516,6.800520555648576,True,True,0.4402582541751917,0.44025683691136686,-1.417263824854409e-06,-0.5541726041194162,-0.5120347213593461,0.04213788276007002
random1,0.9500000000000001,1.0,15.0,infeasible,infeasible,0.0,0.0,,,False,False,0.834278846460838,0.8322814656493172,-0.001997380811520899,0.0,0.0,0.0
random1,0.9500000000000001,1.0,20.0,optimal,optimal,0.011546413504069408,0.008058240131378512,1.158508502214394,0.5425771184349888,True,True,-0.5191576424815507,-0.5563612331116892,-0.03720359063013845,-32.33842368345123,-66.56777061220096,-34.22934692874973
random1,0.9500000000000001,1.0,25.0,optimal,optimal,0.22648823516291194,0.21371357248568157,7.612717198652181,7.685506351351826,True,True,-2.3359448495322273,-2.559065893984759,-0.22312104445253178,-1.2472293520213165,-1.179019237551984,0.06821011446933256
random1,0.9500000000000001,1.0,27.0,optimal,optimal,0.41083390547085746,0.3929497147192901,10.042732053028896,9.709985682175843,True,True,-1.4809464727762505,-1.7598262484758804,-0.27887977569962996,-0.7984666599338147,-1.0739082432889409,-0.27544158335512614
random1,0.9500000000000001,1.0,30.0,optimal,optimal,0.847861083245055,0.822524771345481,19.391074419114283,19.069370376807285,True,True,0.06961948103636573,-0.1493681671842858,-0.21898764822065153,0.2988996532694695,0.26553244666422976,-0.03336720660523973
random1,0.9500000000000001,1.0,35.0,optimal,optimal,1.413476459083683,1.4058810576336687,27.9351531454339,27.865707705451907,True,True,0.45397793911754414,0.41649036558276187,-0.03748757353478227,-0.22411247636300013,-0.2276370833718191,-0.0035246070088189585
random1,0.9500000000000001,1.0,37.0,optimal,optimal,1.5131663747043176,1.5078768792858752,31.088202853074044,30.8677747608604,True,True,-0.8073017823867211,-0.8511389653967875,-0.04383718301006634,0.05192057768727104,0.025338542101997208,-0.026582035585273833
