view,walker,acceptance,frozen_runs_ge50,longest_constant_run
128w (P7) 250-1500,0,0.22898318654923938,0,30
128w (P7) 250-1500,1,0.2153722978382706,0,39
128w (P7) 250-1500,2,0.1633306645316253,0,29
128w (P7) 250-1500,3,0.1745396317053643,0,47
128w (P7) 250-1500,4,0.14571657325860687,2,74
128w (P7) 250-1500,5,0.1521216973578863,0,34
128w (P7) 250-1500,6,0.10488390712570056,0,39
128w (P7) 250-1500,7,0.188951160928743,0,33
128w (P7) 250-1500,8,0.19055244195356286,1,57
128w (P7) 250-1500,9,0.2201761409127302,0,34
128w (P7) 250-1500,10,0.20176140912730184,0,41
128w (P7) 250-1500,11,0.188951160928743,0,30
128w (P7) 250-1500,12,0.11369095276220977,0,43
128w (P7) 250-1500,13,0.2033626901521217,0,28
128w (P7) 250-1500,14,0.12810248198558846,2,66
128w (P7) 250-1500,15,0.19135308246597277,0,35
128w (P7) 250-1500,16,0.23138510808646917,0,16
128w (P7) 250-1500,17,0.0976781425140112,1,53
128w (P7) 250-1500,18,0.17854283426741394,0,35
128w (P7) 250-1500,19,0.19295436349079265,1,62
128w (P7) 250-1500,20,0.24179343474779824,0,26
128w (P7) 250-1500,21,0.17614091273018415,0,39
128w (P7) 250-1500,22,0.20816653322658127,0,24
128w (P7) 250-1500,23,0.22497998398718974,0,30
128w (P7) 250-1500,24,0.16573258606885508,2,94
128w (P7) 250-1500,25,0.15292233787029624,0,24
128w (P7) 250-1500,26,0.18254603682946358,0,44
128w (P7) 250-1500,27,0.1753402722177742,0,41
128w (P7) 250-1500,28,0.22818254603682947,0,18
128w (P7) 250-1500,29,0.16413130504403523,1,74
128w (P7) 250-1500,30,0.17854283426741394,0,45
128w (P7) 250-1500,31,0.11289031224979984,2,54
128w (P7) 250-1500,32,0.22658126501200962,0,30
128w (P7) 250-1500,33,0.1545236188951161,0,43
128w (P7) 250-1500,34,0.19295436349079265,0,26
128w (P7) 250-1500,35,0.23058446757405926,0,40
128w (P7) 250-1500,36,0.19855884707766214,0,29
128w (P7) 250-1500,37,0.18815052041633307,1,60
128w (P7) 250-1500,38,0.24179343474779824,0,26
128w (P7) 250-1500,39,0.21136909527622097,0,36
128w (P7) 250-1500,40,0.16493194555644516,0,46
128w (P7) 250-1500,41,0.11529223378702963,2,51
128w (P7) 250-1500,42,0.0976781425140112,2,67
128w (P7) 250-1500,43,0.16092874299439552,1,51
128w (P7) 250-1500,44,0.10408326661329063,1,53
128w (P7) 250-1500,45,0.09127301841473179,3,84
128w (P7) 250-1500,46,0.17934347477982385,0,42
128w (P7) 250-1500,47,0.15052041633306645,0,43
128w (P7) 250-1500,48,0.1921537229783827,0,30
128w (P7) 250-1500,49,0.14571657325860687,0,47
128w (P7) 250-1500,50,0.20976781425140112,0,22
128w (P7) 250-1500,51,0.20656525220176142,0,31
128w (P7) 250-1500,52,0.20416333066453163,0,35
