config,medium,against,n,slope,ci_lo,ci_hi,p,r2,intercept
D,NLDM,temperature,12,0.02678873960003704,0.012146229632092243,0.04143124956798184,0.002227114446226544,0.6243031690120919,-0.9824222389885704
D,NLDM,growth rate,12,0.3306354645482927,0.022860484496564026,0.6384104446000214,0.03772348356864872,0.36425189694144694,-0.3686833371879401
D,LB,temperature,12,0.009418472196709481,-0.0027578597207377504,0.021594804114156714,0.11552290723009076,0.22901275045981473,-0.27313872400268446
D,LB,growth rate,12,0.03175000071579781,-0.1064623951231711,0.16996239655476672,0.6198715168904061,0.02552975080705535,0.002029214012363695
E,NLDM,temperature,12,-0.010494428717784944,-0.035680498542797826,0.014691641107227938,0.3750602304403512,0.079354866049807,0.2915845793643138
E,NLDM,growth rate,12,-0.08362384437741549,-0.503650313054212,0.3364026242993811,0.6667726427553755,0.019298706063929524,0.008051074026554292
E,LB,temperature,12,0.015402774370491002,-0.0008470476438188334,0.031652596384800835,0.06083780073319469,0.3084617901406437,-0.643578776714333
E,LB,growth rate,12,0.08476363370649923,-0.10327169286671536,0.27279896027971384,0.3388643959603247,0.09163955126177166,-0.24505333157865158
F,NLDM,temperature,12,-0.010256868827494797,-0.024855966642256457,0.004342228987266864,0.14855210771710764,0.19682208470311138,0.3301080676372198
F,NLDM,growth rate,12,0.039717194382030904,-0.22200807065694061,0.30144245942100245,0.7422615241429467,0.011303510018089429,-0.06104906275101343
F,LB,temperature,12,0.0013696131317329824,-0.01349670828880384,0.016235934552269803,0.8414753780765714,0.004196112336390376,0.025783702378424776
F,LB,growth rate,12,0.007220682662205075,-0.14310661470610722,0.15754798003051737,0.9168863546245869,0.0011441109859642402,0.0617166563818292
