config,medium,T_C,n,o2_meas,o2_sd,o2_pred,growth_meas,resid
D,NLDM,15.0,5,2.068027832444964e-12,4.637728295440976e-13,4.007762354467818e-12,0.0936701453894738,-0.6616376540425168
D,NLDM,20.0,5,3.687783038619309e-12,2.0973271942803648e-13,7.986589454783476e-12,0.2559843718759313,-0.7727383419782713
D,NLDM,25.0,5,6.290748964292866e-12,5.464724331083783e-13,7.854997109111493e-12,0.5854109831137138,-0.22206976782744442
D,NLDM,27.0,5,7.761786011690096e-12,4.778879343291645e-13,9.670084361701621e-12,0.7256015042847492,-0.21982456963253622
D,NLDM,30.0,5,1.1774686139255335e-11,1.8327353945704926e-12,1.2383078739277037e-11,1.0547952292033644,-0.050378938165034866
D,NLDM,35.0,5,1.87365834111843e-11,7.136916329105289e-12,1.573441679104766e-11,1.563216021759888,0.1746274794936507
D,NLDM,37.0,5,2.083376177433536e-11,3.08844360682003e-12,1.6582173466868467e-11,1.8531738839033693,0.22824660223679943
D,NLDM,40.0,5,1.6808627360992622e-11,4.737944351356016e-12,1.7340650006027263e-11,2.076066941043892,-0.031161168591393482
D,NLDM,43.0,5,2.5140293981123656e-11,1.8964417205209973e-12,1.7092899439338018e-11,1.594020791720448,0.3858087570455689
D,NLDM,45.0,5,3.392723037900915e-11,2.9824297162819425e-12,2.0588301494268364e-11,0.9149168471635901,0.4994949221089477
D,NLDM,47.0,5,1.7552999132147447e-11,2.345318217930097e-12,1.830909883685372e-11,0.45703721797751323,-0.04217331444960915
D,NLDM,50.0,5,2.469563996837463e-12,7.231911527853437e-13,2.43699152062455e-12,0.09432067438045605,0.01327732035432962
D,LB,15.0,5,2.9102284066911998e-12,1.4596941633655794e-13,2.730982361619413e-12,0.12598926611773,0.06357018448386965
D,LB,20.0,5,5.2822898786480115e-12,3.710246552891857e-13,5.566645446658945e-12,0.32423734855479724,-0.05243292592980079
D,LB,25.0,5,8.408411833713785e-12,2.6097413354839348e-12,6.811250820155679e-12,0.7495633412932566,0.2106568362223616
D,LB,27.0,5,1.10431214661639e-11,1.2728096772639939e-12,1.4400707142932756e-11,0.9460131745903766,-0.2654695701388892
D,LB,30.0,5,1.4402565248748386e-11,1.647451843176759e-12,1.6933715688465796e-11,1.3764282695733139,-0.16190031269821153
D,LB,35.0,5,2.084782910496483e-11,2.620959434582807e-12,2.606418485741784e-11,2.156356253485467,-0.22331232111887822
D,LB,37.0,5,2.5495713730772023e-11,3.1129523997910813e-12,2.814433539082825e-11,2.3982825310109592,-0.09883575583434576
D,LB,40.0,3,2.9056131805692632e-11,4.4982517050863355e-12,2.954432597117759e-11,2.9444263687022385,-0.016662172230408664
D,LB,43.0,4,4.380734298331729e-11,1.2356084129781626e-11,3.0225472246957246e-11,2.945052660494766,0.3711164305908134
D,LB,45.0,5,4.21291099838236e-11,6.551592617271574e-12,3.0099101061637075e-11,2.9145906842863942,0.33624364404783613
D,LB,47.0,5,4.110959895751494e-11,4.745826687910962e-12,3.30955768177831e-11,1.7959246222520786,0.21684200294014136
D,LB,50.0,5,2.5187652612206e-11,2.55654232949811e-12,1.9778334820939544e-11,0.13359909515543875,0.2417667610710239
E,NLDM,15.0,5,2.068027832444964e-12,4.637728295440976e-13,1.2079393352090112e-12,0.0936701453894738,0.5376795361309503
E,NLDM,20.0,5,3.687783038619309e-12,2.0973271942803648e-13,2.7810272194746584e-12,0.2559843718759313,0.28220511209495014
E,NLDM,25.0,5,6.290748964292866e-12,5.464724331083783e-13,8.384155102866501e-12,0.5854109831137138,-0.28726349142393254
E,NLDM,27.0,5,7.761786011690096e-12,4.778879343291645e-13,1.1602969376493365e-11,0.7256015042847492,-0.4020485822281321
E,NLDM,30.0,5,1.1774686139255335e-11,1.8327353945704926e-12,1.6181293238531727e-11,1.0547952292033644,-0.31790385194513754
E,NLDM,35.0,5,1.87365834111843e-11,7.136916329105289e-12,2.1486678909065344e-11,1.563216021759888,-0.1369552126024352
E,NLDM,37.0,5,2.083376177433536e-11,3.08844360682003e-12,2.277059408625147e-11,1.8531738839033693,-0.08889513744887258
E,NLDM,40.0,5,1.6808627360992622e-11,4.737944351356016e-12,2.3891640182978298e-11,2.076066941043892,-0.351636326621607
E,NLDM,43.0,5,2.5140293981123656e-11,1.8964417205209973e-12,2.4278582612395995e-11,1.594020791720448,0.034877309121007706
E,NLDM,45.0,5,3.392723037900915e-11,2.9824297162819425e-12,2.0795526451992225e-11,0.9149168471635901,0.4894800588149124
E,NLDM,47.0,5,1.7552999132147447e-11,2.345318217930097e-12,1.3277487503294095e-11,0.45703721797751323,0.27915489391259046
E,NLDM,50.0,5,2.469563996837463e-12,7.231911527853437e-13,5.97996347542232e-12,0.09432067438045605,-0.8843728445954955
E,LB,15.0,5,2.9102284066911998e-12,1.4596941633655794e-13,3.3832095849484736e-12,0.12598926611773,-0.15059327189838367
E,LB,20.0,5,5.2822898786480115e-12,3.710246552891857e-13,6.239632846500671e-12,0.32423734855479724,-0.16656164910835802
E,LB,25.0,5,8.408411833713785e-12,2.6097413354839348e-12,2.1417595898706064e-11,0.7495633412932566,-0.9349802088829632
E,LB,27.0,5,1.10431214661639e-11,1.2728096772639939e-12,1.2874747524076698e-11,0.9460131745903766,-0.1534600941916177
E,LB,30.0,5,1.4402565248748386e-11,1.647451843176759e-12,1.4337418126052591e-11,1.3764282695733139,0.004533561027357036
E,LB,35.0,5,2.084782910496483e-11,2.620959434582807e-12,2.5686407560171407e-11,2.156356253485467,-0.2087121401228969
E,LB,37.0,5,2.5495713730772023e-11,3.1129523997910813e-12,3.0386378850849514e-11,2.3982825310109592,-0.17548409483815197
E,LB,40.0,3,2.9056131805692632e-11,4.4982517050863355e-12,3.687297717356753e-11,2.9444263687022385,-0.2382494181724932
E,LB,43.0,4,4.380734298331729e-11,1.2356084129781626e-11,3.7639822532211864e-11,2.945052660494766,0.1517388515180812
E,LB,45.0,5,4.21291099838236e-11,6.551592617271574e-12,3.3051108389361965e-11,2.9145906842863942,0.2426838478162779
E,LB,47.0,5,4.110959895751494e-11,4.745826687910962e-12,3.3816820797147267e-11,1.7959246222520786,0.19528331009180172
E,LB,50.0,5,2.5187652612206e-11,2.55654232949811e-12,2.3074989449475616e-11,0.13359909515543875,0.08760457557262621
F,NLDM,15.0,5,2.068027832444964e-12,4.637728295440976e-13,1.3366763364859154e-12,0.0936701453894738,0.4364092282817684
F,NLDM,20.0,5,3.687783038619309e-12,2.0973271942803648e-13,3.440164307850651e-12,0.2559843718759313,0.069506240801353
F,NLDM,25.0,5,6.290748964292866e-12,5.464724331083783e-13,7.379114082540428e-12,0.5854109831137138,-0.15957345254200392
F,NLDM,27.0,5,7.761786011690096e-12,4.778879343291645e-13,9.392374926644318e-12,0.7256015042847492,-0.19068571821758393
F,NLDM,30.0,5,1.1774686139255335e-11,1.8327353945704926e-12,1.2595747709826292e-11,1.0547952292033644,-0.06740728894306838
F,NLDM,35.0,5,1.87365834111843e-11,7.136916329105289e-12,1.785497328559107e-11,1.563216021759888,0.04819586002497058
F,NLDM,37.0,5,2.083376177433536e-11,3.08844360682003e-12,1.8792854508612372e-11,1.8531738839033693,0.10309811477256434
F,NLDM,40.0,5,1.6808627360992622e-11,4.737944351356016e-12,1.935600414317303e-11,2.076066941043892,-0.1411103749936623
F,NLDM,43.0,5,2.5140293981123656e-11,1.8964417205209973e-12,2.305758378183918e-11,1.594020791720448,0.08647716712783714
F,NLDM,45.0,5,3.392723037900915e-11,2.9824297162819425e-12,3.018475534761475e-11,0.9149168471635901,0.11688094084944071
F,NLDM,47.0,5,1.7552999132147447e-11,2.345318217930097e-12,1.6495876834418067e-11,0.45703721797751323,0.062114365176398054
F,NLDM,50.0,5,2.469563996837463e-12,7.231911527853437e-13,4.7255954814912625e-12,0.09432067438045605,-0.6489519652742226
F,LB,15.0,5,2.9102284066911998e-12,1.4596941633655794e-13,1.980449631402529e-12,0.12598926611773,0.3849076628819649
F,LB,20.0,5,5.2822898786480115e-12,3.710246552891857e-13,4.6100870222438416e-12,0.32423734855479724,0.13611295916722474
F,LB,25.0,5,8.408411833713785e-12,2.6097413354839348e-12,9.533325035182375e-12,0.7495633412932566,-0.12556094517245941
F,LB,27.0,5,1.10431214661639e-11,1.2728096772639939e-12,1.7408489310752257e-11,0.9460131745903766,-0.45515023627724766
F,LB,30.0,5,1.4402565248748386e-11,1.647451843176759e-12,1.0938810162851924e-11,1.3764282695733139,0.2750893021628827
F,LB,35.0,5,2.084782910496483e-11,2.620959434582807e-12,2.0529666617076818e-11,2.156356253485467,0.015378831076530647
F,LB,37.0,5,2.5495713730772023e-11,3.1129523997910813e-12,2.6701370829290626e-11,2.3982825310109592,-0.04620455696273906
F,LB,40.0,3,2.9056131805692632e-11,4.4982517050863355e-12,3.291424445054935e-11,2.9444263687022385,-0.12467598742029595
F,LB,43.0,4,4.380734298331729e-11,1.2356084129781626e-11,3.345321667224305e-11,2.945052660494766,0.2696535058064588
F,LB,45.0,5,4.21291099838236e-11,6.551592617271574e-12,3.2181220943575477e-11,2.9145906842863942,0.26935586838208725
F,LB,47.0,5,4.110959895751494e-11,4.745826687910962e-12,3.3244952432664854e-11,1.7959246222520786,0.21233869646938136
F,LB,50.0,5,2.5187652612206e-11,2.55654232949811e-12,2.3598301374140573e-11,0.13359909515543875,0.06517916496476367
