medium,T_C,CUE_table,CUE_config
LB,15.0,0.40217377054188896,0.8024797409177648
LB,20.0,0.4886798511317595,0.8526204156354703
LB,25.0,0.5876785176962741,0.8942408047295786
LB,27.0,0.5720301691388517,0.8897240697080159
LB,30.0,0.5986728227217959,0.9000760686752847
LB,35.0,0.6176776173186319,0.9069973026533209
LB,37.0,0.5949330567274889,0.8985980257813025
LB,40.0,0.6128983966273138,0.9051184138675961
LB,43.0,0.5189887215118467,0.8646183087197531
LB,45.0,0.5202288277963895,0.8668044199182898
LB,47.0,0.40570849049117436,0.8044351075820357
LB,50.0,0.07223402618472996,0.24109108029855336
NLDM,15.0,0.41867643806140603,0.8106455525061949
NLDM,20.0,0.5192155642873193,0.867307793295884
NLDM,25.0,0.5917745529380246,0.8975947662753366
NLDM,27.0,0.5924925088111535,0.8980064861015864
NLDM,30.0,0.5829383057112834,0.8931521258679919
NLDM,35.0,0.5742494172986194,0.8865464566048606
NLDM,37.0,0.5812583371272271,0.8930055859533045
NLDM,40.0,0.6635018731356873,0.9215261282574204
NLDM,43.0,0.4963213868051132,0.8560494760923302
NLDM,45.0,0.2944556363371933,0.7100212690138583
NLDM,47.0,0.29023218294074543,0.7057149854459153
NLDM,50.0,0.1569634400693261,0.2800298583240857
