label,saved_logl,f_metab_saved,old,old_fm_0.15,old_fm_0.28,old_fm_0.45,removal,max_abs_diff,vs_saved,status
D44:baseline_start,-17.972547016139384,0.2994418428949389,-17.972547016139384,-17.972547016144528,-17.972547016147125,-17.97254701613435,-17.972547016139828,1.2775558388966601e-11,0.0,OK
D44:dTopt_minus_0.02,-17.954337363063953,0.2994418428949389,-17.954337363226422,-17.954337363483297,-17.9543373632784,-17.954337363049266,-17.95433736292127,5.620286458452028e-10,1.624691492452257e-10,OK
D44:dTopt_plus_0.02,-17.992567854144635,0.2994418428949389,-17.992567854138287,-17.992567854147126,-17.99256785414122,-17.99256785414316,-17.992567854142905,8.839151632855646e-12,6.348699344016495e-12,OK
D44:dTopt_minus_0.04,-17.9368971356722,0.2994418428949389,-17.93689713580249,-17.936897135620512,-17.936897135897897,-17.936897135764784,-17.93689713556864,3.292583983238728e-10,1.3028866874265077e-10,OK
D44:dTopt_plus_0.04,-18.01395872488564,0.2994418428949389,-18.013958724907457,-18.01395872490347,-18.013958724901855,-18.013958724905883,-18.013958724904,5.60262947146839e-12,2.1817214701513876e-11,OK
D44:topt_scale_minus_0.02,-17.953799276216955,0.2994418428949389,-17.95379927620617,-17.953799276205473,-17.953799276199813,-17.953799276208308,-17.953799276207164,8.494538406011998e-12,1.0786038728838321e-11,OK
D44:topt_scale_plus_0.02,-17.99274226463178,0.2994418428949389,-17.99274226462619,-17.992742264635012,-17.992742264633385,-17.992742264641095,-17.992742264639155,1.49036338825681e-11,5.588418616753188e-12,OK
D44:topt_scale_minus_0.04,-17.95836415884591,0.2994418428949389,-17.95836415882852,-17.958364158857112,-17.95836415885254,-17.95836415883681,-17.958364158849882,2.859223968698643e-11,1.7390533457728452e-11,OK
D44:topt_scale_plus_0.04,-18.080482867692645,0.2994418428949389,-18.080482867944404,-18.080482866973103,-18.080482866230636,-18.080482867754377,-18.08048286805392,1.8232846343835263e-09,2.517595021345187e-10,OK
D44:dCp_scale_minus_0.02,-18.008383917411866,0.2994418428949389,-18.00838391741726,-18.008383917405187,-18.008383917417703,-18.00838391740161,-18.008383917408732,1.609379296496627e-11,5.3930193644191604e-12,OK
D44:dCp_scale_plus_0.02,-17.969281099906055,0.2994418428949389,-17.96928109993136,-17.9692810998657,-17.969281100017746,-17.96928109983651,-17.96928109981728,2.0046542203999707e-10,2.5305979534095968e-11,OK
D44:dCp_scale_minus_0.04,-18.021659082487822,0.2994418428949389,-18.02165908248609,-18.021659082490746,-18.021659082487865,-18.021659082490196,-18.021659082490068,4.657607632907457e-12,1.7337242752546445e-12,OK
D44:dCp_scale_plus_0.04,-18.0146382923871,0.2994418428949389,-18.014638292360402,-18.014638292414624,-18.014638292363134,-18.01463829232792,-18.0146382923571,8.670397733112623e-11,2.6698643296185764e-11,OK
D44:tm_scale_minus_0.02,-17.987710712453566,0.2994418428949389,-17.98771071244297,-17.987710712443665,-17.987710712443253,-17.987710712451413,-17.987710712456895,1.3926637620897964e-11,1.0597744903861894e-11,OK
D44:tm_scale_plus_0.02,-17.958711722745377,0.2994418428949389,-17.958711723106475,-17.958711722408925,-17.95871172317838,-17.958711722810165,-17.95871172301867,7.694538339819701e-10,3.610978183132829e-10,OK
D44:tm_scale_minus_0.04,-18.00289366641997,0.2994418428949389,-18.002893666411246,-18.002893666408042,-18.002893666408987,-18.002893666416526,-18.002893666415524,8.483880264975596e-12,8.72191208145523e-12,OK
D44:tm_scale_plus_0.04,-17.9444623294775,0.2994418428949389,-17.94446232960269,-17.94446232937519,-17.944462329507253,-17.944462329304333,-17.944462329415288,2.9835689474566607e-10,1.2519052461357205e-10,OK
D44:kcat_scale_minus_0.02,-18.01316742110562,0.2994418428949389,-18.013167421120166,-18.01316742112415,-18.01316742110623,-18.013167421130696,-18.013167421120976,2.446753910589905e-11,1.454480980100925e-11,OK
D44:kcat_scale_plus_0.02,-17.93850133720593,0.2994418428949389,-17.938501337209367,-17.938501337209452,-17.93850133720159,-17.938501337214664,-17.93850133719547,1.9195312006559107e-11,3.4354741274000844e-12,OK
D44:kcat_scale_minus_0.04,-18.066982036631494,0.2994418428949389,-18.06698203666556,-18.066982036646372,-18.066982036676198,-18.06698203665756,-18.066982036659624,2.9825031333530205e-11,3.4066971466018003e-11,OK
D44:kcat_scale_plus_0.04,-17.914602962425498,0.2994418428949389,-17.914602962430568,-17.91460296242637,-17.914602962412435,-17.9146029624306,-17.914602962432056,1.9621637648015167e-11,5.069722419648315e-12,OK
D44:kappa_scale_minus_0.02,-17.972547016144894,0.2994418428949389,-17.972547016139877,-17.972547016140304,-17.972547016140172,-17.972547016154213,-17.972547016139675,1.453770437365165e-11,5.016431714466307e-12,OK
D44:kappa_scale_plus_0.02,-17.972547016145274,0.2994418428949389,-17.972547016156785,-17.97254701614633,-17.972547016148585,-17.972547016144844,-17.972547016120696,3.608846554925549e-11,1.1510792319313623e-11,OK
