point,axis,k_0p02,k_0p04,rel_diff,per_datum_reconciles,top_datum,top_share,top3,clip_moves_T,topt_moves_T,tm_moves_T,status_moves_T,scored_moves_T,carrying_interval,carrying_datum,carrying_excess,moves_at_carrying_T,o2_at_carrying_T,growth_at_carrying_T,carrying_side,refinement,refinement_plus,ratios_plus,refinement_minus,ratios_minus,ratios,refine_deltas_plus,refine_deltas_minus,classification,provenance
D44,dTopt,4.527962308547018,3.6011426892801346,0.20468801551581184,False,resp@50C,1.3131706722426426,resp@50C:+1.217;resp@45C:-0.211;resp@27C:-0.048,,35;37;40;43,,,,+0.02->+0.04,resp@50C,-0.00047365869399851324,none,15.5354;15.5423;15.5483;15.5909;15.6336,0.24546;0.24667;0.24787;0.24908;0.25029,plus,SMOOTH,SMOOTH,0.483;0.492;0.497,SMOOTH,0.511;0.528;0.503,0.483;0.492;0.497,-0.04141;-0.02002;-0.00984;-0.00489,+0.03565;+0.01821;+0.00961;+0.00483,"SUPPORTED_BY_PHYSIOLOGY(smooth,non-quadratic)",
D44,topt_scale,3.618771365569984,58.59562085703151,0.9382416072627767,True,resp@27C,0.8403808277085824,resp@27C:-46.201;resp@25C:-8.280;resp@50C:-0.469,45,35;37;40;43,,,,+0.02->+0.04,resp@27C,-0.07392301556060699,none,15.6361;15.6592;15.6827;15.7063;11.0906,0.73292;0.72942;0.72591;0.72238;0.71904,plus,AMBIGUOUS,AMBIGUOUS,0.187;0.491;0.496,JUMP,1.322;0.512;0.504,0.187;0.491;0.496,-0.10794;-0.02020;-0.00991;-0.00492,+0.01418;+0.01875;+0.00960;+0.00484,UNDETERMINED(no traced mechanism moves at the carrying T; untraced basis change is the candidate),
D44,dCp_scale,81.42746258947398,57.00208910135007,0.29996481176464096,True,resp@25C,1.9738053569830067,resp@25C:+48.211;resp@27C:-30.695;resp@50C:+3.802,,,,,,+0.02->+0.04,resp@27C,-0.0645578988105947,none,15.6327;15.6571;15.6827;15.0206;11.0955,0.73346;0.72974;0.72591;0.72196;0.71834,plus,JUMP,JUMP,0.078;1.281;0.707,AMBIGUOUS,0.730;0.172;0.492,0.078;1.281;0.707,-0.04209;+0.00327;+0.00418;+0.00296,-0.04911;-0.03584;-0.00615;-0.00303,UNDETERMINED(no traced mechanism moves at the carrying T; untraced basis change is the candidate),
D44,tm_scale,3.3210080919854335,1.4137271850955813,0.5743078168019766,True,resp@50C,1.3660077890090783,resp@50C:+2.605;resp@45C:-0.775;growth@43C:+0.125,50,,47;50,,,+0.00->+0.02,resp@50C,-0.0013051326779212058,none,15.7866;15.6675;15.5483;15.4881;15.3876,0.25464;0.25126;0.24787;0.24448;0.24109,plus,SMOOTH,SMOOTH,0.493;0.562;0.483,SMOOTH,0.500;0.497;0.495,0.493;0.562;0.483,+0.02808;+0.01384;+0.00778;+0.00375,-0.03035;-0.01516;-0.00753;-0.00373,"SUPPORTED_BY_PHYSIOLOGY(smooth,non-quadratic)",
D44,kcat_scale,16.436815063469723,22.806854246966157,0.279303717843674,True,resp@27C,0.6415387974870707,resp@27C:-4.087;growth@40C:-2.211;resp@35C:+1.397,,,,,,-0.04->-0.02,resp@27C,0.00654512229942672,none,15.0206;15.7181;15.6827;15.6470;15.6113,0.71539;0.72065;0.72591;0.73119;0.73650,minus,SMOOTH,SMOOTH,0.588;0.522;0.514,SMOOTH,0.430;0.478;0.484,0.430;0.478;0.484,+0.05794;+0.03405;+0.01776;+0.00914,-0.09444;-0.04062;-0.01942;-0.00941,"SUPPORTED_BY_PHYSIOLOGY(smooth,non-quadratic)",
D44,sigma,-2.418023093015975,-19.30435688486387,0.8747421057620471,True,growth@30C,0.6850418373219848,growth@30C:+11.568;resp@35C:+3.446;resp@43C:+2.140,,,,,,-0.04->-0.02,growth@30C,-0.019679153149771478,none,22.6586;22.7443;22.7462;22.7462;22.7462,1.16063;1.16806;1.16823;1.16823;1.16823,minus,SMOOTH,SMOOTH,0.494;0.506;0.497,SMOOTH,0.536;0.504;0.499,0.536;0.504;0.499,+0.37400;+0.18491;+0.09348;+0.04646,-0.34311;-0.18394;-0.09272;-0.04627,"SUPPORTED_BY_PHYSIOLOGY(smooth,non-quadratic)",
D44,clearance_mult,2.4541275943779084,2.733243186421319,0.10211882844162924,True,resp@35C,0.5872623077032892,resp@35C:-0.164;growth@37C:-0.048;growth@35C:-0.028,,,,,,-0.04->-0.02,resp@45C,0.001577247327184117,none,22.5473;22.5828;22.5765;22.5472;22.5128,1.10539;1.10648;1.10757;1.10864;1.10970,minus,SMOOTH,SMOOTH,0.509;0.508;0.510,SMOOTH,0.477;0.471;0.509,0.477;0.471;0.509,+0.03430;+0.01746;+0.00887;+0.00452,-0.03867;-0.01844;-0.00868;-0.00442,"SUPPORTED_BY_PHYSIOLOGY(smooth,non-quadratic)",
p38,dTopt,-3931.56532531373,-978.3101264812499,0.7511652368632122,True,resp@15C,1.0004806211898436,resp@15C:-2954.675;growth@30C:+1.210;resp@30C:+0.736,,37;40;43;45;47,,15,15,+0.00->+0.02,resp@15C,1.5704167748222355,status;scored,nan;nan;1.5047;nan;nan,nan;nan;0.00010;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),P12 task2c_converged.csv key p38(b22)
p38,topt_scale,-3932.7956647112746,-977.9829955368501,0.7513262628129325,True,resp@15C,0.9999426414328297,resp@15C:-2954.643;growth@15C:-1.158;resp@30C:+0.730,43,37;40;43;45;47;50,,15,15,+0.00->+0.02,resp@15C,1.570403955380523,status;scored,nan;nan;1.5047;nan;nan,nan;nan;0.00010;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),P12 task2c_converged.csv key p38(b22)
p38,dCp_scale,0.3304803025727665,-985.1168534174403,1.0003354731993737,False,resp@15C,0.9994912326330998,resp@15C:+984.946;growth@15C:+0.505;growth@27C:-0.004,,,,15,15,+0.02->+0.04,resp@15C,1.5759098374279679,status;scored,nan;nan;1.5047;nan;nan,nan;nan;0.00010;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),P12 task2c_converged.csv key p38(b22)
p38,tm_scale,-2.5540001309742877,-2.884568181524827,0.1145987994555899,True,resp@50C,0.9360635510998405,resp@50C:+0.309;growth@47C:+0.035;resp@45C:-0.015,50,,47;50,,,+0.02->+0.04,growth@47C,0.002145648524145116,past_Tm,nan;nan;38.6494;nan;nan,nan;nan;1.60812;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),P12 task2c_converged.csv key p38(b22)
