label,t1_n_structural_zero,expected,ll_old,ll_new,verdict,diff
D44:baseline_start,1,NEG_INF,-17.972547016139384,-inf,OK,
D44:dTopt_minus_0.02,1,NEG_INF,-17.954337363226422,-inf,OK,
D44:dTopt_plus_0.02,1,NEG_INF,-17.992567854138287,-inf,OK,
D44:dTopt_minus_0.04,1,NEG_INF,-17.93689713580249,-inf,OK,
D44:dTopt_plus_0.04,1,NEG_INF,-18.013958724907457,-inf,OK,
D44:topt_scale_minus_0.02,1,NEG_INF,-17.95379927620617,-inf,OK,
D44:topt_scale_plus_0.02,1,NEG_INF,-17.99274226462619,-inf,OK,
D44:topt_scale_minus_0.04,1,NEG_INF,-17.95836415882852,-inf,OK,
D44:topt_scale_plus_0.04,1,NEG_INF,-18.080482867944404,-inf,OK,
D44:dCp_scale_minus_0.02,1,NEG_INF,-18.00838391741726,-inf,OK,
D44:dCp_scale_plus_0.02,1,NEG_INF,-17.96928109993136,-inf,OK,
D44:dCp_scale_minus_0.04,1,NEG_INF,-18.02165908248609,-inf,OK,
D44:dCp_scale_plus_0.04,1,NEG_INF,-18.0146382923604,-inf,OK,
D44:tm_scale_minus_0.02,1,NEG_INF,-17.98771071244297,-inf,OK,
D44:tm_scale_plus_0.02,1,NEG_INF,-17.958711723106475,-inf,OK,
D44:tm_scale_minus_0.04,1,NEG_INF,-18.002893666411246,-inf,OK,
D44:tm_scale_plus_0.04,1,NEG_INF,-17.94446232960269,-inf,OK,
D44:kcat_scale_minus_0.02,1,NEG_INF,-18.013167421120166,-inf,OK,
D44:kcat_scale_plus_0.02,1,NEG_INF,-17.938501337209367,-inf,OK,
D44:kcat_scale_minus_0.04,1,NEG_INF,-18.06698203666556,-inf,OK,
D44:kcat_scale_plus_0.04,1,NEG_INF,-17.914602962430568,-inf,OK,
D44:kappa_scale_minus_0.02,1,NEG_INF,-17.972547016139877,-inf,OK,
D44:kappa_scale_plus_0.02,1,NEG_INF,-17.972547016156785,-inf,OK,
D44:kappa_scale_minus_0.04,1,NEG_INF,-17.972547016148315,-inf,OK,
D44:kappa_scale_plus_0.04,1,NEG_INF,-17.972547016145107,-inf,OK,
D44:sigma_minus_0.02,1,NEG_INF,-18.15648515137913,-inf,OK,
D44:sigma_plus_0.02,1,NEG_INF,-17.787641671656832,-inf,OK,
D44:sigma_minus_0.04,1,NEG_INF,-18.315657206211668,-inf,OK,
D44:sigma_plus_0.04,1,NEG_INF,-17.598549855060266,-inf,OK,
D44:f_maint_minus_0.02,1,NEG_INF,-17.95823185776679,-inf,OK,
D44:f_maint_plus_0.02,1,NEG_INF,-17.986860190701123,-inf,OK,
D44:f_maint_minus_0.04,1,NEG_INF,-17.94391282541722,-inf,OK,
D44:f_maint_plus_0.04,1,NEG_INF,-18.001173261969416,-inf,OK,
D44:ngam_scale_minus_0.02,1,NEG_INF,-17.97050552287878,-inf,OK,
D44:ngam_scale_plus_0.02,1,NEG_INF,-17.974603620678003,-inf,OK,
D44:ngam_scale_minus_0.04,1,NEG_INF,-17.96847892187107,-inf,OK,
D44:ngam_scale_plus_0.04,1,NEG_INF,-17.97667555997682,-inf,OK,
D44:ngam_steepness_minus_0.02,1,NEG_INF,-17.97161708771656,-inf,OK,
D44:ngam_steepness_plus_0.02,1,NEG_INF,-17.97347309062256,-inf,OK,
D44:ngam_steepness_minus_0.04,1,NEG_INF,-17.970683106734242,-inf,OK,
