draw,infeasible_short,infeasible_full,solves_short,solves_full,first_infeasible_T,full_first_infeasible_T,agree,s_short,s_full
0,True,True,1,12,15.0,15.0,True,0.09,1.98
1,False,False,12,12,,,True,1.99,2.08
2,False,False,12,12,,,True,1.89,1.84
3,False,False,12,12,,,True,1.96,2.02
4,False,False,12,12,,,True,1.96,1.93
5,False,False,12,12,,,True,1.8,1.78
6,False,False,12,12,,,True,1.86,1.86
7,False,False,12,12,,,True,1.98,1.93
8,False,False,12,12,,,True,1.88,1.88
9,False,False,12,12,,,True,1.87,1.89
10,True,True,1,12,15.0,15.0,True,0.09,0.76
11,False,False,12,12,,,True,1.82,1.88
12,False,False,12,12,,,True,1.65,1.7
13,False,False,12,12,,,True,2.11,2.13
14,False,False,12,12,,,True,1.96,1.92
15,False,False,12,12,,,True,1.8,1.84
16,False,False,12,12,,,True,1.93,1.89
17,False,False,12,12,,,True,1.8,1.84
18,False,False,12,12,,,True,1.86,1.86
19,False,False,12,12,,,True,2.07,2.08
20,False,False,12,12,,,True,1.98,1.93
21,False,False,12,12,,,True,2.07,2.08
22,False,False,12,12,,,True,1.87,1.75
23,True,True,1,12,15.0,15.0,True,0.19,1.79
24,False,False,12,12,,,True,1.9,1.96
25,False,False,12,12,,,True,1.88,1.85
26,False,False,12,12,,,True,1.93,1.85
27,True,True,1,12,15.0,15.0,True,0.08,1.57
28,False,False,12,12,,,True,1.97,2.0
29,False,False,12,12,,,True,1.86,1.79
30,False,False,12,12,,,True,1.91,2.05
31,False,False,12,12,,,True,1.94,1.86
32,False,False,12,12,,,True,2.11,2.15
33,False,False,12,12,,,True,1.72,1.78
34,True,True,1,12,15.0,15.0,True,0.19,1.85
35,False,False,12,12,,,True,2.06,2.04
36,False,False,12,12,,,True,1.78,1.88
37,True,True,1,12,15.0,15.0,True,0.2,2.0
38,False,False,12,12,,,True,1.86,1.81
39,False,False,12,12,,,True,1.88,1.86
40,False,False,12,12,,,True,1.97,1.92
41,False,False,12,12,,,True,2.0,2.05
42,False,False,12,12,,,True,1.83,1.88
43,True,True,1,12,15.0,15.0,True,0.08,1.79
44,False,False,12,12,,,True,1.9,1.89
45,False,False,12,12,,,True,2.15,1.88
46,False,False,12,12,,,True,1.73,1.82
47,False,False,12,12,,,True,1.88,1.93
48,False,False,12,12,,,True,1.89,1.9
49,False,False,12,12,,,True,1.91,1.95
