label,ll_production,ll_validation_1,ll_validation_2,ll_production_repeat,diag_1,diag_2,perturbation_identical,max_diff_same_instance,repeat_floor,inert_1e12,within_repeat_floor
red2_6800:415,-18.1362809256241,-18.136280925629986,-18.1362809256123,-18.136280925632605,"[0.32486196651097554, 0.9677485298938556]","[0.2137981703895452, 0.8453066495605218]",True,1.1798562127296464e-11,8.5051965470484e-12,False,False
red2_6800:742,-18.641681624746866,-18.641681624749673,-18.641681624753378,-18.641681624727166,"[0.2144467036832926, 0.897323340076751]","[0.21929512986427319, 0.8358234939001156]",True,6.512124173241318e-12,1.9699797348948778e-11,False,True
P12:worst(b5),-27.942694372920073,-27.94269437290173,-27.942694372900696,-27.94269437291082,"[0.3105650574796764, 0.6615718647989367]","[0.2946758923013968, 0.3127417203584657]",True,1.9376500404177932e-11,9.251266419596504e-12,False,False
"P12:big(b6,n=2)",-25.761191934380427,-25.76119193438221,-25.761191934369187,-25.761191934375933,"[0.28132994971765557, 0.6947231915339084]","[0.2705572653935763, 0.8999205250158123]",True,1.1240786079724785e-11,4.494182803682634e-12,False,False
P12:Bstar(b8),-61.67243311663722,-61.67243311654889,-61.67243311862777,-61.67243311647259,"[0.2829614382154527, 0.9032696182666412]","[0.30358860625763084, 0.8197213782264129]",True,1.9905499470951327e-09,1.6463275187561521e-10,False,False
P12:P4(b13),-59.59959576650952,-59.59959576651576,-59.59959576651397,-59.59959576651815,"[0.22400185839477776, 0.753595465755815]","[0.3216229196627262, 0.9921748817464209]",True,6.23856521997368e-12,8.625988812127616e-12,False,True
P12:p81(b7),-61.26167758961164,-61.26167758961948,-61.26167758961624,-61.26167758961735,"[0.26414465682742194, 0.6349453741576673]","[0.24158578447232054, 0.9288472480296206]",True,7.844391802791506e-12,5.7127635955112055e-12,False,False
P12:A(b20),-62.47114248145301,-62.47114248143104,-62.471142481436864,-62.4711424814553,"[0.28369541635310586, 0.8170244820491078]","[0.29846643690398333, 0.7651829396418867]",True,2.1969981389702298e-11,2.2950530365051236e-12,False,False
"P12:big(b9,n=3)",-46.09361750807071,-46.09361750662415,-46.09361750803521,-46.09361750895853,"[0.28681792184238075, 0.8352377013930576]","[0.2894294053660625, 0.33267652782783824]",True,1.4465584285972e-09,8.878231483322452e-10,False,False
P12:p50(b19),-75.32385449736663,-75.32385449737708,-75.32385449738335,-75.32385449737447,"[0.24077135319366919, 0.8466330486758138]","[0.2851447839389311, 0.626890076639925]",True,1.6726175999792758e-11,7.844391802791506e-12,False,False
