reaction,twin,name,compartments,touches_energised,h,flux,reaction_string
r_1104,r_1104_REV,8-Amino-7-oxononanoate transport,c e,False,c:+1 e:-1,0.0,s_0354 + s_0796 --> s_0352 + s_0794
r_1136,r_1136_REV,D-lactate transport,c e,False,c:+1 e:-1,0.0,s_0026 + s_0796 --> s_0025 + s_0794
r_1173,r_1173_REV,glycine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1004 --> s_0794 + s_1003
r_1176,r_1176_REV,guanine transport,c e,False,c:+1 e:-1,0.0,s_0788 + s_0796 --> s_0787 + s_0794
r_1183,r_1183_REV,L-alanine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_0956 --> s_0794 + s_0955
r_1184,r_1184_REV,L-arganine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_0966 --> s_0794 + s_0965
r_1186,r_1186_REV,L-asparagine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_0970 --> s_0794 + s_0969
r_1190,r_1190_REV,L-aspartate transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_0974 --> s_0794 + s_0973
r_1192,r_1192_REV,L-cystine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_0982 --> s_0794 + s_0981
r_1196,r_1196_REV,L-glutamate transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_0992 --> s_0794 + s_0991
r_1199,r_1199_REV,L-glutamine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1000 --> s_0794 + s_0999
r_1201,r_1201_REV,L-histidine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1007 --> s_0794 + s_1006
r_1205,r_1205_REV,L-isoleucine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1017 --> s_0794 + s_1016
r_1211,r_1211_REV,L-leucine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1022 --> s_0794 + s_1021
r_1213,r_1213_REV,L-lysine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1026 --> s_0794 + s_1025
r_1214,r_1214_REV,L-methionine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1030 --> s_0794 + s_1029
r_1215,r_1215_REV,L-phenylalanine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1033 --> s_0794 + s_1032
r_1216,r_1216_REV,L-proline transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1036 --> s_0794 + s_1035
r_1217,r_1217_REV,L-serine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1041 --> s_0794 + s_1039
r_1218,r_1218_REV,L-threonine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1046 --> s_0794 + s_1045
r_1219,r_1219_REV,L-tryptophan transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1049 --> s_0794 + s_1048
r_1223,r_1223_REV,L-tyrosine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1052 --> s_0794 + s_1051
r_1224,r_1224_REV,L-valine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1057 --> s_0794 + s_1056
r_1238,r_1238_REV,orntithine transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1267 --> s_0794 + s_1266
r_1241,r_1241_REV,pantothenate transport,c e,False,c:+1 e:-1,0.0,s_0032 + s_0796 --> s_0031 + s_0794
r_1244,r_1244_REV,phosphate transport,c e,False,c:+1 e:-1,0.02175725007508606,s_0796 + s_1324 --> s_0794 + s_1322
r_1249,r_1249_REV,potassium transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1374 --> s_0794 + s_1373
r_1251,r_1251_REV,putrescine transport,c e,False,c:-1 e:+1,0.0,s_0794 + s_1390 --> s_0796 + s_1389
r_1252,r_1252_REV,putrescine transport,c v,False,c:+1 v:-1,0.0,s_0802 + s_1389 --> s_0794 + s_1391
r_1253,r_1253_REV,pyridoxine symport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1397 --> s_0794 + s_1396
r_1254,r_1254_REV,pyruvate transport,c e,False,c:+1 e:-1,0.0,s_0796 + s_1400 --> s_0794 + s_1399
r_1258,r_1258_REV,sodium proton antiporter,c e,False,c:+1 e:-1,0.0,s_0796 + s_1437 --> s_0794 + s_1438
r_1260,r_1260_REV,spermidine transport,c e,False,c:-1 e:+1,0.0,s_0794 + s_1440 --> s_0796 + s_1439
r_1261,r_1261_REV,spermidine transport,c v,False,c:+1 v:-1,0.0,s_0802 + s_1439 --> s_0794 + s_1441
r_1262,r_1262_REV,spermine transport,c e,False,c:-1 e:+1,0.0,s_0794 + s_1443 --> s_0796 + s_1442
r_1263,r_1263_REV,spermine transport,c v,False,c:+1 v:-1,0.0,s_0802 + s_1442 --> s_0794 + s_1444
