reaction,name,src,dst,costed,h
r_1101,4-aminobutyrate transport,e,c,False,c:+1 e:-1
r_1102,5-aminolevulinate transport,e,c,False,c:+1 e:-1
r_1104,8-Amino-7-oxononanoate transport,e,c,False,c:+1 e:-1
r_1108,adenine transport,e,c,False,c:+1 e:-1
r_1109,adenosine transport,e,c,False,c:+1 e:-1
r_1111,ADP/ATP transporter,p,c,False,c:+1 p:-1
r_1116,AMP/ATP transporter,p,c,False,c:+1 p:-1
r_1119,biotin uptake,e,c,False,c:+1 e:-1
r_1125,choline transport,e,c,False,c:+1 e:-1
r_1130,CTP transport,c,m,False,c:-1 m:+1
r_1131,CTP/CMP antiport,c,m,False,c:-2 m:+2
r_1132,cytidine transport,e,c,False,c:+1 e:-1
r_1133,cytosine transport,e,c,False,c:+1 e:-1
r_1134,D-fructose transport,e,c,False,c:+1 e:-1
r_1135,D-galactose transport,e,c,False,c:+1 e:-1
r_1136,D-lactate transport,e,c,False,c:+1 e:-1
r_1137,D-lactate transport,c,m,False,c:-1 m:+1
r_1139,D-mannose transport,e,c,False,c:+1 e:-1
r_1171,glycerol transport,e,c,False,c:+1 e:-1
r_1173,glycine transport,e,c,False,c:+1 e:-1
r_1175,GTP/GDP translocase,c,m,False,c:-1 m:+1
r_1176,guanine transport,e,c,False,c:+1 e:-1
r_1177,inositol transport,e,c,False,c:+1 e:-1
r_1183,L-alanine transport,e,c,False,c:+1 e:-1
r_1184,L-arganine transport,e,c,False,c:+1 e:-1
r_1185,L-arganine transport,v,c,False,c:+1 v:-1
r_1186,L-asparagine transport,e,c,False,c:+1 e:-1
r_1187,L-asparagine transport,v,c,False,c:+1 v:-1
r_1188,L-aspartate transport,v,c,False,c:+1 v:-1
r_1189,L-aspartate transport,v,c,False,c:+1 v:-1
r_1190,L-aspartate transport,e,c,False,c:+1 e:-1
r_1192,L-cystine transport,e,c,False,c:+1 e:-1
r_1193,L-cystine transport,v,c,False,c:+1 v:-1
r_1195,L-glutamate transport,v,c,False,c:+1 v:-1
