reaction,name,bounds_changed,stoich_changed,lb_before,lb_after,ub_before,ub_after,costed,moves_proton
r_0001No1,(R)-lactate:ferricytochrome-c 2-oxidoreductase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0001No2,(R)-lactate:ferricytochrome-c 2-oxidoreductase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0001No3,(R)-lactate:ferricytochrome-c 2-oxidoreductase (No3),False,True,0.0,0.0,inf,inf,True,False
r_0001No4,(R)-lactate:ferricytochrome-c 2-oxidoreductase (No4),False,True,0.0,0.0,inf,inf,True,False
r_0002No1,(R)-lactate:ferricytochrome-c 2-oxidoreductase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0002No2,(R)-lactate:ferricytochrome-c 2-oxidoreductase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0003No1,"(R,R)-butanediol dehydrogenase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0004No1,(S)-lactate:ferricytochrome-c 2-oxidoreductase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0004No2,(S)-lactate:ferricytochrome-c 2-oxidoreductase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0005No1,"1,3-beta-glucan synthase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0005No2,"1,3-beta-glucan synthase (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0007No1,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0012No1,1-pyrroline-5-carboxylate dehydrogenase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0013No1,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0014No1,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0015No1,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0016No1,2-aceto-2-hydroxybutanoate synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0016No2,2-aceto-2-hydroxybutanoate synthase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0017No1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0018No1,2-aminoadipate transaminase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0018No2,2-aminoadipate transaminase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0018No3,2-aminoadipate transaminase (No3),False,True,0.0,0.0,inf,inf,True,False
r_0019No1,2-dehydropantoate 2-reductase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0020No1,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0021No1,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0022No1,2-hexaprenyl-6-methoxyphenol monooxygenase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0023No1,2-isopropylmalate hydratase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0024No1,2-isopropylmalate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0024No2,2-isopropylmalate synthase (No2),False,True,0.0,0.0,inf,inf,True,True
r_0025No1,2-isopropylmalate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0027No1,2-methylcitrate dehydratase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0028No1,2-methylcitrate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0029No1,2-oxo-4-methyl-3-carboxypentanoate decarboxylation (No1),False,True,0.0,0.0,inf,inf,True,True
r_0030No1,2-oxo-4-methyl-3-carboxypentanoate decarboxylation (No1),False,True,0.0,0.0,inf,inf,True,True
r_0032No1,"3',5'-bisphosphate nucleotidase (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0033No1,"3',5'-cyclic-nucleotide phosphodiesterase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0033No2,"3',5'-cyclic-nucleotide phosphodiesterase (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0034No1,"3',5'-cyclic-nucleotide phosphodiesterase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0035No1,"3',5'-cyclic-nucleotide phosphodiesterase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0036No1,"3',5'-cyclic-nucleotide phosphodiesterase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0037No1,"3',5'-cyclic-nucleotide phosphodiesterase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0038No1,"3,4-dihydroxy-2-butanone-4-phosphate synthase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0039No1,3-dehydroquinate dehydratase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0040No1,3-dehydroquinate synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0041No1,3-dehydrosphinganine reductase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0042No1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0042No2,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0045No1,3-hydroxy-L-kynurenine hydrolase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0057No1,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,True
r_0058No1,"3-hydroxyanthranilate 3,4-dioxygenase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0059No1,3-isopropylmalate 3-methyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0060No1,3-isopropylmalate dehydratase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0061No1,3-isopropylmalate dehydrogenase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0062No1,3-methyl-2-oxobutanoate decarboxylase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0062No2,3-methyl-2-oxobutanoate decarboxylase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0062No3,3-methyl-2-oxobutanoate decarboxylase (No3),False,True,0.0,0.0,inf,inf,True,False
r_0063No1,3-methyl-2-oxobutanoate hydroxymethyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0064No1,3-methyl-2-oxopentanoate decarboxylase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0064No2,3-methyl-2-oxopentanoate decarboxylase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0064No3,3-methyl-2-oxopentanoate decarboxylase (No3),False,True,0.0,0.0,inf,inf,True,False
r_0064No4,3-methyl-2-oxopentanoate decarboxylase (No4),False,True,0.0,0.0,inf,inf,True,False
r_0065No1,3-phosphoshikimate 1-carboxyvinyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0066No1,4-amino-4-deoxychorismate synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0067No1,4-aminobenzoate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0068No1,4-aminobutyrate transaminase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0069No1,4-hydroxy-L-threonine synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0072No1,4-methyl-2-oxopentanoate decarboxylase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0073No1,4PP-IP5 depyrophosphorylation to IP6 (No1),False,True,0.0,0.0,inf,inf,True,True
r_0073No2,4PP-IP5 depyrophosphorylation to IP6 (No2),False,True,0.0,0.0,inf,inf,True,True
r_0074No1,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0075No1,5'-methylthioadenosine phosphorylase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0077No1,5'-nucleotidase (IMP) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0079No1,5'-phosphoribosylformyl glycinamidine synthetase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0080No1,"5,10-methylenetetrahydrofolate reductase (NADPH) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0080No2,"5,10-methylenetetrahydrofolate reductase (NADPH) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0081No1,5-aminolevulinate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0082No1,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0083No1,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0084No1,5-formethyltetrahydrofolate cyclo-ligase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0085No1,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0088No1,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0089No1,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0090No1,6-phosphofructo-2-kinase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0090No2,6-phosphofructo-2-kinase (No2),False,True,0.0,0.0,inf,inf,True,True
r_0091No1,6-phosphogluconolactonase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0091No2,6-phosphogluconolactonase (No2),False,True,0.0,0.0,inf,inf,True,True
r_0092No1,6PP-IP5 depyrophosphorylation to IP6 (No1),False,True,0.0,0.0,inf,inf,True,True
r_0092No2,6PP-IP5 depyrophosphorylation to IP6 (No2),False,True,0.0,0.0,inf,inf,True,True
r_0093No1,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
