reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,state,model
r_0226No1,r_0226No1,r_0226No1,True,False,True,True,atp_synthase,-3.0,6.584281037107128,-19.752843111321383,6.944444444444445e-06 prot_P00830 + 2.3148148148148148e-06 prot_P00854 + 2.3148148148148148e-06 prot_P00856 + 2.3148148148148148e-06 prot_P05626 + 6.944444444444445e-06 prot_P07251 + 2.3148148148148148e-06 prot_P09457 + 2.3148148148148148e-06 prot_P21306 + 2.3148148148148148e-06 prot_P30902 + 2.3148,batch_pristine,ecYeast7_v1.0_batch.mat
r_0439No1,r_0439No1,r_0439No1,True,False,False,True,redox,2.532,4.823525776543015,12.213167266206913,2.5252525252525253e-06 prot_P00127 + 2.5252525252525253e-06 prot_P00128 + 2.5252525252525253e-06 prot_P00163 + 2.5252525252525253e-06 prot_P07143 + 2.5252525252525253e-06 prot_P07256 + 2.5252525252525253e-06 prot_P07257 + 2.5252525252525253e-06 prot_P08067 + 2.5252525252525253e-06 prot_P08525 + 2.52,batch_pristine,ecYeast7_v1.0_batch.mat
r_0438No1,r_0438No1,r_0438No1,True,False,False,True,redox,0.633,9.64705155308603,6.106583633103456,4.0054474084755266e-07 prot_P00401 + 4.0054474084755266e-07 prot_P00410 + 4.0054474084755266e-07 prot_P00420 + 4.0054474084755266e-07 prot_P00425 + 4.0054474084755266e-07 prot_P00427 + 4.0054474084755266e-07 prot_P04037 + 8.010894816951053e-07 prot_P04039 + 4.0054474084755266e-07 prot_P07255 + 4.005,batch_pristine,ecYeast7_v1.0_batch.mat
r_4041,r_4041,yeast 8 biomass pseudoreaction,False,False,False,False,carrier,56.11513795608944,0.09702318242830792,5.444469266903332,0.642498942709614 s_0001 + 0.21466987951807232 s_0004 + 0.5727840199750311 s_0404 + 0.046 s_0423 + 0.20062421972534333 s_0428 + 0.12696629213483146 s_0430 + 0.37141073657927587 s_0432 + 56.11513795608944 s_0434 + 7.553479223014507e-07 s_0509 + 0.0447 s_0526 + 0.008239700374531835 s_0542 + 0.0036 s_0,batch_pristine,ecYeast7_v1.0_batch.mat
r_1245,r_1245,phosphate transport,False,False,False,True,carrier,-1.0,4.970701031163963,-4.970701031163963,s_0794 + s_1322 --> s_0799 + s_1326,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0770,arm_r_0770 r_0770No1 r_0770No2,"NADH dehydrogenase, cytosolic/mitochondrial (arm)",True,False,False,False,redox,-1.0,4.812795012566444,-4.812795012566444,s_0794 + s_1203 + s_1537 --> pmet_r_0770 ; pmet_r_0770 + 5.555555555555555e-07 prot_Q07500 --> s_1198 + s_1535 ; pmet_r_0770 + 5.555555555555555e-07 prot_P40215 --> s_1198 + s_1535,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0486,arm_r_0486 r_0486No1 r_0486No2 r_0486No3,glyceraldehyde-3-phosphate dehydrogenase (arm),True,False,False,False,redox,3.0,1.531483287856109,4.594449863568327,s_0764 + s_1198 + s_1322 --> pmet_r_0486 ; pmet_r_0486 + 1.1246063877642825e-05 prot_P00359 --> s_0075 + s_0794 + s_1203 ; pmet_r_0486 + 1.1246063877642825e-05 prot_P00360 --> s_0075 + s_0794 + s_1203 ; pmet_r_0486 + 1.1246063877642825e-05 prot_P00358 --> s_0075 + s_0794 + s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0534,arm_r_0534 r_0534No1 r_0534No2 r_0534No3,hexokinase (D-glucose:ATP) (arm),True,False,False,False,carrier,3.0,1.0,3.0,s_0434 + s_0563 --> pmet_r_0534 ; pmet_r_0534 + 1.013787510137875e-06 prot_P17709 --> s_0394 + s_0568 + s_0794 ; pmet_r_0534 + 1.013787510137875e-06 prot_P04806 --> s_0394 + s_0568 + s_0794 ; pmet_r_0534 + 2.1924055073226346e-06 prot_P04807 --> s_0394 + s_0568 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0891,arm_r_0891 r_0891No1 r_0891No2,phosphoglycerate dehydrogenase (arm),True,False,False,False,redox,2.0,0.797333761805703,1.594667523611406,s_0260 + s_1198 --> pmet_r_0891 ; pmet_r_0891 + 9.825885312266635e-08 prot_P40054 --> s_0258 + s_0794 + s_1203 ; pmet_r_0891 + 9.825885312266635e-08 prot_P40510 --> s_0258 + s_0794 + s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
r_0725No1,r_0725No1,methenyltetrahydrofolate cyclohydrolase (No1),True,False,False,False,carrier,1.0,1.48684569529387,1.48684569529387,2.0729684908789387e-06 prot_P07245 + s_0304 + s_0803 --> s_0120 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
