term,M. maripaludis (H2/CO2),E. coli (rich BHI),Synechocystis 6803 (light-sat)
organism SS-E Ea (eV),1.0558,0.6784,0.573
observed SS-E (eV),1.042,0.558,0.435
model − observed,0.014,0.12,0.138
Topt (°C),35.3,38.4,35.0
CTmax (°C),48.8,46.0,46.8
naive (unweighted) enzyme-E mean,0.5118,0.8716,0.6837
+ control weighting,0.3427,0.1063,-0.0157
+ allocation (Scott / flat / Jahn-shallow),0.0,-0.1295,-0.0188
+ maintenance NGAM(T),-0.0164,0.0049,-0.0267
+ aggregation (heterogeneity),0.2177,-0.1749,-0.0495
backbone fraction of control,0.887,n/a (broad),0.336 (Calvin)
sum C_i,1.189,0.556,1.029
