term,E. coli (rich BHI),M. maripaludis (H2/CO2)
organism SS-E $E_a$ (eV),0.6784,1.0558
observed SS-E (eV),0.558,1.042
model − observed,0.12,0.014
Topt (°C),38.4,35.3
CTmax (°C),46.0,48.8
naive (unweighted) enzyme-E mean,0.8716,0.5118
+ control weighting,0.1063,0.3427
+ allocation (measured; E. coli Scott / methanogen flat),-0.1295,0.0
+ maintenance NGAM(T),0.0049,-0.0164
+ aggregation (heterogeneity/flattening),-0.1749,0.2177
backbone fraction of control term,n/a (broad),0.887
sum C_i,0.556,1.189
