quantity,locked_source,locked,port,tolerance,verdict,note
"fitted sigma (Gaussian peak width, C)",gem/tables/etcgem_calib.json (18_build_etcgem_tpc.py),10.231397,10.231397,2%,PASS,
"fitted w (denaturation width, C)",gem/tables/etcgem_calib.json (18_build_etcgem_tpc.py),8.788455,8.788455,2%,PASS,
"fitted P (pool budget, g enzyme/gDW)",gem/tables/etcgem_calib.json (18_build_etcgem_tpc.py),0.356974,0.356974,2%,PASS,
growth scale SCALE (peak match on C. auris),gem/tables/etcgem_calib.json (18_build_etcgem_tpc.py),2.074124,2.074124,2%,PASS,
C. auris calibration MSE,gem/tables/etcgem_calib.json (18_build_etcgem_tpc.py),0.00359151,0.00359151,2%,PASS,
"predicted mu, auris at 22 C",gem/tables/etcgem_tpc_pred.csv,0.1871,0.1871,1e-3 /h or 1%,PASS,
"predicted mu, auris at 24 C",gem/tables/etcgem_tpc_pred.csv,0.3023,0.3023,1e-3 /h or 1%,PASS,
"predicted mu, auris at 26 C",gem/tables/etcgem_tpc_pred.csv,0.435,0.435,1e-3 /h or 1%,PASS,
"predicted mu, auris at 28 C",gem/tables/etcgem_tpc_pred.csv,0.566,0.566,1e-3 /h or 1%,PASS,
"predicted mu, auris at 30 C",gem/tables/etcgem_tpc_pred.csv,0.6785,0.6785,1e-3 /h or 1%,PASS,
"predicted mu, auris at 32 C",gem/tables/etcgem_tpc_pred.csv,0.7595,0.7595,1e-3 /h or 1%,PASS,
"predicted mu, auris at 34 C",gem/tables/etcgem_tpc_pred.csv,0.7988,0.7988,1e-3 /h or 1%,PASS,
"predicted mu, auris at 36 C",gem/tables/etcgem_tpc_pred.csv,0.7931,0.7931,1e-3 /h or 1%,PASS,
"predicted mu, auris at 38 C",gem/tables/etcgem_tpc_pred.csv,0.7452,0.7452,1e-3 /h or 1%,PASS,
"predicted mu, auris at 40 C",gem/tables/etcgem_tpc_pred.csv,0.6635,0.6635,1e-3 /h or 1%,PASS,
"predicted mu, auris at 42 C",gem/tables/etcgem_tpc_pred.csv,0.5599,0.5599,1e-3 /h or 1%,PASS,
"predicted mu, auris at 44 C",gem/tables/etcgem_tpc_pred.csv,0.4474,0.4474,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 22 C",gem/tables/etcgem_tpc_pred.csv,0.2213,0.2213,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 24 C",gem/tables/etcgem_tpc_pred.csv,0.3191,0.3191,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 26 C",gem/tables/etcgem_tpc_pred.csv,0.4294,0.4294,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 28 C",gem/tables/etcgem_tpc_pred.csv,0.5388,0.5388,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 30 C",gem/tables/etcgem_tpc_pred.csv,0.6314,0.6314,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 32 C",gem/tables/etcgem_tpc_pred.csv,0.6996,0.6996,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 34 C",gem/tables/etcgem_tpc_pred.csv,0.7305,0.7305,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 36 C",gem/tables/etcgem_tpc_pred.csv,0.7192,0.7192,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 38 C",gem/tables/etcgem_tpc_pred.csv,0.6689,0.6689,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 40 C",gem/tables/etcgem_tpc_pred.csv,0.5884,0.5884,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 42 C",gem/tables/etcgem_tpc_pred.csv,0.4891,0.4891,1e-3 /h or 1%,PASS,
"predicted mu, haemulonii at 44 C",gem/tables/etcgem_tpc_pred.csv,0.3833,0.3833,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 22 C",gem/tables/etcgem_tpc_pred.csv,0.2132,0.2132,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 24 C",gem/tables/etcgem_tpc_pred.csv,0.2931,0.2931,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 26 C",gem/tables/etcgem_tpc_pred.csv,0.3754,0.3754,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 28 C",gem/tables/etcgem_tpc_pred.csv,0.4495,0.4495,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 30 C",gem/tables/etcgem_tpc_pred.csv,0.5074,0.5074,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 32 C",gem/tables/etcgem_tpc_pred.csv,0.5424,0.5424,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 34 C",gem/tables/etcgem_tpc_pred.csv,0.5537,0.5537,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 36 C",gem/tables/etcgem_tpc_pred.csv,0.5381,0.5381,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 38 C",gem/tables/etcgem_tpc_pred.csv,0.4962,0.4962,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 40 C",gem/tables/etcgem_tpc_pred.csv,0.4346,0.4346,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 42 C",gem/tables/etcgem_tpc_pred.csv,0.3611,0.3611,1e-3 /h or 1%,PASS,
"predicted mu, duobushaemulonii at 44 C",gem/tables/etcgem_tpc_pred.csv,0.2843,0.2843,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 22 C",gem/tables/etcgem_tpc_pred.csv,0.2922,0.2922,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 24 C",gem/tables/etcgem_tpc_pred.csv,0.4183,0.4183,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 26 C",gem/tables/etcgem_tpc_pred.csv,0.5452,0.5452,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 28 C",gem/tables/etcgem_tpc_pred.csv,0.6562,0.6562,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 30 C",gem/tables/etcgem_tpc_pred.csv,0.7377,0.7377,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 32 C",gem/tables/etcgem_tpc_pred.csv,0.7808,0.7808,1e-3 /h or 1%,PASS,
"predicted mu, parapsilosis at 34 C",gem/tables/etcgem_tpc_pred.csv,0.7861,0.7861,1e-3 /h or 1%,PASS,
