rung,species,mu_pool_free_model,mu_all_caps_free_model,mu_22C,mu_24C,mu_26C,mu_28C,mu_30C,mu_32C,mu_34C,mu_36C,mu_38C,mu_40C,mu_42C,mu_44C
B0,auris,2.044991485091811,2.044991485091811,0.1871254129942414,0.3023427245304789,0.4350495736442007,0.5660151630448069,0.6785425342306637,0.7595218976705933,0.7988000000000336,0.7930540996792499,0.7452183940597402,0.6635309821868667,0.5598882706905055,0.4473905600135865
B0,haemulonii,2.044991485091812,2.044991485091812,0.2202859912616636,0.3190770240510066,0.4293606537190207,0.5388474637744791,0.6313748757361611,0.6996078033773475,0.7304977220742457,0.7192024056488219,0.6688878464238137,0.5884108184596486,0.4890940827283028,0.3833369675154121
B0,duobushaemulonii,2.0449914850918116,2.0449914850918116,0.2124213877630856,0.2931445899351346,0.3754003544721502,0.4494972981710788,0.5073655122842312,0.5423626500802302,0.5536769372990842,0.5380969388831833,0.496233670492892,0.4346495628103212,0.3611441087725188,0.2843035520066814
B0,parapsilosis,2.836721790301638,2.836721790301638,0.2290307616923726,0.3389086358148441,0.4532020291520538,0.5553628042191754,0.629715525611241,0.6684930189860356,0.6716875927756244,0.6830694123218574,0.6560615067834977,0.5914085110839674,0.4972919252646217,0.3905572484688808
B1,auris,2.0449914850918076,2.0449914850918076,0.0974872027401354,0.1714941583841925,0.2756252565755034,0.4021831260775765,0.5329391014700421,0.6485431421916842,0.7347388317640698,0.7830581303680273,0.7987999999999995,0.7879877047839091,0.7557828056855256,0.7044047311059395
B1,haemulonii,2.044991485091813,2.044991485091813,0.0538338854343746,0.0962057764913403,0.161141268714394,0.2504245219222134,0.3581291170118761,0.4698426526034625,0.5679112297322297,0.6421330469446173,0.6820228841968717,0.6885384201265197,0.6672887435418963,0.6256138116056842
B1,duobushaemulonii,2.044991485091807,2.044991485091807,0.1382484707492586,0.2219932665627039,0.3169835643772135,0.4068970621527356,0.4792957663041423,0.5293637982813494,0.557166833075565,0.567066685808302,0.5616861388737683,0.5411061896303275,0.5086118281042028,0.4674351079407142
B1,parapsilosis,2.8367217903016315,2.8367217903016315,0.1674994746786616,0.2649485630832215,0.3784319885234201,0.4914901730809028,0.5904337233477757,0.6782730376904657,0.7369569246892395,0.767712975986542,0.7744174718344323,0.7572839240273564,0.7199242791108628,0.6686612906392548
B2,auris,2.044991485091811,2.044991485091811,0.0955210713643552,0.168914324910625,0.2725037110768455,0.3987806643165626,0.5301404254898568,0.64620715281608,0.7323428892653281,0.7828019637466241,0.7988000000000001,0.7858280517052665,0.7496258417987209,0.6960233676861955
B2,haemulonii,2.0449914850918107,2.0449914850918107,0.0527495821906454,0.0947605546345873,0.1593190411633543,0.2482540178981111,0.3556663087186325,0.4671216034039834,0.5654597927303878,0.6400796832873606,0.6799783365126671,0.6858946226283703,0.6634218985755531,0.6197621766196179
B2,duobushaemulonii,2.044991485091809,2.044991485091809,0.1352853451806219,0.2183987965451327,0.3130555453521652,0.4032071736462116,0.4763405121428854,0.5271063686129109,0.5551692286034782,0.5647131485827094,0.558671170084407,0.5371175986810438,0.5035552829160265,0.4612332054990901
B2,parapsilosis,2.836721790301676,2.836721790301676,0.1284217055642372,0.2119755196734162,0.3131780253082443,0.417085252622591,0.5049857704302351,0.5844913175912763,0.6515760475564305,0.6910262038169004,0.7017178845424302,0.6875150910215335,0.6520423084253665,0.6006982881928172
B3,auris,2.0449914850918107,2.0449914850918107,0.0984370169726283,0.1736834043633108,0.2788554538451861,0.4055602263490789,0.5366627972182503,0.6517711383838809,0.7363799989742195,0.7849293899025486,0.7988000000000002,0.7836018748547873,0.7451535439918271,0.6893397543826845
B3,haemulonii,2.0449914850918085,2.0449914850918085,0.0543592267880792,0.0974351083763101,0.1630316562285192,0.2524739706165566,0.3600421075917976,0.4711442355434102,0.5685780955185737,0.6418207402063025,0.6799799420584384,0.6839529688367411,0.6594648041294752,0.6138105998190126
B3,duobushaemulonii,2.0449914850918107,2.0449914850918107,0.1394922499404492,0.2246767851107656,0.3204662899148168,0.4101262971298968,0.4822009781012311,0.5315750612869266,0.558090753924039,0.5660430377464644,0.5584040933677534,0.5352716819545025,0.5001743537003068,0.4563796407056333
B3,parapsilosis,2.8367217903016666,2.8367217903016666,0.1500165676289306,0.2425501659915755,0.3450769420254438,0.4380506562941765,0.511198698571492,0.5760863480114912,0.629459466494167,0.6562932981370344,0.6573587205154664,0.6367731845958624,0.5967305275057093,0.5424159223701546
B4,auris,0.0699662900218889,2.00088585644069,0.1465193592052545,0.2585204417458716,0.4150646135453035,0.6036593378316392,0.7987999999999996,0.7987999999999998,0.7987999999999998,0.7987999999999998,0.7987999999999998,0.7987999999999998,0.7987999999999998,0.7987999999999998
B4,haemulonii,0.0469397369268645,2.0449914850918103,0.0809114225606714,0.1450280604029724,0.2426657626919112,0.3757968854444141,0.5359075326910846,0.5359075326910845,0.5359075326910845,0.5359075326910845,0.5359075326910845,0.5359075326910845,0.5359075326910845,0.5359075326910845
B4,duobushaemulonii,0.0628659442345297,2.0449914850918116,0.2076283465706974,0.3344219440526858,0.4770005927574053,0.6104557421261483,0.7177358730730451,0.717735873073045,0.717735873073045,0.717735873073045,0.717735873073045,0.717735873073045,0.717735873073045,0.6793018984831991
B4,parapsilosis,0.0666464614064152,2.8367217903016515,0.2232933507654024,0.3610257196853596,0.5136325132256342,0.6520199761592207,0.7608977602612549,0.7608977602612517,0.7608977602612517,0.7608977602612517,0.7608977602612517,0.7608977602612517,0.7608977602612517,0.7608977602612517
B1s,auris,2.044991485091814,2.044991485091814,0.0977959544234468,0.1720348209703294,0.2764877720946631,0.4034265910880817,0.5345529049043635,0.6504320291656512,0.7367013515728256,0.7846964229589931,0.7988000000000017,0.7802023086342309,0.7004736526110302,0.2601512841790133
B1s,haemulonii,2.044991485091813,2.044991485091813,0.0540053258485374,0.0965120913409693,0.1616540387101521,0.2512201025668662,0.3592614508401351,0.4713029604935154,0.569598503709465,0.6437100143024964,0.6822803090520624,0.6822025144838277,0.6248839705814655,0.1092124916439109
B1s,duobushaemulonii,2.0449914850918063,2.0449914850918063,0.1386882302658408,0.2226980886981429,0.3179858258905567,0.4081723660714341,0.4807693110484227,0.5309207375229443,0.5586277757921849,0.5681232386944207,0.5612907054539071,0.5350630907975741,0.4758594468787792,0.2690876502673945
B1s,parapsilosis,2.8367217903016564,2.8367217903016564,0.168032385732322,0.2657909831158838,0.3796337330913162,0.4930465739298609,0.5922944875862938,0.6803477953274826,0.7390495538241572,0.7692716840219334,0.7728368566740951,0.7325273948787254,0.5941485157050228,0.1802779696880062
B0u,auris,2.0449914850925386,2.0449914850925386,0.18712541299405,0.3023427245308742,0.4350495736441194,0.5660151630450817,0.6785425342306228,0.7595218976704969,0.7987999999999544,0.7930540996791723,0.7452183940596814,0.6635309821868148,0.5598882706904657,0.4473905600135545
B0u,haemulonii,2.0449914850918045,2.0449914850918045,0.2212987060709116,0.3190770240509867,0.4293606537190098,0.538847463774443,0.6313748757361113,0.6996078033772875,0.7304977220741969,0.7192024056487663,0.6688878464237682,0.588410818459606,0.4890940827282699,0.383336967515383
B0u,duobushaemulonii,2.044991485091774,2.044991485091774,0.2132044702677251,0.2931445899350985,0.375400354472116,0.4494972981710471,0.5073655122841936,0.5423626500801868,0.5536769372990493,0.5380969388831442,0.4962336704928549,0.4346495628102891,0.3611441087724917,0.2843035520066611
B0u,parapsilosis,2.836721790301638,2.836721790301638,0.2921606849456912,0.4182939454547413,0.5452060679091888,0.6561744075165599,0.737675912698771,0.7808023367855973,0.7861069474627813,0.7824725135991122,0.742265568366021,0.6662041978073685,0.5652349218289836,0.4496146812090863
