display_rank,gene,enzyme_name,enzyme_id,control_coeff,"CC[niche_width_C,Topt_i]","CC[CT_max_C,Topt_i]"
1,aas;acpP,Acyl-[acyl-carrier-protein] synthetase,P0A6A8,0.5162533438876071,-0.5162533438876071,0.0005412935364894
2,gdhA,Glutamate dehydrogenase,P00370,0.0546681874908294,-0.0546681874908294,1.1082624240543737e-07
3,glnA,Glutamine synthetase,P0A9C5,0.0170325658746985,-0.0170325658746985,0.0001863423667955
4,sucC;sucD,Succinyl-CoA synthetase,P0A836,0.0138214390986703,-0.0138214390986703,2.1427576172072804e-05
5,,"Ribose-1,5-bisphosphokinase",P16690,0.0119060063390126,-0.0119060063390126,2.7737613635281377e-05
6,,Cytochrome oxidase bd (menaquinol-8: 2 protons),P26458,0.0100477865989958,-0.0100477865989958,5.017671213636277e-06
7,adk,Adentylate kinase,P69441,0.0089847352210394,0.0089847352210394,0.0007793089030698
8,fadA,Acetyl-CoA C-acyltransferase,P21151,0.0082350948595095,-0.0082350948595095,0.0001019586533885
9,fabG,3-oxoacyl-[acyl-carrier-protein] reductase,P0AEK2,0.0059164914206064,-0.0059164914206064,6.952500266521611e-05
10,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,P14900,0.0055115492830637,0.0049750045707845,0.0055115492830637
11,folE,GTP cyclohydrolase I,P0A6T5,0.0054955647563161,-0.0054955647563161,6.147341535012174e-05
12,asnA,Asparagine synthetase,P00963,0.0049894378708952,-0.0049894378708952,0.0003685336631384
13,,L-serine deaminase,P0AGF6,0.0045331419867622,-0.0045331419867622,-5.3290705182007514e-14
14,glmS,Glutamine-fructose-6-phosphate transaminase,P17169,0.0018883420277511,0.0016767500477783,0.0018883420277511
15,murC,UDP-N-acetylmuramoyl-L-alanine synthetase,P17952,0.0017060781476878,-0.0017060781476878,2.393684287582687e-05
