rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,GF6PTANo1,P17169,default,0.0020569139087149952,0.0,-0.0,0.001888342027751122,-1.77635683940025e-13,0.0016767500477783415,-1.8207657603852562e-13
2,ASNS2No1,P00963,default,0.0010170749323905053,0.0,-0.0,0.0003685336631384928,-7.105427357600999e-14,-0.00498943787089523,-7.993605777301125e-14
3,DB4PSNo1,P0A7J0,default,3.4587733654416905e-06,0.0,-0.0,4.6487286695651164e-06,-2.0428103653102873e-13,-0.0004234540083238869,-2.2204460492503123e-13
4,G1SATNo1,P23893,default,3.4845631058715553e-06,0.0,-0.0,2.9658023912304543e-06,-8.881784197001249e-15,-0.0002528441389291203,-1.7763568394002498e-14
5,FACOAE160No1,P0AGG2,default,4.178815802473602e-06,0.0,-0.0,-2.3375051227958465e-07,-0.0,-1.7836804222071123e-05,-4.4408920985006246e-15
6,DXPSNo1,P77488,default,4.206755650039409e-06,0.0,-0.0,9.977448165443548e-07,5.3290705182007495e-14,-5.418394634304491e-05,6.217248937900874e-14
7,TDSKNo1,P27300,default,4.643269934222498e-06,0.0,-0.0,4.852018850698414e-06,1.9539925233402748e-13,-0.00042749224209970293,2.0428103653102873e-13
8,DPCOAKNo1,P0A6I9,default,4.8104281893506244e-06,0.0,-0.0,1.195433773304444e-05,5.3290705182007495e-14,-0.0012095777513358996,6.217248937900874e-14
9,FACOAE161No1,P0AGG2,default,4.925336944357813e-06,0.0,-0.0,-2.7550877490511994e-07,-1.4210854715201999e-13,-2.102324522823551e-05,-1.3766765505351936e-13
10,CDPMEKNo1,P62615,default,4.995446638107687e-06,0.0,-0.0,4.729736744479851e-07,-9.769962616701374e-14,-6.59337031052587e-05,-1.0658141036401499e-13
11,DASYN160No1,P0ABG1,default,5.789980237529842e-06,0.0,-0.0,2.755716657532048e-06,1.9539925233402748e-13,-0.00024854019334341615,1.8651746813702625e-13
12,NADH17ppNo1,P0AFC3,default,6.025292613398104e-06,0.0,-0.0,1.0665744198945504e-07,-1.4113155089034985e-11,1.22378156319769e-06,-6.321165813005789e-11
13,UAGAATNo1,P0A6A8,default,6.659173213112136e-06,0.0,-0.0,2.3664363133946154e-05,-1.1546319456101623e-13,-0.04617764709579042,-1.1546319456101623e-13
14,DASYN161No1,P0ABG1,default,6.8243265362705615e-06,0.0,-0.0,3.2480081380015235e-06,-2.0428103653102873e-13,-0.0002929404656288881,-1.998401444325281e-13
15,ADPTNo1,P69503,default,7.038295348578146e-06,0.0,-0.0,2.863133445885069e-07,-1.8651746813702625e-13,-0.0007018567950005661,-1.8207657603852562e-13
16,RHCCENo1,P45578,default,8.199123180954649e-06,0.0,-0.0,5.8822175219575e-06,1.3322676295501873e-13,-0.0007037673043459591,1.3322676295501873e-13
17,G1PACTNo1,P0ACC7,default,9.752217628533336e-06,0.0,-0.0,5.260944003993018e-06,-2.6695631729359905e-12,5.051262281341451e-06,-2.6695631729359905e-12
18,UHGADANo1,P0A725,default,1.0378932024398107e-05,0.0,-0.0,5.369168466273777e-06,5.3290705182007495e-14,-0.00047322818391393184,5.3290705182007495e-14
19,RBFSbNo1,P0AFU8,default,1.1754916068795305e-05,0.0,-0.0,8.336064119873754e-06,-1.4299672557172011e-11,-0.0006198660656071553,-6.339373470609641e-11
20,GLUR_REVNo1,P22634,default,3.3624273482278975e-06,0.0,-0.0,8.706187060170123e-07,-1.7763568394002498e-14,-7.011348110275151e-05,-1.3322676295501874e-14
21,G3PD2_REVNo1,P0A6S7,default,2.9519728307766083e-06,0.0,-0.0,-1.1043343128847027e-06,4.361028213837728e-13,-1.2554446119139584e-05,3.924925392453955e-13
22,ACOAD1frNo1,P0A9U8,default,2.904642344009645e-06,0.0,-0.0,2.2980508163072955e-07,-0.0,-3.972655431283556e-05,4.4408920985006246e-15
23,UDCPDPNo1,P75806,default,1.491809774350029e-06,0.0,-0.0,1.1330386193719733e-06,-3.5527136788004997e-14,-6.683662638629073e-05,-6.172840016915868e-13
24,UGMDDSNo1,P11880,default,1.134473920318608e-06,0.0,-0.0,2.251911119799388e-07,-0.0,-2.229026847189175e-05,4.4408920985006246e-15
25,QULNSNo1,P11458,default,1.246114801948842e-06,0.0,-0.0,4.760678962156817e-08,-5.3290705182007495e-14,4.760678606885449e-08,-4.884981308350687e-14
