rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,GAPDNo1,P0A9B2,default,0.010907237329875415,0.0,-0.0,0.10247337092834741,0.08409058533925298,0.021033207717277236,0.1500651231136866
2,3OAS140No1,P0A953,default,0.008834546243427548,0.0,-0.0,0.055448001784050405,0.043121903518417895,0.011196334559816279,0.07721368736873715
3,GLNSNo1,P0A9C5,default,0.005774081228800147,0.0,-0.0,0.03626183414698403,0.028209762512201305,0.007572252799128876,0.050449764252965906
4,THRSNo1,P00934,default,0.005539554548489128,0.0,-0.0,0.034790719797523906,0.027065948435499955,0.006649963319020458,0.04846843887261679
5,ARGSSNo1,P0A6E4,default,0.004577196229315592,0.0,-0.0,0.028752767933774237,0.022370731172157335,0.0058606764347359785,0.03998515613999368
6,ACONTbNo1,P36683,default,0.00411981046748936,0.0,-0.0,0.013105176670062946,0.010471277187799423,0.0033875569114236725,0.018692783107878693
7,ACONTaNo1,P36683,default,0.004042070918803887,0.0,-0.0,0.012857666715312632,0.010273227513941661,0.00300216674218845,0.018302651945087213
8,ACGSNo1,P0A6C5,default,0.003975572149185627,0.0,-0.0,0.024976847184767337,0.019434089735993844,0.0050948849492442605,0.03503073301240888
9,ATPS4rppNo2,P0A6E6,default,0.003777461095559536,0.0,-0.0,0.11190092811129304,0.0942448786718497,0.019987498470065646,0.1684375869269002
10,PRFGSNo1,P15254,default,0.00266294070357564,0.0,-0.0,0.016735062328628203,0.013023043580793942,0.0034515902153984257,0.023578305955999447
11,ENONo1,P0A6P9,default,0.0024607228135076794,0.0,-0.0,0.03572265080745041,0.028430422282843534,0.007169018567779517,0.050855458454825225
12,ACACT5rNo1,P21151,default,0.0022144223115955746,0.0,-0.0,0.009338331784206844,0.0075363992998115715,0.0021843841482684923,0.013402128423306198
13,ACACT4rNo2,P21151,default,0.0022144223115955737,0.0,-0.0,0.009338331784238818,0.007536399299790848,0.00219203413055169,0.013225297462463221
14,ACACT3rNo2,P21151,default,0.0022144223115955733,0.0,-0.0,0.009338331784238818,0.007536399299829335,0.001779692009378664,0.013462834166046987
15,ACACT2rNo2,P21151,default,0.002214422311595573,0.0,-0.0,0.009338331784231713,0.007536399299770124,0.00220610488120343,0.013502665542626245
