uniprotAccession,proteinId,meltingPoint,pred
O13297,O13297_CET1,49.6944864333517,52.584851
O13516,O13516_RPS9A,41.2330889663398,59.673768
O13539,O13539_THP2,52.1290735355592,53.371966
O14455,O14455_RPL36B,41.8983005352466,65.729231
O43137,O43137_YBR085C-A,49.2952916817538,58.697337
O60200,O60200_MDM35,55.1879035204573,55.788285
O75012,O75012_MRP10,43.122350590436,54.873854
P00045,P00045_CYC7,54.6677078521351,65.681666
P00127,P00127_QCR6,49.9941390398408,53.726524
P00128,P00128_QCR7,49.6011453644835,53.375691
P00175,P00175_CYB2,50.8442130177529,50.919604
P00330,P00330_ADH1,51.6958594275111,56.257385
P00358,P00358_TDH2,53.6257013062321,56.479198
P00359,P00359_TDH3,55.8496065621331,56.797498
P00360,P00360_TDH1,52.8749775526307,58.720058
P00427,P00427_COX6,52.0142217471019,52.578008
P00431,P00431_CCP1,52.8427044230609,51.419485
P00447,P00447_SOD2,52.0184740611812,54.883164
P00498,P00498_HIS1,53.5981267663265,54.147983
P00546,P00546_CDC28,49.6655373622698,53.311449
P00549,P00549_CDC19,50.3988382153473,55.819333
P00560,P00560_PGK1,52.0852454936734,57.068753
P00572,P00572_CDC8,50.3611533444794,55.180144
P00635,P00635_PHO5,54.4304128683257,52.144563
P00724,P00724_SUC2,50.357222186664,52.857786
P00729,P00729_PRC1,53.6243037986911,52.417535
P00812,P00812_CAR1,53.2119637033435,59.196967
P00815,P00815_HIS4,49.2633850072053,51.333785
P00817,P00817_IPP1,52.8606766464329,57.212532
P00830,P00830_ATP2,50.343509158229,54.870683
P00890,P00890_CIT1,52.0876292336354,53.181583
P00899,P00899_TRP2,51.2067755261464,52.069098
P00912,P00912_TRP1,48.70299630322,57.490945
P00924,P00924_ENO1,52.1748203769124,54.571635
P00925,P00925_ENO2,52.552608230469,55.526453
P00927,P00927_ILV1,46.4649122659545,52.41884
P00931,P00931_TRP5,51.1308251961801,52.284783
P00937,P00937_TRP3,50.726899550896,55.455238
P00942,P00942_TPI1,56.8269141542872,54.498905
P00950,P00950_GPM1,52.4949401311163,59.998435
P00958,P00958_MES1,46.9027089777121,52.572584
P01094,P01094_PAI3,61.4138068074248,57.854879
P01097,P01097_INH1,59.5941013927677,54.951793
P01119,P01119_RAS1,51.8490668409826,57.336408
P01120,P01120_RAS2,49.706257503227,55.717331
P01123,P01123_YPT1,47.340643461537,55.207199
P02294,P02294_HTB2,46.5876892212701,57.519311
P02309,P02309_HHF1,44.0878904639539,77.550107
P02381,P02381_VAR1,51.515823946009,59.462637
P02406,P02406_RPL28,42.1918772572498,62.973565
P02557,P02557_TUB2,46.5623914587067,52.732062
P02829,P02829_HSP82,50.1977461934091,56.69952
P02992,P02992_TUF1,51.8542116791718,55.381799
P02994,P02994_TEF1,47.5140869851559,55.581343
P03872,P03872_REP2,53.8531478853807,54.300243
P03874,P03874_CBP2,45.6951633985334,50.792652
P03965,P03965_CPA2,49.0498297649666,59.736574
P04037,P04037_COX4,48.7902679001423,50.36661
P04046,P04046_ADE4,49.2383329365535,56.08148
P04050,P04050_RPO21,49.4360043846816,51.87512
P04051,P04051_RPO31,46.2005991152712,53.232497
P04076,P04076_ARG4,52.2970045586663,54.034203
P04147,P04147_PAB1,49.8357559262108,53.119928
P04161,P04161_ADE8,47.0069652179837,55.434543
P04449,P04449_RPL24A,41.664300454425,55.572224
P04456,P04456_RPL25,44.6719649941308,58.133125
P04650,P04650_RPL39,41.6160711360845,63.855356
P04786,P04786_TOP1,46.2917097934034,50.636894
P04801,P04801_THS1,46.0000787332202,51.893115
P04802,P04802_DPS1,52.010011120935,62.517506
P04806,P04806_HXK1,47.4369737882101,54.866517
P04807,P04807_HXK2,47.9543003800224,54.916203
P04840,P04840_POR1,50.5097564631762,56.791669
P04911,P04911_HTA1,46.260802379999,58.089823
P05030,P05030_PMA1,42.2677917241348,52.728355
P05150,P05150_ARG3,52.7048039210332,53.371948
P05317,P05317_RPP0,47.3524358046278,59.859699
P05373,P05373_HEM2,50.2765365177932,60.883504
P05374,P05374_CHO2,49.1506475480022,51.92793
P05453,P05453_SUP35,47.6583518425513,52.601135
P05694,P05694_MET6,57.3664859274725,54.326516
P05737,P05737_RPL7A,41.3927787328372,58.482641
P05738,P05738_RPL9A,41.8335303405087,68.495315
P05739,P05739_RPL6B,42.7235909542818,60.374409
P05740,P05740_RPL17A,44.247795901236,58.459574
P05743,P05743_RPL26A,43.6409161562227,56.894499
P05744,P05744_RPL33A,42.1780417602137,63.133377
P05745,P05745_RPL36A,41.6199548982703,66.264397
P05747,P05747_RPL29,42.3764517709558,61.883557
P05748,P05748_RPL15A,41.7964037375008,59.695429
P05749,P05749_RPL22A,47.963066747813,59.723228
P05750,P05750_RPS3,42.7414302315584,75.768638
P05755,P05755_RPS9B,42.3237658471392,67.923915
P05756,P05756_RPS13,42.3407032390146,62.258059
P06101,P06101_CDC37,54.0559053663,54.554838
P06102,P06102_NOT3,50.0015579342335,53.124708
