rxn_id,mw_kDa,kcat_s,source,group
R00894__cyto,86.11,5.1671,dlkcat,Glutathione metabolism
R03416__mito,172.52,13.7,default_13.7,Glycerophospholipid metabolism
R03936__cyto,50.3,15.2043,dlkcat,Tryptophan metabolism
R00658__cyto,47.11,59.1315,dlkcat,Biosynthesis of antibiotics
R00763__cyto,58.688571,49.8024,dlkcat,
R12120__cyto,59.65,2.3385,dlkcat,
R08657__mito,71.85,10.5878,dlkcat,
R04355__cyto,125.355,13.7,default_13.7,Fatty acid biosynthesis
R04591__cyto,35.04,26.993,dlkcat,Biosynthesis of antibiotics
R02485__cyto,15.16,12.382,dlkcat,Pyrimidine metabolism
R00527__cyto,31.66,3.6344,dlkcat,Microbial metabolism in diverse environments
R02590__cyto,48.87,2.2742,dlkcat,Phosphonate and phosphinate metabolism
R01351__cyto,51.27,13.7,default_13.7,Glycerolipid metabolism
R11104__pero,48.27,13.7,default_13.7,
R03893__cyto,30.37,793.0199,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R00489__cyto,59.89,5.9201,dlkcat,Pantothenate and CoA biosynthesis
R03352__cyto,46.783333,69.2272,dlkcat,
R04726__pero,125.355,13.7,default_13.7,Fatty acid biosynthesis
R00848__mito,71.85,10.5878,dlkcat,Glycerophospholipid metabolism
R07895__cyto,43.62,0.508,dlkcat,alpha-Linolenic acid metabolism
R01072__cyto,59.08,8.9833,dlkcat,Biosynthesis of antibiotics
R01187__cyto,58.688571,27.8026,dlkcat,Biosynthesis of antibiotics
R02464__cyto,65.95,76.1065,dlkcat,Sphingolipid metabolism
R00548__cyto,35.12,245.1638,dlkcat,Riboflavin metabolism
R00768__cyto,76.31,0.0528,dlkcat,Biosynthesis of antibiotics
R00243__cyto,120.16,3.8342,dlkcat,D-Glutamine and D-glutamate metabolism
R03293__cyto,29.07,4.4778,dlkcat,Arginine and proline metabolism
R04639__cyto,31.64,0.6028,dlkcat,Spontaneous
R03657__cyto,114.14,14.1311,dlkcat,Aminoacyl-tRNA biosynthesis
R01466__cyto,57.74,10.7845,dlkcat,"Glycine, serine and threonine metabolism"
R03652__cyto,90.35,1.197,dlkcat,Aminoacyl-tRNA biosynthesis
R02295__cyto,33.19,9.3383,dlkcat,Nicotinate and nicotinamide metabolism
R09419__cyto,37.545,3.368,dlkcat,
R09076__cyto,52.77,0.5108,dlkcat,Arginine and proline metabolism
R07764__cyto,73.98,13.7,default_13.7,Fatty acid biosynthesis
R00827__cyto,38.917143,28.3803,dlkcat,
R02249__cyto,58.688571,13.7,default_13.7,
R03357__cyto,39.962857,71.7783,dlkcat,
R02874__cyto,54.97,2.3446,dlkcat,Biosynthesis of antibiotics
R00248__cyto,141.845,15.7923,dlkcat,D-Glutamine and D-glutamate metabolism
R01372__cyto,53.49,6.4469,dlkcat,Phenylalanine metabolism
R08310__cyto,38.4775,34.4339,dlkcat,Drug metabolism - cytochrome P450
R02003__cyto,40.205,23.8037,dlkcat,Biosynthesis of antibiotics
R04955__cyto,42.41,13.7,default_13.7,Fatty acid biosynthesis
R00674__cyto,75.34,5.0311,dlkcat,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R07070__cyto,30.0625,35.3815,dlkcat,Metabolism of xenobiotics by cytochrome P450
R02849__cyto,56.2525,29.0623,dlkcat,
R02413__cyto,171.57,2.5972,dlkcat,Biosynthesis of antibiotics
R01398__cyto,37.23,27.4636,dlkcat,Biosynthesis of antibiotics
R04208__cyto,83.87,4.0895,dlkcat,Biosynthesis of antibiotics
R12366__cyto,44.248,4.1775,dlkcat,
R01030__cyto,145.15,1.4958,dlkcat,Glycerophospholipid metabolism
R08306__mito,38.4775,24.0973,dlkcat,Drug metabolism - cytochrome P450
R00264__cyto,55.306667,127.6898,dlkcat,Ascorbate and aldarate metabolism
R03416__cyto,172.52,13.7,default_13.7,Glycerophospholipid metabolism
R08551__cyto,76.25,13.7,default_13.7,
R01956__cyto,49.04,8.8216,dlkcat,Non enzymatic
R02722__cyto,75.34,5.4435,dlkcat,Biosynthesis of antibiotics
R00220__pero,44.933333,10.9804,dlkcat,Biosynthesis of antibiotics
R02549__cyto,55.306667,36.8122,dlkcat,Arginine and proline metabolism
R02029__mito,24.14,13.7,default_13.7,Glycerophospholipid metabolism
R02739__cyto,47.885,209.5039,dlkcat,Biosynthesis of antibiotics
R08221__cyto,15.16,10.8049,dlkcat,Drug metabolism - other enzymes
R00351__pero,51.33,98.9882,dlkcat,2-Oxocarboxylic acid metabolism
R08310__mito,38.4775,34.4339,dlkcat,Drug metabolism - cytochrome P450
R01330__cyto,56.2525,22.9348,dlkcat,
R01626__mito,229.37,3.4576,dlkcat,Fatty acid biosynthesis
R05801__cyto,63.24,8.2911,dlkcat,Inositol phosphate metabolism
R00227__cyto,43.845,3.353,dlkcat,Pyruvate metabolism
R01220__mito,104.465,33.2288,dlkcat,Carbon fixation pathways in prokaryotes
R02439__mito,63.24,8.1136,dlkcat,Pentose and glucuronate interconversions
R02746__pero,172.52,13.7,default_13.7,Glycerophospholipid metabolism
R01288__cyto,66.65,7.6312,dlkcat,Cysteine and methionine metabolism
R07396__cyto,55.22,97.1159,dlkcat,Cysteine and methionine metabolism
R04566__cyto,152.495,13.7,default_13.7,Fatty acid biosynthesis
R02853__cyto,63.24,32.0734,dlkcat,
R03036__cyto,69.56,12.6562,dlkcat,Pantothenate and CoA biosynthesis
R08162__cyto,43.845,13.7,default_13.7,Fatty acid biosynthesis
R05002__cyto,65.412143,27.9948,dlkcat,
R01960__cyto,61.23,2.3092,dlkcat,Tryptophan metabolism
R11216__cyto,46.505,13.7,default_13.7,
R02113__cyto,70.156429,28.56,dlkcat,
R01051__cyto,34.68,39.7708,dlkcat,Pentose phosphate pathway
R00974__cyto,16.54,0.4567,dlkcat,Pyrimidine metabolism
R03661__cyto,69.975,81.0888,dlkcat,Aminoacyl-tRNA biosynthesis
