rxn_id,mw_kDa,kcat_s,source,group
R00894__cyto,86.11,10.0,ec_class_prior,Glutathione metabolism
R03416__mito,172.52,79.0,ec_class_prior,Glycerophospholipid metabolism
R03936__cyto,50.3,79.0,ec_class_prior,Tryptophan metabolism
R00658__cyto,47.11,15.0,ec_class_prior,Biosynthesis of antibiotics
R00763__cyto,58.688571,79.0,ec_class_prior,
R12120__cyto,59.65,13.7,ec_class_prior,
R08657__mito,71.85,13.7,ec_class_prior,
R04355__cyto,125.355,13.7,ec_class_prior,Fatty acid biosynthesis
R04591__cyto,35.04,10.0,ec_class_prior,Biosynthesis of antibiotics
R02485__cyto,15.16,79.0,ec_class_prior,Pyrimidine metabolism
R00527__cyto,31.66,79.0,ec_class_prior,Microbial metabolism in diverse environments
R02590__cyto,48.87,13.7,ec_class_prior,Phosphonate and phosphinate metabolism
R01351__cyto,51.27,79.0,ec_class_prior,Glycerolipid metabolism
R11104__pero,48.27,79.0,ec_class_prior,
R03893__cyto,30.37,79.0,ec_class_prior,Chlorocyclohexane and chlorobenzene degradation
R00489__cyto,59.89,15.0,ec_class_prior,Pantothenate and CoA biosynthesis
R03352__cyto,46.783333,79.0,ec_class_prior,
R04726__pero,125.355,13.7,ec_class_prior,Fatty acid biosynthesis
R00848__mito,71.85,13.7,ec_class_prior,Glycerophospholipid metabolism
R07895__cyto,43.62,13.7,ec_class_prior,alpha-Linolenic acid metabolism
R01072__cyto,59.08,13.7,ec_class_prior,Biosynthesis of antibiotics
R01187__cyto,58.688571,79.0,ec_class_prior,Biosynthesis of antibiotics
R02464__cyto,65.95,15.0,ec_class_prior,Sphingolipid metabolism
R00548__cyto,35.12,79.0,ec_class_prior,Riboflavin metabolism
R00768__cyto,76.31,13.7,ec_class_prior,Biosynthesis of antibiotics
R00243__cyto,120.16,13.7,ec_class_prior,D-Glutamine and D-glutamate metabolism
R03293__cyto,29.07,13.7,ec_class_prior,Arginine and proline metabolism
R04639__cyto,31.64,79.0,ec_class_prior,Spontaneous
R03657__cyto,114.14,13.7,ec_class_prior,Aminoacyl-tRNA biosynthesis
R01466__cyto,57.74,15.0,ec_class_prior,"Glycine, serine and threonine metabolism"
R03652__cyto,90.35,10.0,ec_class_prior,Aminoacyl-tRNA biosynthesis
R02295__cyto,33.19,13.7,ec_class_prior,Nicotinate and nicotinamide metabolism
R09419__cyto,37.545,13.7,ec_class_prior,
R09076__cyto,52.77,13.7,ec_class_prior,Arginine and proline metabolism
R07764__cyto,73.98,15.0,ec_class_prior,Fatty acid biosynthesis
R00827__cyto,38.917143,13.7,ec_class_prior,
R02249__cyto,58.688571,79.0,ec_class_prior,
R03357__cyto,39.962857,13.7,ec_class_prior,
R02874__cyto,54.97,13.7,ec_class_prior,Biosynthesis of antibiotics
R00248__cyto,141.845,13.7,ec_class_prior,D-Glutamine and D-glutamate metabolism
R01372__cyto,53.49,13.7,ec_class_prior,Phenylalanine metabolism
R08310__cyto,38.4775,13.7,ec_class_prior,Drug metabolism - cytochrome P450
R02003__cyto,40.205,13.7,ec_class_prior,Biosynthesis of antibiotics
R04955__cyto,42.41,13.7,ec_class_prior,Fatty acid biosynthesis
R00674__cyto,75.34,15.0,ec_class_prior,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R07070__cyto,30.0625,13.7,ec_class_prior,Metabolism of xenobiotics by cytochrome P450
R02849__cyto,56.2525,13.7,ec_class_prior,
R02413__cyto,171.57,13.7,ec_class_prior,Biosynthesis of antibiotics
R01398__cyto,37.23,13.7,ec_class_prior,Biosynthesis of antibiotics
R04208__cyto,83.87,10.0,ec_class_prior,Biosynthesis of antibiotics
R12366__cyto,44.248,13.7,ec_class_prior,
R01030__cyto,145.15,79.0,ec_class_prior,Glycerophospholipid metabolism
R08306__mito,38.4775,13.7,ec_class_prior,Drug metabolism - cytochrome P450
R00264__cyto,55.306667,13.7,ec_class_prior,Ascorbate and aldarate metabolism
R03416__cyto,172.52,79.0,ec_class_prior,Glycerophospholipid metabolism
R08551__cyto,76.25,13.7,ec_class_prior,
R01956__cyto,49.04,13.7,ec_class_prior,Non enzymatic
R02722__cyto,75.34,15.0,ec_class_prior,Biosynthesis of antibiotics
R00220__pero,44.933333,15.0,ec_class_prior,Biosynthesis of antibiotics
R02549__cyto,55.306667,13.7,ec_class_prior,Arginine and proline metabolism
R02029__mito,24.14,79.0,ec_class_prior,Glycerophospholipid metabolism
R02739__cyto,47.885,6.9,ec_class_prior,Biosynthesis of antibiotics
R08221__cyto,15.16,79.0,ec_class_prior,Drug metabolism - other enzymes
R00351__pero,51.33,13.7,ec_class_prior,2-Oxocarboxylic acid metabolism
R08310__mito,38.4775,13.7,ec_class_prior,Drug metabolism - cytochrome P450
R01330__cyto,56.2525,13.7,ec_class_prior,
R01626__mito,229.37,13.7,ec_class_prior,Fatty acid biosynthesis
R05801__cyto,63.24,13.7,ec_class_prior,Inositol phosphate metabolism
R00227__cyto,43.845,79.0,ec_class_prior,Pyruvate metabolism
R01220__mito,104.465,13.7,ec_class_prior,Carbon fixation pathways in prokaryotes
R02439__mito,63.24,13.7,ec_class_prior,Pentose and glucuronate interconversions
R02746__pero,172.52,79.0,ec_class_prior,Glycerophospholipid metabolism
R01288__cyto,66.65,13.7,ec_class_prior,Cysteine and methionine metabolism
R07396__cyto,55.22,13.7,ec_class_prior,Cysteine and methionine metabolism
R04566__cyto,152.495,13.7,ec_class_prior,Fatty acid biosynthesis
R02853__cyto,63.24,13.7,ec_class_prior,
R03036__cyto,69.56,79.0,ec_class_prior,Pantothenate and CoA biosynthesis
R08162__cyto,43.845,79.0,ec_class_prior,Fatty acid biosynthesis
R05002__cyto,65.412143,13.7,ec_class_prior,
R01960__cyto,61.23,13.7,ec_class_prior,Tryptophan metabolism
R11216__cyto,46.505,13.7,ec_class_prior,
R02113__cyto,70.156429,13.7,ec_class_prior,
R01051__cyto,34.68,13.7,ec_class_prior,Pentose phosphate pathway
R00974__cyto,16.54,79.0,ec_class_prior,Pyrimidine metabolism
R03661__cyto,69.975,10.0,ec_class_prior,Aminoacyl-tRNA biosynthesis
R00344__mito,129.68,10.0,ec_class_prior,Carbon fixation pathways in prokaryotes
R07024__cyto,30.0625,79.0,ec_class_prior,Metabolism of xenobiotics by cytochrome P450
R00278__cyto,31.535,13.7,ec_class_prior,Vitamin B6 metabolism
R04430__cyto,135.89,13.7,ec_class_prior,Fatty acid biosynthesis
R07084__cyto,30.0625,13.7,ec_class_prior,Metabolism of xenobiotics by cytochrome P450
R01965__cyto,40.045,79.0,ec_class_prior,
R02558__cyto,90.946667,79.0,ec_class_prior,Cyanoamino acid metabolism
R02017__cyto,79.923333,13.7,ec_class_prior,Purine metabolism
R00602__cyto,55.04,13.7,ec_class_prior,
R04964__cyto,152.495,13.7,ec_class_prior,Fatty acid biosynthesis
R01736__cyto,28.28,79.0,ec_class_prior,Pyruvate metabolism
R01626__cyto,229.37,13.7,ec_class_prior,Fatty acid biosynthesis
R05733__cyto,36.03,13.7,ec_class_prior,
R04969__cyto,42.41,13.7,ec_class_prior,Fatty acid biosynthesis
R01209__mito,63.04,15.0,ec_class_prior,
R00316__cyto,74.865,10.0,ec_class_prior,Pyruvate metabolism
R00328__cyto,76.445,79.0,ec_class_prior,Purine metabolism
R03601__cyto,40.09,13.7,ec_class_prior,
R08120__cyto,30.37,79.0,ec_class_prior,Microbial metabolism in diverse environments
R00390__cyto,77.44,10.0,ec_class_prior,Fatty acid biosynthesis
R01600__cyto,53.923333,13.7,ec_class_prior,Biosynthesis of antibiotics
R01710__cyto,31.535,13.7,ec_class_prior,Microbial metabolism in diverse environments
R03217__cyto,66.65,13.7,ec_class_prior,Biosynthesis of antibiotics
R07134__cyto,30.27,13.7,ec_class_prior,Pentose and glucuronate interconversions
R12188__cyto,45.0,15.0,ec_class_prior,
