temp_C,growth,mu_pred,mu_measured
22.0,0.01283352025535725,0.09843701697263393,0.2607
24.0,0.022643610670729168,0.17368340436333643,0.3367
26.0,0.03635519670648192,0.27885545384521504,0.434
28.0,0.05287406648115973,0.40556022634907263,0.5233
30.0,0.06996629002188871,0.5366627972182341,0.6482
32.0,0.08497329930906293,0.6517711383838919,0.7478
34.0,0.09600400259084016,0.7363799989741983,0.7761
36.0,0.10233352791602518,0.7849293899025261,0.7988
38.0,0.10414187970394502,0.7987999999999895,0.7486
40.0,0.10216045591751702,0.7836018748547727,0.6639
42.0,0.0971478351769708,0.7451535439918088,0.6082
44.0,0.08987122906367945,0.689339754382662,0.2721
