temp_C,growth,mu_pred,mu_measured
22.0,0.050835163113717545,0.09779595442344807,0.2607
24.0,0.0894251529812835,0.17203482097036055,0.3367
26.0,0.14372067920646384,0.2764877720946981,0.434
28.0,0.20970454947015757,0.40342659108807344,0.5233
30.0,0.27786511491120436,0.5345529049043132,0.6482
32.0,0.33810006244077145,0.6504320291656605,0.7478
34.0,0.38294358487616864,0.7367013515728422,0.7761
36.0,0.40789182835872995,0.7846964229589174,0.7988
38.0,0.4152229868263486,0.7988,0.7486
40.0,0.40555574977455083,0.7802023086342144,0.6639
42.0,0.36411212096933954,0.7004736526110165,0.6082
44.0,0.1352288348066073,0.26015128417900796,0.2721
